metric	value	guard
status	PASS_ZERO_REST_145_CARD_READER__23_REPAIRS_PARTITION_EXACT	GDT553_REPLAYED_METRIC
reader_card_count	145	GDT553_REPLAYED_METRIC
exact_surface_key_count	145	GDT553_REPLAYED_METRIC
base_outside_queue_count	122	GDT553_REPLAYED_METRIC
gdt549_peer_resolution_count	4	GDT553_REPLAYED_METRIC
gdt550_frame_resolution_count	10	GDT553_REPLAYED_METRIC
gdt551_contract_resolution_count	4	GDT553_REPLAYED_METRIC
gdt552_boundary_resolution_count	5	GDT553_REPLAYED_METRIC
resolved_former_queue_count	23	GDT553_REPLAYED_METRIC
resolution_generation_count	5	GDT553_REPLAYED_METRIC
full_recipe_tier_count	11	GDT553_REPLAYED_METRIC
fully_tiled_tier_count	29	GDT553_REPLAYED_METRIC
fragment_tier_count	81	GDT553_REPLAYED_METRIC
atomic_tier_count	24	GDT553_REPLAYED_METRIC
complete_neutral_meaning_count	145	GDT553_REPLAYED_METRIC
complete_context_meaning_count	145	GDT553_REPLAYED_METRIC
support_rest_count	0	GDT553_REPLAYED_METRIC
new_pages	0	GDT553_REPLAYED_METRIC
recipe_changes	0	GDT553_REPLAYED_METRIC
root_meaning_changes	0	GDT553_REPLAYED_METRIC
