target_ordinal	surface	reader_decision	support_tier	support_rank	support_band	final_recipe	target_event_count	target_physical_pages	observed_requirement_modes	visible_action_roots	visible_argument_roots	future_action_contract	future_argument_contract	minimum_future_state_for_verbal_clause	neutral_component_reading_de	known_contextual_readings_de	original_tier_route_class	original_tier_trace	original_tier_evidence	original_tier_context_relation	original_tier_caution	former_queue_candidate	former_queue_reason	resolution_generation	resolution_source	strongest_current_provenance	current_route_trace_scope	current_route_trace	current_evidence_trace	retained_scope_limit	support_rest_status	reading_scope	guard
1	aiicthy	READ_KNOWN_ZERO_REST_145_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	WORKING_DEFAULT_FRAGMENT	AIIN+CH+T+Y	1	f31r	SELF_CONTAINED	CH|T	AIIN|Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Den Wert und den Posten nehmen und einstellen.	Nimm den Arbeitswert und den Pflanzenposten und stelle den Arbeitswert und den Pflanzenposten ein.	ALIGNED_VISIBLE_STEM_WITH_NEW_INTERFACE	PRIMARY[aii+[cthy]]	anchor=CH+T+Y;anchor_old_events=19;old_interfaces=0/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_EQUAL	NEW_ATOM_INTERFACE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	YES	NEW_ATOM_INTERFACE	GDT552_BOUNDARY_FAMILY	GDT552	EXACT_TARGET_TILES_AT_OLD_CARD_BOUNDARY	EXACT_VISIBLE_ROUTE	aii→AIIN | cthy→CH+T+Y	old_boundaries=70;exact_AIIN_then_CH+T+Y=1	OLD_DIRECT_WITHIN_CARD_PAIR_ABSENT__TARGET_SPECIFIC_BRIDGE_ONLY__NO_UNIVERSAL_PAIR_LICENSE	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
5	chady	READ_KNOWN_ZERO_REST_145_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	WORKING_DEFAULT_FRAGMENT	CH+A_ADDR+DY	1	f66r	SELF_CONTAINED	CH	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Nehmen; hier; abschließen.	Entnimm; an der bezeichneten Stelle; schließe den Schritt.	ALIGNED_VISIBLE_STEM_WITH_NEW_INTERFACE	PRIMARY[[cha]+dy]	anchor=CH+A_ADDR;anchor_old_events=1;old_interfaces=0/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_DISJOINT	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	YES	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE	GDT549_CURRENT_PEER	GDT549	CURRENT_EXACT_CONTEXT_AND_OR_INTERFACE_PEER	EXACT_VISIBLE_ROUTE	ch→CH | a→A_ADDR | dy→DY	context=CURRENT_PEER_CONTEXT_BRIDGE;interface=CURRENT_PEER_INTERFACE_BRIDGE	CURRENT_ADMITTED_PEER_SUPPORT_ONLY__NOT_UNIVERSAL_RULE	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
6	chap	READ_KNOWN_ZERO_REST_145_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	WORKING_DEFAULT_FRAGMENT	CH+A_ADDR+P	1	f66r	SELF_CONTAINED	CH|P	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Nehmen und einsetzen; hier.	Entnimm und setze ein; an der bezeichneten Stelle.	ALIGNED_VISIBLE_STEM_WITH_NEW_INTERFACE	PRIMARY[[cha]+p]	anchor=CH+A_ADDR;anchor_old_events=1;old_interfaces=0/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_DISJOINT	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	YES	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE	GDT552_BOUNDARY_FAMILY	GDT552	LEARNED_CHA_SUFFIX_PLUS_TWO_ONE_GAP_CARRIERS	EXACT_VISIBLE_ROUTE	ch→CH | a→A_ADDR | p→P	old_one_gap=2;cha_plus_p_rank1=YES;suffix_license=2/2	OLD_DIRECT_WITHIN_CARD_PAIR_ABSENT__TARGET_SPECIFIC_BRIDGE_ONLY__NO_UNIVERSAL_PAIR_LICENSE	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
25	choraly	READ_KNOWN_ZERO_REST_145_WORKING_CARD	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	2	WORKING_DEFAULT_COMPLETE_OLD_TILES	CH+OR+AL+Y	1	f20v	SELF_CONTAINED	CH	OR|Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Die Einheit und den Posten nehmen; am Zielort.	Nimm die Arbeitseinheit und den Pflanzenposten; zur Zielstelle.	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	OLD_TILES[CH+OR | AL+Y]	tiles=2;minimum_tile_events=9;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	NO_EXACT_PORTABLE_SKELETON	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	YES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	GDT550_RECURRENT_FRAME	GDT550	RECURRENT_VISIBLE_FRAME_PLUS_SAME_MODE_STRONG_PEER	EXACT_VISIBLE_ROUTE	chor→CH+OR | aly→AL+Y	frame=F011:chor→CH+OR;position=START;same_mode_peers=2	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
37	dairykodas	READ_KNOWN_ZERO_REST_145_WORKING_CARD	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	2	WORKING_DEFAULT_COMPLETE_OLD_TILES	D_ADDR+AIR+Y+K+O+DA+S	1	f66r	SELF_CONTAINED	K|S	Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Hier; entlang der Bahn; den Posten geben und wählen; zur Ausführung; auf der zweiten Stufe.	Ordne den laufenden Eintrag zu und wähle den laufenden Eintrag; entlang der Lesebahn; zur Ausführung und auf der zweiten Stufe; an der bezeichneten Stelle.	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	OLD_TILES[D_ADDR+AIR | Y+K | O+DA+S]	tiles=3;minimum_tile_events=1;old_seams=2/2;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	NO_EXACT_PORTABLE_SKELETON	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	YES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	GDT550_RECURRENT_FRAME	GDT550	RECURRENT_VISIBLE_FRAME_PLUS_SAME_MODE_STRONG_PEER	EXACT_VISIBLE_ROUTE	dair→D_ADDR+AIR | yk→Y+K | oda→O+DA | s→S	frame=F005:ko→K+O;position=INTERNAL;same_mode_peers=2	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
38	dalalshedy	READ_KNOWN_ZERO_REST_145_WORKING_CARD	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	2	WORKING_DEFAULT_COMPLETE_OLD_TILES	AL+AL+SH+E+DY	1	f66r	REQUIRES_ACTIVE_ARGUMENT	SH	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Am Zielort; erneut am Zielort; halten; auf Grad I; abschließen.	Halte den laufenden Eintrag [wie zuvor] fest; zur Zielspalte [außen] und zur Zielspalte [innen]; auf Grad I; schließe den Schritt.	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	OLD_TILES[AL+AL | SH+E+DY]	tiles=2;minimum_tile_events=2;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	NO_EXACT_PORTABLE_SKELETON	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	YES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	GDT550_RECURRENT_FRAME	GDT550	RECURRENT_VISIBLE_FRAME_PLUS_SAME_MODE_STRONG_PEER	EXACT_VISIBLE_ROUTE	dal→AL | al→AL | shedy→SH+E+DY	frame=F001:she→SH+E;position=INTERNAL;same_mode_peers=1	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
54	folchol	READ_KNOWN_ZERO_REST_145_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	WORKING_DEFAULT_FRAGMENT	LOCAL_CHAR_F+OL+OL	1	f20v	REQUIRES_ACTIVE_ACTION	NONE	NONE	USE_SAME_STATEMENT_ACTIVE_ACTION__ELSE_RENDER_NONVERBAL_FRAGMENT	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	ACTIVE_ACTION	Hier; zweimal fortsetzen.	Im laufenden Satz halte; an der bezeichneten Stelle; führe 2-mal fort.	RECIPE_ANCHOR_ALL_INTERFACES_OLD	PRIMARY[[NO_EXACT_OLD_VISIBLE_STEM]]	anchor=OL+OL;anchor_old_events=2;old_interfaces=1/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_DISJOINT	ANCHOR_CONTEXT_MODE_DIFFERENCE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	YES	ANCHOR_CONTEXT_MODE_DIFFERENCE	GDT551_SLOT_CONTRACT	GDT551	GDT540_SLOT_CONTRACT_NORMALIZATION	EXACT_VISIBLE_ROUTE	f→LOCAL_CHAR_F | ol→OL | chol→OL	anchor=OL+OL;contract=IDENTICAL_SLOT_CONTRACT;resolution=CLOSED_BY_GDT540_SLOT_CONTRACT_NORMALIZATION	INSTANCE_MODE_IS_INCOMING_STATE__NO_LEXICAL_CONTEXT_SWITCH	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
65	kodary	READ_KNOWN_ZERO_REST_145_WORKING_CARD	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	2	WORKING_DEFAULT_COMPLETE_OLD_TILES	K+O+D_ADDR+AR+Y	1	f66r	SELF_CONTAINED	K	Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Den Posten geben; zur Ausführung; hier; vom Ausgang.	Ordne den laufenden Eintrag zu; von der Ausgangszeile; zur Ausführung; an der bezeichneten Stelle.	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	OLD_TILES[K+O+D_ADDR | AR+Y]	tiles=2;minimum_tile_events=1;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	NO_EXACT_PORTABLE_SKELETON	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	YES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	GDT550_RECURRENT_FRAME	GDT550	RECURRENT_VISIBLE_FRAME_PLUS_SAME_MODE_STRONG_PEER	EXACT_VISIBLE_ROUTE	k→K | od→O+D_ADDR | ary→AR+Y	frame=F005:ko→K+O;position=START;same_mode_peers=2	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
66	kody	READ_KNOWN_ZERO_REST_145_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	WORKING_DEFAULT_FRAGMENT	K+O+DY	1	f66r	SELF_CONTAINED	K	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Geben; zur Ausführung; abschließen.	Ordne zu; zur Ausführung; schließe den Schritt.	EXACT_TARGET_SEQUENCE_INSIDE_OLD_SUPERCARD	PRIMARY[k+[ody]]	anchor=O+DY;anchor_old_events=5;old_interfaces=1/1;recurrent_channels=1;secondary=NO	TARGET_MODE_SET_DISJOINT	ANCHOR_CONTEXT_MODE_DIFFERENCE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	YES	ANCHOR_CONTEXT_MODE_DIFFERENCE	GDT549_CURRENT_PEER	GDT549	CURRENT_EXACT_CONTEXT_AND_OR_INTERFACE_PEER	EXACT_VISIBLE_ROUTE	k→K | o→O | dy→DY	context=CURRENT_PEER_CONTEXT_BRIDGE;interface=NOT_REQUIRED	CURRENT_ADMITTED_PEER_SUPPORT_ONLY__NOT_UNIVERSAL_RULE	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
73	ofaram	READ_KNOWN_ZERO_REST_145_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	WORKING_DEFAULT_FRAGMENT	O+LOCAL_CHAR_F+AR+AM_ADDR	1	f66r	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	NONE	NONE	USE_SAME_STATEMENT_ACTIVE_ACTION__ELSE_RENDER_NONVERBAL_FRAGMENT	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	ACTIVE_ACTION	Zur Ausführung; hier; vom Ausgang; hier.	Im laufenden Satz bearbeite den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; zur Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	ALIGNED_VISIBLE_STEM_WITH_NEW_INTERFACE	PRIMARY[[ofar]+am]	anchor=O+LOCAL_CHAR_F+AR;anchor_old_events=1;old_interfaces=0/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_EQUAL	NEW_ATOM_INTERFACE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	YES	NEW_ATOM_INTERFACE	GDT552_BOUNDARY_FAMILY	GDT552	VISIBLE_OLD_CARD_BOUNDARY_PLUS_ONE_GAP_CARRIER	EXACT_VISIBLE_ROUTE	o→O | far→LOCAL_CHAR_F+AR | am→AM_ADDR	old_one_gap=1;old_boundaries=4;visible_seam_boundaries=4	OLD_DIRECT_WITHIN_CARD_PAIR_ABSENT__TARGET_SPECIFIC_BRIDGE_ONLY__NO_UNIVERSAL_PAIR_LICENSE	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
