at	word	target_at	individual	axis	prior	value	status	prior_event	binding	row_status
f29v.1:6	shytchy	f29v.1:7	cthy	whole_moisture	UNKNOWN	wet	SET_OR_COMPATIBLE	NONE	action_effect	recorded
f29v.1:8	shy	f29v.1:7	cthy	interior_moisture	UNKNOWN	wet	SET_OR_COMPATIBLE	NONE	state_of_cho	recorded
f29v.1:10	shy	f29v.1:11	DOSE_UNBOUND	dose_moisture	UNKNOWN	wet	SET_OR_COMPATIBLE	NONE	dose_material_unknown	recorded
f29v.2:3	chol	f29v.1:7	cthy	whole_moisture	wet	dry	TRANSITION_UNEXPLAINED	f29v.1:6	P05_double_first	recorded
f29v.2:4	chol	f29v.2:1	qotcheaiin	whole_moisture	UNKNOWN	dry	SET_OR_COMPATIBLE	NONE	P05_double_second	recorded
f29v.3:1	chol	f29v.2:7	cthold	whole_moisture	UNKNOWN	dry	SET_OR_COMPATIBLE	NONE	P05_double_first	recorded
f29v.3:2	chol	f29v.2:8	ytchor	whole_moisture	UNKNOWN	dry	SET_OR_COMPATIBLE	NONE	P05_double_second	recorded
f29v.4:2	otshy	f29v.4:3	okaiin	temperature	UNKNOWN	cool	SET_OR_COMPATIBLE	NONE	right_target	recorded
f29v.4:5	oltchy	f29v.4:4	cthy	temperature	UNKNOWN	cooled	SET_OR_COMPATIBLE	NONE	left_target_prior_heat_unbound	recorded
f29v.4:7	shot	f29v.4:8	sho	temperature	UNKNOWN	warmed	SET_OR_COMPATIBLE	NONE	right_fluid_not_ansatz	recorded
