at	word	gloss	row_status
f29v.1:1	kooiin	Wurzelgut	recorded
f29v.1:2	shor	Samen	recorded
f29v.1:3	chetchy	zerkleinere	recorded
f29v.1:4	ol	mit	recorded
f29v.1:5	ls	OPEN	recorded
f29v.1:6	shytchy	benetze	recorded
f29v.1:7	cthy	Pflanzengut	recorded
f29v.1:8	shy	feucht	recorded
f29v.1:9	cho	Inneres	recorded
f29v.1:10	shy	feucht	recorded
f29v.1:11	daiin	festgelegte Dosis	recorded
f29v.2:1	qotcheaiin	abgetrenntes Feinpulver	recorded
f29v.2:2	s	je	recorded
f29v.2:3	chol	trocken	recorded
f29v.2:4	chol	trocken	recorded
f29v.2:5	cthy	Pflanzengut	recorded
f29v.2:6	chey	prüfe	recorded
f29v.2:7	cthold	Pflanzenrückstand	recorded
f29v.2:8	ytchor	zerkleinerte Blüten	recorded
f29v.2:9	dary	Teilmenge	recorded
f29v.3:1	chol	trocken	recorded
f29v.3:2	chol	trocken	recorded
f29v.3:3	kor	Mörser	recorded
f29v.3:4	shey	fülle ein	recorded
f29v.3:5	odaiin	Zusatzmenge	recorded
f29v.3:6	qotchy	siebe	recorded
f29v.3:7	taiin	Auffanggefäß	recorded
f29v.3:8	s	je	recorded
f29v.3:9	she	lasse stehen	recorded
f29v.3:10	otey	bis	recorded
f29v.3:11	sy	abgesetzt	recorded
f29v.4:1	ysho	Flüssigkeitszugabe	recorded
f29v.4:2	otshy	kühl	recorded
f29v.4:3	okaiin	Ansatz	recorded
f29v.4:4	cthy	Pflanzengut	recorded
f29v.4:5	oltchy	abgekühlt	recorded
f29v.4:6	s	je	recorded
f29v.4:7	shot	erwärme	recorded
f29v.4:8	sho	Flüssigkeit	recorded
f29v.4:9	okaiin	Ansatz	recorded
