statement_id	record_unit_id	page	mould_id	event_count	visible_surface_sequence	broad_slot_signature	literal_clause_de	formula_expansion_de
H1-S001	H1	f10r	M01_MATERIAL_PREPARATION	10	dchey cthoor char chty os chair otytchol oky daiin etyd	OBJECT>SOURCE>MEASURE>OBJECT>TRANSFER>MEASURE>ACTION>MEASURE>STATE	Wurzel · Posten; bereitstellen · Ansatz; davon; Anteil; Gefäß; Flüssigkeitslauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil.	KEINE KLAMMERFORMEL
H1-S002	H1	f10r	M04_ORDER_CONTINUATION	4	qokchy qotchol chol cthy	ACTION>ORDER>LINK>STATE	weiterbearbeiten; danach · weiter; weiter; bereit.	KEINE KLAMMERFORMEL
H2-S001	H2	f10r	M07_PAIRED_MEASURE_FRAME	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	OBJECT>STATE>OBJECT>STATE>OBJECT>MEASURE>OBJECT	Posten · Auszug · Ansatz; bereit; Ansatz; bereitstellen · Sollmaß; bereitstellen · weiter · Posten; dies; dies; Sollmaß; dies.	zwei Posten unter demselben Sollmaß
H2-S002	H2	f10r	M08_CARRIED_PREPARATION_FRAME	8	qotchor chor otol chol cholor chol daiin dar	ORDER>OBJECT>ORDER>LINK>OBJECT>LINK>MEASURE>SOURCE	Folgeansatz; Ansatz; danach · weiter; weiter; derselbe Ansatz; weiter; Sollmaß; davon.	Fortsetzung mit demselben Ansatz
H2-S003	H2	f10r	M01_MATERIAL_PREPARATION	7	oykchor shor chor chy kaiiin dy chodaiin	OBJECT>MEASURE>OBJECT	Posten · bearbeiten · Ansatz; Ansatz; Ansatz; dies; Arbeitsstufe; dies; Zutat · Sollmaß.	KEINE KLAMMERFORMEL
H3-S001	H3	f11r	M06_FILTER_CLEAR_PRODUCT	7	tshol schoal cfhy shfydaiin cphy shey tchody	OBJECT>ACTION>STATE>ACTION>OBJECT	Zutat · abführen; Zutat · Zielstelle; auswringen · Posten; halten · Sollmaß; nachseihen · Posten; Klarauszug; Zutat; schließen.	KEINE KLAMMERFORMEL
H3-S002	H3	f11r	M01_MATERIAL_PREPARATION	1	shoyty	OBJECT	Zutat · Posten · Teil.	KEINE KLAMMERFORMEL
H3-S003	H3	f11r	M02_SOURCE_SHARE_MEASURE	5	dchol chy kchy dy daiin	SOURCE>OBJECT>ACTION>OBJECT>MEASURE	vom vorigen; dies; bearbeiten · Posten; dies; Sollmaß.	KEINE KLAMMERFORMEL
H3-S004	H3	f11r	M04_ORDER_CONTINUATION	4	qotchy okchol cthy dy	ORDER>STATE>OBJECT	danach · Posten; einsetzen · weiter; bereit; dies.	KEINE KLAMMERFORMEL
H4-S001	H4	f55v	M05_STATE_CLOSE	5	qokaiin chaiin ykain ykan ody	MEASURE>STATE	bemessen; Sollmaß; Posten · Anteil; Posten · Anteil; kühlen.	KEINE KLAMMERFORMEL
H4-S002	H4	f55v	M09_APPLICATION_FASTEN	3	daiin chedy talam	MEASURE>ACTION	Sollmaß; überführen; Zielstelle · verwahren.	KEINE KLAMMERFORMEL
H4-S003	H4	f55v	M01_MATERIAL_PREPARATION	4	ykaiin cheoar cheeky oldy	MEASURE>OBJECT>ACTION>STATE	Posten · Sollmaß; Auszug · Ausgang; länger bearbeiten; fertig.	KEINE KLAMMERFORMEL
H4-S004	H4	f55v	M01_MATERIAL_PREPARATION	6	aiin okal oltchy or y orain	MEASURE>TARGET>STATE>OBJECT	Sollmaß; dorthin einsetzen; weiter · bereitstellen · Posten; Ansatz; dies; Ansatz · Anteil.	KEINE KLAMMERFORMEL
H5-S001	H5	f56r	M01_MATERIAL_PREPARATION	9	chochor cho chodaly daiin sho kchol otchor choky dal	OBJECT>MEASURE>OBJECT>ORDER>ACTION>TARGET	Zutat · Ansatz; weitere Zutat; Zutat · Zielstelle · Posten; Sollmaß; weitere Zutat; bearbeiten · weiter; Folgeansatz; einsetzen; dorthin.	KEINE KLAMMERFORMEL
H5-S002	H5	f56r	M06_FILTER_CLEAR_PRODUCT	4	schol choy choky cheeckhody	SOURCE>OBJECT>ACTION	vom vorigen; Zutat · Posten; einsetzen; länger · Durchgang · Zutat; schließen.	KEINE KLAMMERFORMEL
H5-S003	H5	f56r	M05_STATE_CLOSE	4	sh cho kchey qokokchy	STATE>OBJECT>STATE>ACTION	halten; weitere Zutat; bearbeiten · kurz · Posten; einsetzen · einsetzen · Posten.	KEINE KLAMMERFORMEL
H5-S004	H5	f56r	M01_MATERIAL_PREPARATION	3	okchy chokcheo kchal	ACTION>OBJECT>TRANSFER	weiterbearbeiten; einsetzen · Auszug; bearbeiten · Zielstelle.	KEINE KLAMMERFORMEL
H5-S005	H5	f56r	M09_APPLICATION_FASTEN	4	sho chokchy kchoar sotodan	OBJECT>ACTION>OBJECT>ACTION	weitere Zutat; weiterbearbeiten; Auszug · Ausgang; danach · anwenden.	KEINE KLAMMERFORMEL
H5-S006	H5	f56r	M04_ORDER_CONTINUATION	3	otchey keol daiin	ORDER>STATE>MEASURE	das nächste; kurz · weiter; Sollmaß.	KEINE KLAMMERFORMEL
B1-S001	B1	f81v	M05_STATE_CLOSE	1	qokedy	ACTION	kurz einwirken; Schluss.	KEINE KLAMMERFORMEL
B1-S002	B1	f81v	M08_CARRIED_PREPARATION_FRAME	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	MEASURE>TRANSFER>TARGET>SOURCE>LINK>MEASURE>TARGET>LINK>ORDER>OBJECT>LINK>ACTION>MEASURE>STATE>MEASURE>ACTION	bemessen; Flüssigkeitslauf; dorthin einsetzen; davon; weiter; Anteil; weiter · Anteil; dorthin; weiter; weiter; Zusatz; derselbe Ansatz; weiter; Durchgang · kurz · Zielstelle; Sollmaß; einsetzen · länger · Zielstelle; Sollmaß; durchleiten; überführen; Schluss.	Fortsetzung mit demselben Ansatz
B1-S003	B1	f81v	M04_ORDER_CONTINUATION	2	qol sshkchdy	LINK>STATE	weiter; halten · bearbeiten · übertragen; schließen.	KEINE KLAMMERFORMEL
B1-S004	B1	f81v	M04_ORDER_CONTINUATION	3	chedy ol shedy	ACTION>LINK>ACTION	überführen; weiter; kurz absetzen; Schluss.	KEINE KLAMMERFORMEL
B1-S005	B1	f81v	M10_LOCAL_EXACT_CELL	1	qolchedy	ACTION	weiterführen; Schluss.	KEINE KLAMMERFORMEL
B1-S006	B1	f81v	M03_TARGET_TRANSFER	4	qokain shckhy dl ral	MEASURE>ACTION>OBJECT>TRANSFER	Anteil zugeben; durchleiten; Zusatz; Zielstelle.	KEINE KLAMMERFORMEL
B1-S007	B1	f81v	M10_LOCAL_EXACT_CELL	1	qokchdy	ACTION	einführen; Schluss.	KEINE KLAMMERFORMEL
B1-S008	B1	f81v	M04_ORDER_CONTINUATION	5	chey ol cheky ol shedy	OBJECT>LINK>ACTION>LINK>ACTION	dies; weiter; kurz wärmen; weiter; kurz absetzen; Schluss.	KEINE KLAMMERFORMEL
B1-S009	B1	f81v	M05_STATE_CLOSE	1	qokedy	ACTION	kurz einwirken; Schluss.	KEINE KLAMMERFORMEL
B1-S010	B1	f81v	M05_STATE_CLOSE	1	qokedy	ACTION	kurz einwirken; Schluss.	KEINE KLAMMERFORMEL
B1-S011	B1	f81v	M10_LOCAL_EXACT_CELL	2	chckhy qoky	ACTION	durchleiten; einsetzen.	KEINE KLAMMERFORMEL
B1-S012	B1	f81v	M06_FILTER_CLEAR_PRODUCT	3	lsho qokey lshedy	ACTION	waschen; kurz einwirken; waschen; schließen.	KEINE KLAMMERFORMEL
