mould_id	source_slot_mould	spoken_template_de	substitution_rule	statement_count	event_count	representative_statement_id	representative_visible_sequence	representative_literal_de
M01_MATERIAL_PREPARATION	OWNER>MATERIAL>PROCESS>PRODUCT	Bildmaterial nehmen, bearbeiten und als Ansatz/Produkt weitergeben	replace picture owner or one material card	7	40	H1-S001	dchey cthoor char chty os chair otytchol oky daiin etyd	Wurzel · Posten; bereitstellen · Ansatz; davon; Anteil; Gefäß; Flüssigkeitslauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil.
M02_SOURCE_SHARE_MEASURE	SOURCE>SHARE>MEASURE	davon einen Anteil nehmen und bemessen	replace only local source or share card	3	12	B2-S011	okain char okain qokeedy	Anteil zugeben; davon; Anteil zugeben; lange einwirken; Schluss.
M03_TARGET_TRANSFER	ITEM>TARGET>TRANSFER>CLOSE	Posten dorthin überführen oder abführen und schließen	preserve target before terminal transfer	27	75	B3-S006	chedchy qokal olchedy	übertragen · Posten; dorthin einsetzen; weiterführen; Schluss.
M04_ORDER_CONTINUATION	ORDER>LINK>ITEM>ACTION	Folgeposten oder Fortsetzung in den nächsten Arbeitsgang tragen	preserve next/continue relation and local endpoint	19	86	B4-S003	chedy otal otchey qokeey qoky tol shedy	überführen; danach dorthin; das nächste; lange einwirken; einsetzen; weiter; kurz absetzen; Schluss.
M05_STATE_CLOSE	ITEM>PROCESS>STATE>CLOSE	Posten bearbeiten, halten, wärmen oder absetzen und schließen	replace state card only inside same duration/close slot	27	46	B4-S008	saiin cheeky sheey qokedy	Sollmaß; länger bearbeiten; halten · länger · Posten; kurz einwirken; Schluss.
M06_FILTER_CLEAR_PRODUCT	ITEM>FILTER>PRODUCT>CLOSE	auswringen, seihen oder waschen und den Klarauszug gewinnen	replace filter path but retain product/close order	12	49	H3-S001	tshol schoal cfhy shfydaiin cphy shey tchody	Zutat · abführen; Zutat · Zielstelle; auswringen · Posten; halten · Sollmaß; nachseihen · Posten; Klarauszug; Zutat; schließen.
M07_PAIRED_MEASURE_FRAME	ITEM>MEASURE>ITEM	zwei Posten unter demselben Sollmaß	payload may sit inside but both item boundaries remain	3	24	B3-S003	chey daiin chey lchedy	dies; Sollmaß; dies; abführen; Schluss.
M08_CARRIED_PREPARATION_FRAME	LINK>PREPARATION>LINK	Fortsetzung mit demselben Ansatz	local payload may sit inside continuation boundaries	2	27	H2-S002	qotchor chor otol chol cholor chol daiin dar	Folgeansatz; Ansatz; danach · weiter; weiter; derselbe Ansatz; weiter; Sollmaß; davon.
M09_APPLICATION_FASTEN	SHARE>TARGET>APPLICATION>CLOSE	Anteil an Zielstelle einsetzen, auflegen oder festbinden	use one or more cells; never fuse a missing endpoint	3	8	H5-S005	sho chokchy kchoar sotodan	weitere Zutat; weiterbearbeiten; Auszug · Ausgang; danach · anwenden.
M10_LOCAL_EXACT_CELL	LOCAL_WHOLE_CARD_SEQUENCE	eine vollständig gelernte lokale Arbeitszelle	copy exact order; change only owner label	13	14	B1-S011	chckhy qoky	durchleiten; einsetzen.
