word	count	all_loci	S10_value	row_status
chol	7	f21r.11:2,f21r.12:6,f32v.10:4,f29v.2:3,f29v.2:4,f29v.3:1,f29v.3:2	trocken	recorded
cphaldy	1	f17r.5:6	OPEN	recorded
cphor	1	f17r.5:5	OPEN	recorded
cthey	2	f17r.5:8,f21r.9:6	OPEN	recorded
cthodaiin	1	f21r.8:7	OPEN	recorded
daiin	8	f21r.12:7,f32v.8:2,f32v.8:3,f32v.8:5,f32v.9:5,f32v.9:7,f32v.10:5,f29v.1:11	OPEN	recorded
dair	1	f17r.5:7	OPEN	recorded
fcho	1	f21r.8:1	OPEN	recorded
kshy	1	f21r.8:2	OPEN	recorded
ocphal	1	f21r.8:5	OPEN	recorded
okaiin	3	f21r.9:1,f29v.4:3,f29v.4:9	OPEN	recorded
opsheas	1	f21r.8:6	OPEN	recorded
otor	1	f21r.8:3	OPEN	recorded
oty	1	f21r.8:8	OPEN	recorded
sheey	1	f21r.12:3	OPEN	recorded
sheol	1	f21r.8:4	OPEN	recorded
sho	4	f21r.9:2,f32v.10:1,f32v.11:2,f29v.4:8	OPEN	recorded
tshaiin	1	f21r.9:3	OPEN	recorded
ysheol	1	f21r.12:4	OPEN	recorded
