decision_at	kind	at	word	S10_value	row_status
f17r.5:9	BEFORE_DECISION	f17r.5:5	cphor	OPEN	recorded
f17r.5:9	BEFORE_DECISION	f17r.5:6	cphaldy	OPEN	recorded
f17r.5:9	BEFORE_DECISION	f17r.5:7	dair	OPEN	recorded
f17r.5:9	BEFORE_DECISION	f17r.5:8	cthey	OPEN	recorded
f21r.9:4	NO_CLASS_ALL_PREFIX	f21r.8:1	fcho	OPEN	recorded
f21r.9:4	NO_CLASS_ALL_PREFIX	f21r.8:2	kshy	OPEN	recorded
f21r.9:4	NO_CLASS_ALL_PREFIX	f21r.8:3	otor	OPEN	recorded
f21r.9:4	NO_CLASS_ALL_PREFIX	f21r.8:4	sheol	OPEN	recorded
f21r.9:4	NO_CLASS_ALL_PREFIX	f21r.8:5	ocphal	OPEN	recorded
f21r.9:4	NO_CLASS_ALL_PREFIX	f21r.8:6	opsheas	OPEN	recorded
f21r.9:4	NO_CLASS_ALL_PREFIX	f21r.8:7	cthodaiin	OPEN	recorded
f21r.9:4	NO_CLASS_ALL_PREFIX	f21r.8:8	oty	OPEN	recorded
f21r.9:4	NO_CLASS_ALL_PREFIX	f21r.9:1	okaiin	OPEN	recorded
f21r.9:4	NO_CLASS_ALL_PREFIX	f21r.9:2	sho	OPEN	recorded
f21r.9:4	NO_CLASS_ALL_PREFIX	f21r.9:3	tshaiin	OPEN	recorded
f21r.12:8	BETWEEN_CLASSES	f21r.12:3	sheey	OPEN	recorded
f21r.12:8	BETWEEN_CLASSES	f21r.12:4	ysheol	OPEN	recorded
f21r.12:8	BEFORE_DECISION	f21r.12:6	chol	trocken	recorded
f21r.12:8	BEFORE_DECISION	f21r.12:7	daiin	OPEN	recorded
