review_index	page	physical_folio	canvas_id	review_image_url	frozen_record_count	page_screen_state	candidate_cross_record_devices	direction_basis	review_note	reviewer_provenance	automated_visual_method	formal_access_state
1	f115r	f115	1006274	https://collections.library.yale.edu/iiif/2/1006274/full/2000,/0/default.jpg	13	NO_INTER_RECORD_POINTER	0	NONE_OR_UNRESOLVED	Complete-page review shows star-like marginal record markers beside text blocks, but no visible arrow, line, bracket, tail, path, or other authorial device connects one star-defined record or marker to a different record or marker.	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY	NONE	SEALED
2	f114v	f114	1006273	https://collections.library.yale.edu/iiif/2/1006273/full/2000,/0/default.jpg	12	NO_INTER_RECORD_POINTER	0	NONE_OR_UNRESOLVED	Complete-page review shows star-like marginal record markers beside text blocks, but no visible arrow, line, bracket, tail, path, or other authorial device connects one star-defined record or marker to a different record or marker.	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY	NONE	SEALED
3	f113r	f113	1006270	https://collections.library.yale.edu/iiif/2/1006270/full/2000,/0/default.jpg	16	NO_INTER_RECORD_POINTER	0	NONE_OR_UNRESOLVED	Complete-page review shows star-like marginal record markers beside text blocks, but no visible arrow, line, bracket, tail, path, or other authorial device connects one star-defined record or marker to a different record or marker.	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY	NONE	SEALED
4	f107v	f107	1006263	https://collections.library.yale.edu/iiif/2/1006263/full/2000,/0/default.jpg	15	NO_INTER_RECORD_POINTER	0	NONE_OR_UNRESOLVED	Complete-page review shows star-like marginal record markers beside text blocks, but no visible arrow, line, bracket, tail, path, or other authorial device connects one star-defined record or marker to a different record or marker.	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY	NONE	SEALED
5	f114r	f114	1006272	https://collections.library.yale.edu/iiif/2/1006272/full/2000,/0/default.jpg	13	NO_INTER_RECORD_POINTER	0	NONE_OR_UNRESOLVED	Complete-page review shows star-like marginal record markers beside text blocks, but no visible arrow, line, bracket, tail, path, or other authorial device connects one star-defined record or marker to a different record or marker.	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY	NONE	SEALED
6	f105v	f105	1006259	https://collections.library.yale.edu/iiif/2/1006259/full/2000,/0/default.jpg	10	NO_INTER_RECORD_POINTER	0	NONE_OR_UNRESOLVED	Complete-page review shows star-like marginal record markers beside text blocks, but no visible arrow, line, bracket, tail, path, or other authorial device connects one star-defined record or marker to a different record or marker.	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY	NONE	SEALED
7	f112v	f112	1006269	https://collections.library.yale.edu/iiif/2/1006269/full/2000,/0/default.jpg	13	NO_INTER_RECORD_POINTER	0	NONE_OR_UNRESOLVED	Complete-page review shows star-like marginal record markers beside text blocks, but no visible arrow, line, bracket, tail, path, or other authorial device connects one star-defined record or marker to a different record or marker.	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY	NONE	SEALED
8	f113v	f113	1006271	https://collections.library.yale.edu/iiif/2/1006271/full/2000,/0/default.jpg	15	NO_INTER_RECORD_POINTER	0	NONE_OR_UNRESOLVED	Complete-page review shows star-like marginal record markers beside text blocks, but no visible arrow, line, bracket, tail, path, or other authorial device connects one star-defined record or marker to a different record or marker.	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY	NONE	SEALED
9	f106r	f106	1006260	https://collections.library.yale.edu/iiif/2/1006260/full/2000,/0/default.jpg	14	NO_INTER_RECORD_POINTER	0	NONE_OR_UNRESOLVED	Complete-page review shows star-like marginal record markers beside text blocks, but no visible arrow, line, bracket, tail, path, or other authorial device connects one star-defined record or marker to a different record or marker.	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY	NONE	SEALED
10	f104r	f104	1006256	https://collections.library.yale.edu/iiif/2/1006256/full/2000,/0/default.jpg	13	NO_INTER_RECORD_POINTER	0	NONE_OR_UNRESOLVED	Complete-page review shows star-like marginal record markers beside text blocks, but no visible arrow, line, bracket, tail, path, or other authorial device connects one star-defined record or marker to a different record or marker.	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY	NONE	SEALED
11	f105r	f105	1006258	https://collections.library.yale.edu/iiif/2/1006258/full/2000,/0/default.jpg	10	NO_INTER_RECORD_POINTER	0	NONE_OR_UNRESOLVED	Complete-page review shows star-like marginal record markers beside text blocks, but no visible arrow, line, bracket, tail, path, or other authorial device connects one star-defined record or marker to a different record or marker.	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY	NONE	SEALED
12	f104v	f104	1006257	https://collections.library.yale.edu/iiif/2/1006257/full/2000,/0/default.jpg	13	NO_INTER_RECORD_POINTER	0	NONE_OR_UNRESOLVED	Complete-page review shows star-like marginal record markers beside text blocks, but no visible arrow, line, bracket, tail, path, or other authorial device connects one star-defined record or marker to a different record or marker.	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY	NONE	SEALED
13	f115v	f115	1006275	https://collections.library.yale.edu/iiif/2/1006275/full/2000,/0/default.jpg	13	NO_INTER_RECORD_POINTER	0	NONE_OR_UNRESOLVED	Complete-page review shows star-like marginal record markers beside text blocks, but no visible arrow, line, bracket, tail, path, or other authorial device connects one star-defined record or marker to a different record or marker.	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY	NONE	SEALED
