gate_id	current_pass	evidence
G01_FORMAL_SEAL	1	No group surface, family, PAGE_HOST, tuple, record-template, or formal row was read or scored.
G02_COMPLETE_PAGE_FRAME	1	All 13 frozen pages on eight physical folios received a direct visual screen.
G03_COMPLETE_RECORD_FRAME	1	All 170 frozen star-defined record regions were covered by their complete-page screens.
G04_POINTER_CANDIDATE	0	No visible inter-record connector or pointer candidate was found.
G05_EXACT_SOURCE	0	No pointer candidate supplied an exact singular source record.
G06_EXACT_TARGET	0	No pointer candidate supplied an exact singular target record.
G07_FIXED_DIRECTION	0	No arrowhead or other authorial direction device was found.
G08_EDGE_CAPACITY	0	Zero eligible directed edges is below the frozen minimum of 50.
G09_FOLIO_CAPACITY	0	Zero eligible edge folios is below the frozen minimum of five.
G10_MOBILE_NULL	0	No eligible target exists for a matched mobile alternative.
