paragraph_episode_ordinal	paragraph_key	physical_page	paragraph_id	paragraph_locus_range	statement_count	statement_ids	bath_host_count	body_host_count	station_host_count	role_sequence	event_sequence	transition_count	role_switch_count	intra_statement_switch_count	inter_statement_switch_count	paragraph_class	guard
1	f75r:P1	f75r	P1	f75r.1–.26	9	G407-S083|G407-S085|G407-S086|G407-S096|G407-S101|G407-S109|G407-S115|G407-S119|G407-S122	22	15	7	STATION→STATION→BODY→BODY→BODY→BODY→BODY→BODY→BODY→BODY→STATION→STATION→BODY→BODY→STATION→BODY→STATION→BODY→BODY→BODY→BODY→STATION	G407-E1433|G407-E1452|G407-E1455|G407-E1457|G407-E1459|G407-E1506|G407-E1526|G407-E1529|G407-E1530|G407-E1544|G407-E1574|G407-E1576|G407-E1592|G407-E1594|G407-E1599|G407-E1605|G407-E1611|G407-E1616|G407-E1620|G407-E1625|G407-E1628|G407-E1648	21	8	5	3	MIXED_BODY_STATION	PHYSICAL_ZL3B_PARAGRAPH__NOT_GDT584_READER_PARAGRAPH__NO_IMAGE_CHRONOLOGY
2	f75r:P3	f75r	P3	f75r.32–.46	5	G407-S135|G407-S151|G407-S160|G407-S173|G407-S177	5	3	2	STATION→BODY→BODY→BODY→STATION	G407-E1711|G407-E1758|G407-E1769|G407-E1789|G407-E1795	4	2	0	2	MIXED_BODY_STATION	PHYSICAL_ZL3B_PARAGRAPH__NOT_GDT584_READER_PARAGRAPH__NO_IMAGE_CHRONOLOGY
3	f77r:P1	f77r	P1	f77r.9–.24	8	G407-S312|G407-S324|G407-S340|G407-S341|G407-S343|G407-S346|G407-S351|G407-S353	8	3	5	BODY→STATION→STATION→STATION→STATION→BODY→STATION→BODY	G407-E2404|G407-E2435|G407-E2468|G407-E2476|G407-E2487|G407-E2499|G407-E2508|G407-E2517	7	4	0	4	MIXED_BODY_STATION	PHYSICAL_ZL3B_PARAGRAPH__NOT_GDT584_READER_PARAGRAPH__NO_IMAGE_CHRONOLOGY
4	f77r:P2	f77r	P2	f77r.25–.37	2	G407-S370|G407-S379	2	2	0	BODY→BODY	G407-E2584|G407-E2625	1	0	0	0	BODY_ONLY	PHYSICAL_ZL3B_PARAGRAPH__NOT_GDT584_READER_PARAGRAPH__NO_IMAGE_CHRONOLOGY
5	f77r:P3	f77r	P3	f77r.38–.48	3	G407-S382|G407-S385|G407-S392	7	4	3	BODY→STATION→BODY→BODY→STATION→BODY→STATION	G407-E2637|G407-E2639|G407-E2652|G407-E2677|G407-E2682|G407-E2697|G407-E2704	6	5	4	1	MIXED_BODY_STATION	PHYSICAL_ZL3B_PARAGRAPH__NOT_GDT584_READER_PARAGRAPH__NO_IMAGE_CHRONOLOGY
6	f81r:P1	f81r	P1	f81r.1–.15	2	G407-S396|G407-S401	2	0	2	STATION→STATION	G407-E2719|G407-E2778	1	0	0	0	STATION_ONLY	PHYSICAL_ZL3B_PARAGRAPH__NOT_GDT584_READER_PARAGRAPH__NO_IMAGE_CHRONOLOGY
7	f81r:P2	f81r	P2	f81r.16–.31	3	G407-S416|G407-S425|G407-S436	3	1	2	BODY→STATION→STATION	G407-E2817|G407-E2843|G407-E2912	2	1	0	1	MIXED_BODY_STATION	PHYSICAL_ZL3B_PARAGRAPH__NOT_GDT584_READER_PARAGRAPH__NO_IMAGE_CHRONOLOGY
8	f81v:P1	f81v	P1	f81v.1–.9	1	G407-S441	1	1	0	BODY	G407-E2925	0	0	0	0	BODY_ONLY	PHYSICAL_ZL3B_PARAGRAPH__NOT_GDT584_READER_PARAGRAPH__NO_IMAGE_CHRONOLOGY
9	f81v:P2	f81v	P2	f81v.10–.27	9	G407-S455|G407-S458|G407-S462|G407-S468|G407-S469|G407-S484|G407-S488|G407-S489|G407-S490	11	5	6	BODY→STATION→STATION→STATION→BODY→BODY→STATION→STATION→STATION→BODY→BODY	G407-E3012|G407-E3013|G407-E3020|G407-E3030|G407-E3040|G407-E3060|G407-E3071|G407-E3125|G407-E3149|G407-E3154|G407-E3166	10	4	1	3	MIXED_BODY_STATION	PHYSICAL_ZL3B_PARAGRAPH__NOT_GDT584_READER_PARAGRAPH__NO_IMAGE_CHRONOLOGY
10	f82r:P1	f82r	P1	f82r.1–.9	3	G407-S495|G407-S505|G407-S507	5	4	1	STATION→BODY→BODY→BODY→BODY	G407-E3177|G407-E3182|G407-E3184|G407-E3232|G407-E3238	4	1	1	0	MIXED_BODY_STATION	PHYSICAL_ZL3B_PARAGRAPH__NOT_GDT584_READER_PARAGRAPH__NO_IMAGE_CHRONOLOGY
11	f82r:P2	f82r	P2	f82r.11–.19	2	G407-S513|G407-S521	2	1	1	STATION→BODY	G407-E3270|G407-E3295	1	1	0	1	MIXED_BODY_STATION	PHYSICAL_ZL3B_PARAGRAPH__NOT_GDT584_READER_PARAGRAPH__NO_IMAGE_CHRONOLOGY
12	f82r:P3	f82r	P3	f82r.20–.33	6	G407-S527|G407-S531|G407-S538|G407-S548|G407-S555|G407-S556	9	5	4	STATION→STATION→BODY→BODY→STATION→BODY→BODY→STATION→BODY	G407-E3329|G407-E3341|G407-E3350|G407-E3357|G407-E3384|G407-E3386|G407-E3413|G407-E3433|G407-E3445	8	5	2	3	MIXED_BODY_STATION	PHYSICAL_ZL3B_PARAGRAPH__NOT_GDT584_READER_PARAGRAPH__NO_IMAGE_CHRONOLOGY
13	f83r:P1	f83r	P1	f83r.1–.8	2	G407-S559|G407-S572	4	2	2	BODY→BODY→STATION→STATION	G407-E3463|G407-E3467|G407-E3512|G407-E3517	3	1	0	1	MIXED_BODY_STATION	PHYSICAL_ZL3B_PARAGRAPH__NOT_GDT584_READER_PARAGRAPH__NO_IMAGE_CHRONOLOGY
14	f83r:P2	f83r	P2	f83r.9–.17	2	G407-S578|G407-S579	2	0	2	STATION→STATION	G407-E3530|G407-E3534	1	0	0	0	STATION_ONLY	PHYSICAL_ZL3B_PARAGRAPH__NOT_GDT584_READER_PARAGRAPH__NO_IMAGE_CHRONOLOGY
