statement_episode_ordinal	statement_id	physical_page	paragraph_keys	bath_host_count	body_host_count	station_host_count	role_sequence	event_sequence	surface_sequence	blocker_sequence	transition_count	role_switch_count	control_marked_switch_count	reader_boundary_switch_count	episode_class	gdt590_primary_reader_de	guard
1	G407-S083	f75r	f75r:P1	1	0	1	STATION	G407-E1433	shey	L	0	0	0	0	STATION_ONLY	"Halte die Anwendungsportion und den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Wähle die Einheit aus. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E1433@1:SH: AIN+Y+Y → Anwendungsportion|Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2; Anwendungsportion ×1)."	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
2	G407-S085	f75r	f75r:P1	3	2	1	STATION→BODY→BODY	G407-E1452|G407-E1455|G407-E1457	lshey|shey|shey	L → NONE → NONE	2	1	0	0	MIXED_BODY_STATION	Kennzeichne oder prüfe die Becken- oder Körpereinheit. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass die Becken- oder Körpereinheit und den Stationsansatz auf Grad I und zur Zielstation oder ins Zielbecken ab. Führe die Anwendungsportion zu. Halte im Bad auf Grad II. Führe den Stationsansatz zu. Reguliere die Anwendungsportion über den Stationskontakt oder die Leitung. Fahre im selben Arbeitsgang fort. Führe die Becken- oder Körpereinheit von der Ausgangsstation oder aus dem Ausgangsbecken zu. Entnimm oder lass im zweiten Durchgang ab. Führe den Stationsansatz zu. Führe in Anwendungsform, an der Stations-Nebenstelle und über den Stationskontakt oder die Leitung zu. Führe den Stationsansatz auf Grad II zu. Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Führe den Stationsansatz zur Zielstation oder ins Zielbecken zu. Halte den Körper im Bad auf Grad I. Beschicke oder bereite vor. Halte den Körper im Bad auf Grad I. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
3	G407-S086	f75r	f75r:P1	1	1	0	BODY	G407-E1459	shey	NONE	0	0	0	0	BODY_ONLY	Halte den Körper im Bad auf Grad I. Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I zu. Kennzeichne oder prüfe die Anwendungsportion. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
4	G407-S096	f75r	f75r:P1	1	1	0	BODY	G407-E1506	shey	NONE	0	0	0	0	BODY_ONLY	"Leite den Strom zur Zielstation oder ins Zielbecken um. Halte die Badeinheit im Bad an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken. Beginne danach den nächsten Arbeitsgang.

Behandle den Stationsansatz. Halte den Körper im Bad auf Grad I. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass ab. Führe den Stationsansatz zu. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Temperiere auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
5	G407-S101	f75r	f75r:P1	3	3	0	BODY→BODY→BODY	G407-E1526|G407-E1529|G407-E1530	shey|cheey|shey	NONE → NONE → NONE	2	0	0	0	BODY_ONLY	"Entnimm oder lass die Becken- oder Körpereinheit an der Stations-Arbeitsstelle ab. Führe an der Stations-Nebenstelle zu. Wähle die Einheit aus. Halte im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite den Stationsansatz zur Zielstation oder ins Zielbecken vor. Fahre im selben Arbeitsgang fort. Halte den Körper im Bad auf Grad I. Kennzeichne oder prüfe. Fahre im selben Arbeitsgang fort. Halte den Körper im Bad auf Grad II. Halte den Körper im Bad auf Grad I. Fahre im selben Arbeitsgang fort. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E1530@1:SH: Y+Y → Körper|Körper (Multiset: Körper ×2)."	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
6	G407-S109	f75r	f75r:P1	1	1	0	BODY	G407-E1544	keishy	NONE	0	0	0	0	BODY_ONLY	Leite die Teilmenge zur Zielstation oder ins Zielbecken um. Führe auf Grad I zu. Halte den Körper im Bad. Beschicke oder bereite die Anwendungsportion und den Stationsansatz vor. Fahre im selben Arbeitsgang fort. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
7	G407-S115	f75r	f75r:P1	2	0	2	STATION→STATION	G407-E1574|G407-E1576	lshedary|shal	AL|AR|D_ADDR|L → AL	1	0	0	0	STATION_ONLY	Beschicke oder bereite die Anwendungsportion vor. Behandle den Stationsansatz. Wende an. Behandle den Ansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Halte im Bad auf Grad I. Wende den Stationsansatz an. Halte den Stationsansatz im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung. Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken. Führe zu. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
8	G407-S119	f75r	f75r:P1	9	7	2	BODY→BODY→STATION→BODY→STATION→BODY→BODY→BODY→BODY	G407-E1592|G407-E1594|G407-E1599|G407-E1605|G407-E1611|G407-E1616|G407-E1620|G407-E1625|G407-E1628	shey|shey|shey|shey|ysheor|shey|shey|kshey|sshey	NONE → NONE → L|O → NONE → AR|D_ADDR|L|O → NONE → NONE → NONE → NONE	8	4	1	0	MIXED_BODY_STATION	"Fahre im selben Arbeitsgang fort. Halte den Körper im Bad auf Grad I. Beschicke oder bereite den Stationsansatz vor. Halte den Körper im Bad auf Grad I. Beschicke oder bereite die Anwendungsportion von der Ausgangsstation oder aus dem Ausgangsbecken vor. Kennzeichne oder prüfe den Stationsansatz. Halte den Stationsansatz, die Badeinheit und die Anwendungsportion im Bad in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung. Halte den Körper im Bad auf Grad I. Beschicke oder bereite die Anwendungsportion vor. Beschicke oder bereite die Anwendungsportion und den Stationsansatz in Anwendungsform vor. Entnimm oder lass ab. Führe den Stationsansatz und die Becken- oder Körpereinheit zu. Halte den Stationsansatz und die Badeinheit im Bad in Anwendungsform, auf Grad I, an der Stations-Arbeitsstelle, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung. Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt an der Stations-Nebenstelle. Halte den Körper im Bad auf Grad I. Beschicke oder bereite die Anwendungsportion vor. Behandle den Stationsansatz und die Stationseinheit. Halte den Körper im Bad auf Grad I. Führe von der Ausgangsstation oder aus dem Ausgangsbecken zu. Behandle den Stationsansatz. Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um. Wende den Stationsansatz an. Führe zu. Halte den Körper im Bad auf Grad I. Beschicke oder bereite den Stationsansatz auf Grad II vor. Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Wähle die Einheit aus. Halte den Körper im Bad auf Grad I. Fahre im selben Arbeitsgang fort. Behandle den Stationsansatz. Beschicke oder bereite an der Stations-Nebenstelle vor. Beschicke oder bereite die Anwendungsportion vor. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz zu. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu. Wähle die Anwendungsportion aus. Entnimm oder lass ab. Reguliere den Stationsansatz und die Stationseinheit über den Stationskontakt oder die Leitung. Fahre im selben Arbeitsgang fort. Wähle die Anwendungsportion aus. Halte den Zustand. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E1594@1:SH: Y+Y → Körper|Körper (Multiset: Körper ×2) | ACTION:G407-E1599@1:SH: Y+OR+Y+Y+Y+AIN → Stationsansatz|Badeinheit|Stationsansatz|Stationsansatz|Stationsansatz|Anwendungsportion (Multiset: Stationsansatz ×4; Anwendungsportion ×1; Badeinheit ×1) | ACTION:G407-E1611@2:SH: Y+OR+OR → Stationsansatz|Badeinheit|Badeinheit (Multiset: Stationsansatz ×1; Badeinheit ×2)."	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
9	G407-S122	f75r	f75r:P1	1	0	1	STATION	G407-E1648	sheol	AR|A_ADDR|D_ADDR	0	0	0	0	STATION_ONLY	"Kennzeichne oder prüfe die Anwendungsportion an der Stations-Nebenstelle. Fahre im selben Arbeitsgang fort. Halte die Anwendungsportion und den Stationsansatz im Bad an der Stations-Hauptstelle, an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Wende an der Stations-Arbeitsstelle und zur Zielstation oder ins Zielbecken an. Halte die Badeinheit im Bad. Halte den Zustand. Lass den Körper anschließend abkühlen. Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Wende an. Halte den Zustand von der Ausgangsstation oder aus dem Ausgangsbecken. Halte im Bad auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E1648@1:SH: AIN+Y+Y → Anwendungsportion|Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2; Anwendungsportion ×1)."	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
10	G407-S135	f75r	f75r:P3	1	0	1	STATION	G407-E1711	polshy	AL	0	0	0	0	STATION_ONLY	Wende an. Fahre im selben Arbeitsgang fort. Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
