transition_ordinal	paragraph_key	physical_page	paragraph_locus_range	from_statement_id	to_statement_id	same_statement	from_event_id	to_event_id	from_locus	to_locus	from_role	to_role	role_switch	from_blockers	to_blockers	guard
1	f75r:P1	f75r	f75r.1–.26	G407-S083	G407-S085	NO	G407-E1433	G407-E1452	f75r.2	f75r.4	STATION	STATION	NO	L	L	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
2	f75r:P1	f75r	f75r.1–.26	G407-S085	G407-S085	YES	G407-E1452	G407-E1455	f75r.4	f75r.4	STATION	BODY	YES	L	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
3	f75r:P1	f75r	f75r.1–.26	G407-S085	G407-S085	YES	G407-E1455	G407-E1457	f75r.4	f75r.4	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
4	f75r:P1	f75r	f75r.1–.26	G407-S085	G407-S086	NO	G407-E1457	G407-E1459	f75r.4	f75r.5	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
5	f75r:P1	f75r	f75r.1–.26	G407-S086	G407-S096	NO	G407-E1459	G407-E1506	f75r.5	f75r.10	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
6	f75r:P1	f75r	f75r.1–.26	G407-S096	G407-S101	NO	G407-E1506	G407-E1526	f75r.10	f75r.12	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
7	f75r:P1	f75r	f75r.1–.26	G407-S101	G407-S101	YES	G407-E1526	G407-E1529	f75r.12	f75r.12	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
8	f75r:P1	f75r	f75r.1–.26	G407-S101	G407-S101	YES	G407-E1529	G407-E1530	f75r.12	f75r.12	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
9	f75r:P1	f75r	f75r.1–.26	G407-S101	G407-S109	NO	G407-E1530	G407-E1544	f75r.12	f75r.14	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
10	f75r:P1	f75r	f75r.1–.26	G407-S109	G407-S115	NO	G407-E1544	G407-E1574	f75r.14	f75r.17	BODY	STATION	YES	NONE	AL|AR|D_ADDR|L	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
11	f75r:P1	f75r	f75r.1–.26	G407-S115	G407-S115	YES	G407-E1574	G407-E1576	f75r.17	f75r.17	STATION	STATION	NO	AL|AR|D_ADDR|L	AL	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
