bath_host_ordinal	primary_governor_key	source_event_id	statement_id	physical_page	locus	paragraph_key	paragraph_id	paragraph_line_ordinal	paragraph_locus_range	host_ordinal_in_statement	surface	component_recipe	complete_host_values_written	direct_governor_tokens	written_root_sequence	carrier_slot_count	y_slot_count	direct_carrier_count	remote_carrier_count	body_blockers_present	gdt590_role	gdt590_y_lemma_sequence	gdt590_reader_clause_de	gdt590_changed	paragraph_boundary_inside_host	guard
1	ACTION:G407-E1433@1:SH	G407-E1433	G407-S083	f75r	f75r.2	f75r:P1	P1	2	f75r.1–.26	1	shey	SH+E+Y	AIN|SH|E|Y|L|Y	E|SH|Y	AIN+Y+Y	3	2	1	2	L	STATION	Stationsansatz|Stationsansatz	Halte die Anwendungsportion und den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
2	ACTION:G407-E1452@2:SH	G407-E1452	G407-S085	f75r	f75r.4	f75r:P1	P1	4	f75r.1–.26	14	lshey	L+SH+E+Y	L|SH|E|Y	E|L|SH|Y	Y	1	1	1	0	L	STATION	Stationsansatz	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
3	ACTION:G407-E1455@1:SH	G407-E1455	G407-S085	f75r	f75r.4	f75r:P1	P1	4	f75r.1–.26	16	shey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
4	ACTION:G407-E1457@1:SH	G407-E1457	G407-S085	f75r	f75r.4	f75r:P1	P1	4	f75r.1–.26	18	shey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
5	ACTION:G407-E1459@1:SH	G407-E1459	G407-S086	f75r	f75r.5	f75r:P1	P1	5	f75r.1–.26	1	shey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
6	ACTION:G407-E1506@1:SH	G407-E1506	G407-S096	f75r	f75r.10	f75r:P1	P1	10	f75r.1–.26	5	shey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
7	ACTION:G407-E1526@1:SH	G407-E1526	G407-S101	f75r	f75r.12	f75r:P1	P1	12	f75r.1–.26	9	shey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
8	ACTION:G407-E1529@1:SH	G407-E1529	G407-S101	f75r	f75r.12	f75r:P1	P1	12	f75r.1–.26	12	cheey	SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
9	ACTION:G407-E1530@1:SH	G407-E1530	G407-S101	f75r	f75r.12	f75r:P1	P1	12	f75r.1–.26	13	shey	SH+E+Y	SH|E|Y|Y	E|SH|Y	Y+Y	2	2	1	1	NONE	BODY	Körper|Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
10	ACTION:G407-E1544@3:SH	G407-E1544	G407-S109	f75r	f75r.14	f75r:P1	P1	14	f75r.1–.26	3	keishy	K+E+SH+Y	SH|Y	SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
