remote_attachment_ordinal	primary_governor_key	source_event_id	statement_id	physical_page	locus	gdt590_role	carrier_slot_id	carrier_source_event_id	carrier_surface	carrier_root	carrier_slot_position	attachment_geometry	lookahead_cards	effective_grammar_host_key	owner_boundary_crossed	statement_boundary_crossed	boundary_class	realization_scope	remote_means_de	guard
1	ACTION:G407-E1433@1:SH	G407-E1433	G407-S083	f75r	f75r.2	STATION	RUNNING:G407-E1432@1	G407-E1432	dain	AIN	1	BOUNDED_NEXT_CARD_ACTION	1	ACTION:G407-E1433@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
2	ACTION:G407-E1433@1:SH	G407-E1433	G407-S083	f75r	f75r.2	STATION	RUNNING:G407-E1434@2	G407-E1434	ly	Y	2	PREVIOUS_CARD_ACTION	0	ACTION:G407-E1433@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
3	ACTION:G407-E1530@1:SH	G407-E1530	G407-S101	f75r	f75r.12	BODY	RUNNING:G407-E1531@1	G407-E1531	dy	Y	1	PREVIOUS_CARD_ACTION	0	ACTION:G407-E1530@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
4	ACTION:G407-E1576@1:SH	G407-E1576	G407-S115	f75r	f75r.17	STATION	RUNNING:G407-E1577@1	G407-E1577	shy	Y	1	PREVIOUS_CARD_ACTION	0	ACTION:G407-E1576@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
5	ACTION:G407-E1594@1:SH	G407-E1594	G407-S119	f75r	f75r.19	BODY	RUNNING:G407-E1595@2	G407-E1595	ey	Y	2	PREVIOUS_CARD_ACTION	0	ACTION:G407-E1594@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
6	ACTION:G407-E1599@1:SH	G407-E1599	G407-S119	f75r	f75r.20	STATION	RUNNING:G407-E1600@1	G407-E1600	qor	OR	1	PREVIOUS_CARD_ACTION	0	ACTION:G407-E1599@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
7	ACTION:G407-E1599@1:SH	G407-E1599	G407-S119	f75r	f75r.20	STATION	RUNNING:G407-E1601@1	G407-E1601	chey	Y	1	INHERITED_ACTION	0	ACTION:G407-E1599@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
8	ACTION:G407-E1599@1:SH	G407-E1599	G407-S119	f75r	f75r.20	STATION	RUNNING:G407-E1602@2	G407-E1602	lchey	Y	2	INHERITED_ACTION	0	ACTION:G407-E1599@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
9	ACTION:G407-E1599@1:SH	G407-E1599	G407-S119	f75r	f75r.20	STATION	RUNNING:G407-E1604@1	G407-E1604	ydain	Y	1	INHERITED_ACTION	0	ACTION:G407-E1599@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
10	ACTION:G407-E1599@1:SH	G407-E1599	G407-S119	f75r	f75r.20	STATION	RUNNING:G407-E1604@2	G407-E1604	ydain	AIN	2	INHERITED_ACTION	0	ACTION:G407-E1599@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
