transition_ordinal	statement_id	physical_page	paragraph_key	from_event_id	to_event_id	from_surface	to_surface	from_role	to_role	from_blockers	to_blockers	role_switch	new_governor	physical_same_paragraph	intervening_host_count	intervening_control_count	intervening_control_roots	intervening_reader_boundary_count	intervening_reader_boundaries	switch_license	working_transition_de	guard
1	G407-S085	f75r	f75r:P1	G407-E1452	G407-E1455	lshey	shey	STATION	BODY	L	NONE	YES	YES	YES	1	0	NONE	0	NONE	BLOCKER_STATE_CHANGES_WITH_ROLE	STATION → BODY	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
2	G407-S085	f75r	f75r:P1	G407-E1455	G407-E1457	shey	shey	BODY	BODY	NONE	NONE	NO	YES	YES	1	0	NONE	0	NONE	SAME_ROLE	BODY → BODY	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
3	G407-S101	f75r	f75r:P1	G407-E1526	G407-E1529	shey	cheey	BODY	BODY	NONE	NONE	NO	YES	YES	2	1	OL	0	NONE	SAME_ROLE	BODY → BODY	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
4	G407-S101	f75r	f75r:P1	G407-E1529	G407-E1530	cheey	shey	BODY	BODY	NONE	NONE	NO	YES	YES	0	0	NONE	0	NONE	SAME_ROLE	BODY → BODY	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
5	G407-S115	f75r	f75r:P1	G407-E1574	G407-E1576	lshedary	shal	STATION	STATION	AL|AR|D_ADDR|L	AL	NO	YES	YES	0	0	NONE	0	NONE	SAME_ROLE	STATION → STATION	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
6	G407-S119	f75r	f75r:P1	G407-E1592	G407-E1594	shey	shey	BODY	BODY	NONE	NONE	NO	YES	YES	1	0	NONE	0	NONE	SAME_ROLE	BODY → BODY	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
7	G407-S119	f75r	f75r:P1	G407-E1594	G407-E1599	shey	shey	BODY	STATION	NONE	L|O	YES	YES	YES	2	0	NONE	0	NONE	BLOCKER_STATE_CHANGES_WITH_ROLE	BODY → STATION	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
8	G407-S119	f75r	f75r:P1	G407-E1599	G407-E1605	shey	shey	STATION	BODY	L|O	NONE	YES	YES	YES	0	0	NONE	0	NONE	BLOCKER_STATE_CHANGES_WITH_ROLE	STATION → BODY	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
9	G407-S119	f75r	f75r:P1	G407-E1605	G407-E1611	shey	ysheor	BODY	STATION	NONE	AR|D_ADDR|L|O	YES	YES	YES	4	0	NONE	0	NONE	BLOCKER_STATE_CHANGES_WITH_ROLE	BODY → STATION	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
10	G407-S119	f75r	f75r:P1	G407-E1611	G407-E1616	ysheor	shey	STATION	BODY	AR|D_ADDR|L|O	NONE	YES	YES	YES	2	1	OL	0	NONE	BLOCKER_STATE_CHANGES_WITH_ROLE	STATION → BODY	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
