record	groups	assumed	open	row_status
f6v|f6v.6-f6v.21	71	16	55	recorded
f9v|f9v.5-f9v.12	48	9	39	recorded
f17v|f17v.1-f17v.23	135	21	114	recorded
f19v|f19v.8-f19v.14	41	10	31	recorded
f22v|f22v.6-f22v.16	44	15	29	recorded
f23r|f23r.4-f23r.5	21	4	17	recorded
f24r|f24r.1-f24r.20	110	14	96	recorded
f45v|f45v.5-f45v.11	48	4	44	recorded
f86v5|f86v5.18-f86v5.25	76	2	74	recorded
f93r|f93r.1-f93r.32	152	17	135	recorded
f99r|f99r.47-f99r.52	43	3	40	recorded
f102v2|f102v2.30-f102v2.39	93	5	88	recorded
f106r|f106r.8-f106r.9	18	2	16	recorded
f17r.4-f17r.6	23	8	15	recorded
f21r.8-f21r.12	43	15	28	recorded
f32v.7-f32v.11	39	21	18	recorded
f29v.1-f29v.4	40	20	20	recorded
