scope	record	at	word	target	target_word	row_status
RECORD	f17v|f17v.1-f17v.23	f17v.20:5	sho	f17v.20:6	odaiin	recorded
RECORD	f22v|f22v.6-f22v.16	f22v.8:1	qotchy	f22v.8:2	cthy	recorded
RECORD	f22v|f22v.6-f22v.16	f22v.15:1	sho	f22v.15:2	cthy	recorded
RECORD	f24r|f24r.1-f24r.20	f24r.12:2	qotchy			recorded
RECORD	f45v|f45v.5-f45v.11	f45v.8:3	sho	f45v.9:2	cthy	recorded
RECORD	f93r|f93r.1-f93r.32	f93r.13:2	qotchy	f93r.20:2	cthol	recorded
RECORD	f102v2|f102v2.30-f102v2.39	f102v2.33:2	sho			recorded
RECORD	f102v2|f102v2.30-f102v2.39	f102v2.38:7	sho			recorded
RECORD	f21r.8-f21r.12	f21r.9:2	sho	f21r.9:3	tshaiin	recorded
RECORD	f32v.7-f32v.11	f32v.9:1	qotchy	f32v.9:4	chocthy	recorded
RECORD	f32v.7-f32v.11	f32v.10:1	sho	f32v.10:2	keol	recorded
RECORD	f32v.7-f32v.11	f32v.11:2	sho	f32v.11:3	chy	recorded
RECORD	f29v.1-f29v.4	f29v.3:6	qotchy	f29v.4:3	okaiin	recorded
RECORD	f29v.1-f29v.4	f29v.4:8	sho	f29v.4:9	okaiin	recorded
LINE	f17v|f17v.1-f17v.23	f17v.20:5	sho	f17v.20:6	odaiin	recorded
LINE	f22v|f22v.6-f22v.16	f22v.8:1	qotchy	f22v.8:2	cthy	recorded
LINE	f22v|f22v.6-f22v.16	f22v.15:1	sho	f22v.15:2	cthy	recorded
LINE	f24r|f24r.1-f24r.20	f24r.12:2	qotchy			recorded
LINE	f45v|f45v.5-f45v.11	f45v.8:3	sho			recorded
LINE	f93r|f93r.1-f93r.32	f93r.13:2	qotchy			recorded
LINE	f102v2|f102v2.30-f102v2.39	f102v2.33:2	sho			recorded
LINE	f102v2|f102v2.30-f102v2.39	f102v2.38:7	sho			recorded
LINE	f21r.8-f21r.12	f21r.9:2	sho	f21r.9:3	tshaiin	recorded
LINE	f32v.7-f32v.11	f32v.9:1	qotchy	f32v.9:4	chocthy	recorded
LINE	f32v.7-f32v.11	f32v.10:1	sho	f32v.10:2	keol	recorded
LINE	f32v.7-f32v.11	f32v.11:2	sho	f32v.11:3	chy	recorded
LINE	f29v.1-f29v.4	f29v.3:6	qotchy			recorded
LINE	f29v.1-f29v.4	f29v.4:8	sho	f29v.4:9	okaiin	recorded
