scope	record	at	word	G	M	R	row_status
RECORD	f6v|f6v.6-f6v.21	f6v.6:1	tchody	⟦tchody⟧	⟦tchody⟧	⟦tchody⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.6:2	shocthol	⟦shocthol⟧	⟦shocthol⟧	⟦shocthol⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.6:3	cho{cthh}y	⟦cho{cthh}y⟧	⟦cho{cthh}y⟧	⟦cho{cthh}y⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.6:4	s	⟦s⟧	⟦s⟧	⟦s⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.7:1	ychos	⟦ychos⟧	⟦ychos⟧	⟦ychos⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.7:2	ychol	⟦ychol⟧	⟦ychol⟧	⟦ychol⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.7:3	daiin	?: ? im Grad C [Skala offen] [fehlend=material,quality]	?: Menge C·U [fehlend=material]	Masse(?) / Masse(?) = C [fehlend=material,denominator]	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.7:4	cthol	Trockenmaterial	Trockenmaterial	Trockenmaterial	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.7:5	dol	⟦dol⟧	⟦dol⟧	⟦dol⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.8:1	ychor	⟦ychor⟧	⟦ychor⟧	⟦ychor⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.8:2	chor	Blüten	Blüten	Blüten	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.8:3	okchey	⟦okchey⟧	⟦okchey⟧	⟦okchey⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.8:4	qokom	⟦qokom⟧	⟦qokom⟧	⟦qokom⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.9:1	oeeo	⟦oeeo⟧	⟦oeeo⟧	⟦oeeo⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.9:2	dal	⟦dal⟧	⟦dal⟧	⟦dal⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.9:3	chor	Blüten	Blüten	Blüten	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.9:4	cthom	⟦cthom⟧	⟦cthom⟧	⟦cthom⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.9:5	s	⟦s⟧	⟦s⟧	⟦s⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.10:1	qokchod	⟦qokchod⟧	⟦qokchod⟧	⟦qokchod⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.10:2	ychear	⟦ychear⟧	⟦ychear⟧	⟦ychear⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.10:3	kchdy	⟦kchdy⟧	⟦kchdy⟧	⟦kchdy⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.11:1	lor	⟦lor⟧	⟦lor⟧	⟦lor⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.11:2	char	⟦char⟧	⟦char⟧	⟦char⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.11:3	otam	⟦otam⟧	⟦otam⟧	⟦otam⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.11:4	ctho	Pflanzenpulver	Pflanzenpulver	Pflanzenpulver	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.11:5	m	⟦m⟧	⟦m⟧	⟦m⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.11:6	dy	⟦dy⟧	⟦dy⟧	⟦dy⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.12:1	ytcho[s:r]	⟦ytcho[s:r]⟧	⟦ytcho[s:r]⟧	⟦ytcho[s:r]⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.12:2	shy	feucht	feucht	feucht	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.12:3	qokam	⟦qokam⟧	⟦qokam⟧	⟦qokam⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.12:4	cthy	Kraut	Kraut	Kraut	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.13:1	yodaiin	⟦yodaiin⟧	⟦yodaiin⟧	⟦yodaiin⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.13:2	cthy	Kraut	Kraut	Kraut	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.13:3	s	⟦s⟧	⟦s⟧	⟦s⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.13:4	chor	Blüten	Blüten	Blüten	recorded
