scope	record	at	word	value	material	material_word	quality	quality_word	denominator	denominator_word	G_missing	M_missing	R_missing	row_status
RECORD	f6v|f6v.6-f6v.21	f6v.7:3	daiin	C							material,quality	material	material,denominator	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.20:4	daiin	C	f6v.19:3	chy			f6v.16:4	cthy	quality			recorded
RECORD	f9v|f9v.5-f9v.12	f9v.7:5	daiin	C			f9v.7:3	chol			material	material	material,denominator	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.8:2	daiin	C			f9v.7:3	chol			material	material	material,denominator	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.9:1	daiin	C			f9v.7:3	chol			material	material	material,denominator	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.19:1	dain	B	f17v.16:4	cthol	f17v.18:4	chol	f17v.15:2	cthy				recorded
RECORD	f17v|f17v.1-f17v.23	f17v.21:7	daiin	C	f17v.20:6	odaiin			f17v.16:4	cthol	quality			recorded
RECORD	f19v|f19v.8-f19v.14	f19v.10:1	daiin	C	f19v.9:3	chor	f19v.9:5	chol					denominator	recorded
RECORD	f19v|f19v.8-f19v.14	f19v.10:3	daiin	C	f19v.10:2	chor					quality		denominator	recorded
RECORD	f19v|f19v.8-f19v.14	f19v.11:4	daiin	C	f19v.10:2	chor					quality		denominator	recorded
RECORD	f19v|f19v.8-f19v.14	f19v.12:3	daiin	C	f19v.10:2	chor					quality		denominator	recorded
RECORD	f22v|f22v.6-f22v.16	f22v.8:4	daiin	C	f22v.8:2	cthy			f22v.7:2	chor	quality			recorded
RECORD	f22v|f22v.6-f22v.16	f22v.9:6	daiin	C	f22v.8:2	cthy	f22v.9:3	chol	f22v.7:2	chor				recorded
RECORD	f22v|f22v.6-f22v.16	f22v.10:2	daiin	C	f22v.8:2	cthy	f22v.9:3	chol	f22v.7:2	chor				recorded
RECORD	f22v|f22v.6-f22v.16	f22v.12:2	daiin	C	f22v.8:2	cthy	f22v.9:3	chol	f22v.7:2	chor				recorded
RECORD	f22v|f22v.6-f22v.16	f22v.14:4	daiin	C	f22v.12:3	cthy	f22v.14:3	shol	f22v.7:2	chor				recorded
RECORD	f23r|f23r.4-f23r.5	f23r.4:7	dain	B							material,quality	material	material,denominator	recorded
RECORD	f23r|f23r.4-f23r.5	f23r.5:11	dain	B			f23r.5:6	chol			material	material	material,denominator	recorded
RECORD	f24r|f24r.1-f24r.20	f24r.1:8	daiin	C	f24r.1:4	chor					quality		denominator	recorded
RECORD	f24r|f24r.1-f24r.20	f24r.8:5	daiin	C	f24r.7:5	cthol			f24r.5:5	cthy	quality			recorded
RECORD	f24r|f24r.1-f24r.20	f24r.18:3	daiin	C	f24r.10:3	chor	f24r.18:2	chol	f24r.9:1	odaiin				recorded
RECORD	f86v5|f86v5.18-f86v5.25	f86v5.18:11	daiin	C							material,quality	material	material,denominator	recorded
RECORD	f93r|f93r.1-f93r.32	f93r.21:3	daiin	C	f93r.20:2	cthol	f93r.21:2	shol	f93r.10:3	keol				recorded
RECORD	f93r|f93r.1-f93r.32	f93r.22:4	daiin	C	f93r.22:2	cthy			f93r.20:2	cthol	quality			recorded
RECORD	f93r|f93r.1-f93r.32	f93r.29:1	dain	B	f93r.22:2	cthy			f93r.20:2	cthol	quality			recorded
RECORD	f99r|f99r.47-f99r.52	f99r.49:5	daiin	C			f99r.48:4	chol			material	material	material,denominator	recorded
RECORD	f99r|f99r.47-f99r.52	f99r.51:5	daiin	C			f99r.48:4	chol			material	material	material,denominator	recorded
RECORD	f102v2|f102v2.30-f102v2.39	f102v2.32:11	daiin	C							material,quality	material	material,denominator	recorded
RECORD	f102v2|f102v2.30-f102v2.39	f102v2.35:10	daiin	C							material,quality	material	material,denominator	recorded
RECORD	f106r|f106r.8-f106r.9	f106r.8:10	dair	A							material,quality	material	material,denominator	recorded
RECORD	f17r.4-f17r.6	f17r.5:7	dair	A	f17r.5:4	shor			f17r.5:3	chor	quality			recorded
RECORD	f21r.8-f21r.12	f21r.12:7	daiin	C	f21r.12:5	chor	f21r.12:6	chol	f21r.10:6	qotchol				recorded
RECORD	f32v.7-f32v.11	f32v.7:7	dain	B							material,quality	material	material,denominator	recorded
RECORD	f32v.7-f32v.11	f32v.8:2	daiin	C	f32v.8:1	otchol					quality		denominator	recorded
RECORD	f32v.7-f32v.11	f32v.8:3	daiin	C	f32v.8:1	otchol					quality		denominator	recorded
RECORD	f32v.7-f32v.11	f32v.8:5	daiin	C	f32v.8:4	ctho			f32v.8:1	otchol	quality			recorded
RECORD	f32v.7-f32v.11	f32v.9:5	daiin	C	f32v.9:4	chocthy			f32v.8:9	shan	quality			recorded
RECORD	f32v.7-f32v.11	f32v.9:7	daiin	C	f32v.9:6	cthaiin			f32v.9:4	chocthy	quality			recorded
RECORD	f32v.7-f32v.11	f32v.10:5	daiin	C	f32v.10:3	chor	f32v.10:4	chol	f32v.10:2	keol				recorded
RECORD	f29v.1-f29v.4	f29v.1:11	daiin	C	f29v.1:7	cthy	f29v.1:10	shy	f29v.1:2	shor				recorded
LINE	f6v|f6v.6-f6v.21	f6v.7:3	daiin	C							material,quality	material	material,denominator	recorded
LINE	f6v|f6v.6-f6v.21	f6v.20:4	daiin	C							material,quality	material	material,denominator	recorded
LINE	f9v|f9v.5-f9v.12	f9v.7:5	daiin	C			f9v.7:3	chol			material	material	material,denominator	recorded
LINE	f9v|f9v.5-f9v.12	f9v.8:2	daiin	C							material,quality	material	material,denominator	recorded
LINE	f9v|f9v.5-f9v.12	f9v.9:1	daiin	C							material,quality	material	material,denominator	recorded
LINE	f17v|f17v.1-f17v.23	f17v.19:1	dain	B							material,quality	material	material,denominator	recorded
LINE	f17v|f17v.1-f17v.23	f17v.21:7	daiin	C							material,quality	material	material,denominator	recorded
LINE	f19v|f19v.8-f19v.14	f19v.10:1	daiin	C							material,quality	material	material,denominator	recorded
LINE	f19v|f19v.8-f19v.14	f19v.10:3	daiin	C	f19v.10:2	chor					quality		denominator	recorded
LINE	f19v|f19v.8-f19v.14	f19v.11:4	daiin	C							material,quality	material	material,denominator	recorded
LINE	f19v|f19v.8-f19v.14	f19v.12:3	daiin	C							material,quality	material	material,denominator	recorded
LINE	f22v|f22v.6-f22v.16	f22v.8:4	daiin	C	f22v.8:2	cthy					quality		denominator	recorded
LINE	f22v|f22v.6-f22v.16	f22v.9:6	daiin	C			f22v.9:3	chol			material	material	material,denominator	recorded
LINE	f22v|f22v.6-f22v.16	f22v.10:2	daiin	C							material,quality	material	material,denominator	recorded
LINE	f22v|f22v.6-f22v.16	f22v.12:2	daiin	C							material,quality	material	material,denominator	recorded
LINE	f22v|f22v.6-f22v.16	f22v.14:4	daiin	C			f22v.14:3	shol			material	material	material,denominator	recorded
LINE	f23r|f23r.4-f23r.5	f23r.4:7	dain	B							material,quality	material	material,denominator	recorded
LINE	f23r|f23r.4-f23r.5	f23r.5:11	dain	B			f23r.5:6	chol			material	material	material,denominator	recorded
LINE	f24r|f24r.1-f24r.20	f24r.1:8	daiin	C	f24r.1:4	chor					quality		denominator	recorded
LINE	f24r|f24r.1-f24r.20	f24r.8:5	daiin	C							material,quality	material	material,denominator	recorded
LINE	f24r|f24r.1-f24r.20	f24r.18:3	daiin	C			f24r.18:2	chol			material	material	material,denominator	recorded
LINE	f86v5|f86v5.18-f86v5.25	f86v5.18:11	daiin	C							material,quality	material	material,denominator	recorded
LINE	f93r|f93r.1-f93r.32	f93r.21:3	daiin	C			f93r.21:2	shol			material	material	material,denominator	recorded
LINE	f93r|f93r.1-f93r.32	f93r.22:4	daiin	C	f93r.22:2	cthy					quality		denominator	recorded
LINE	f93r|f93r.1-f93r.32	f93r.29:1	dain	B							material,quality	material	material,denominator	recorded
LINE	f99r|f99r.47-f99r.52	f99r.49:5	daiin	C							material,quality	material	material,denominator	recorded
LINE	f99r|f99r.47-f99r.52	f99r.51:5	daiin	C							material,quality	material	material,denominator	recorded
LINE	f102v2|f102v2.30-f102v2.39	f102v2.32:11	daiin	C							material,quality	material	material,denominator	recorded
LINE	f102v2|f102v2.30-f102v2.39	f102v2.35:10	daiin	C							material,quality	material	material,denominator	recorded
LINE	f106r|f106r.8-f106r.9	f106r.8:10	dair	A							material,quality	material	material,denominator	recorded
LINE	f17r.4-f17r.6	f17r.5:7	dair	A	f17r.5:4	shor			f17r.5:3	chor	quality			recorded
LINE	f21r.8-f21r.12	f21r.12:7	daiin	C	f21r.12:5	chor	f21r.12:6	chol					denominator	recorded
LINE	f32v.7-f32v.11	f32v.7:7	dain	B							material,quality	material	material,denominator	recorded
LINE	f32v.7-f32v.11	f32v.8:2	daiin	C	f32v.8:1	otchol					quality		denominator	recorded
LINE	f32v.7-f32v.11	f32v.8:3	daiin	C	f32v.8:1	otchol					quality		denominator	recorded
LINE	f32v.7-f32v.11	f32v.8:5	daiin	C	f32v.8:4	ctho			f32v.8:1	otchol	quality			recorded
LINE	f32v.7-f32v.11	f32v.9:5	daiin	C	f32v.9:4	chocthy					quality		denominator	recorded
LINE	f32v.7-f32v.11	f32v.9:7	daiin	C	f32v.9:6	cthaiin			f32v.9:4	chocthy	quality			recorded
LINE	f32v.7-f32v.11	f32v.10:5	daiin	C	f32v.10:3	chor	f32v.10:4	chol	f32v.10:2	keol				recorded
LINE	f29v.1-f29v.4	f29v.1:11	daiin	C	f29v.1:7	cthy	f29v.1:10	shy	f29v.1:2	shor				recorded
