item	surface	recipe	active_axes	reading_de	provenance	readback
E065	cheoar	CH+E+O+AR	GRADE+ADDRESS	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	ATTESTED	PASS
E115	sheckhal	SH+E+CKH+AL	GRADE+ADDRESS	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	ATTESTED	PASS
E117	qokeedal	OK+EE+AL	GRADE+ADDRESS	ANSETZEN · LANG · ZIELSTELLE	ATTESTED	PASS
E222	rsheal	R+SH+E+AL	GRADE+ADDRESS	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	ATTESTED	PASS
E285	cheedar	EE+AR	GRADE+ADDRESS	LANG · QUELLE	ATTESTED	PASS
E305	qotedaiin	OT+E+AIIN	GRADE+QUANTITY	DANACH · KURZ · SOLLMASS	ATTESTED	PASS
PRED_MULTI_01	cheoal	CH+E+O+AL	GRADE+ADDRESS	ENTNEHMEN · KURZ · ARBEITSGANG · ZIELSTELLE	WORKSHOP_PREDICTION	PASS
PRED_MULTI_02	sheckhar	SH+E+CKH+AR	GRADE+ADDRESS	HALTEN · KURZ · DURCHLASS · QUELLE	WORKSHOP_PREDICTION	PASS
PRED_MULTI_03	qokeedar	OK+EE+AR	GRADE+ADDRESS	ANSETZEN · LANG · QUELLE	WORKSHOP_PREDICTION	PASS
PRED_MULTI_04	rshear	R+SH+E+AR	GRADE+ADDRESS	KUEHLEN · HALTEN · KURZ · QUELLE	WORKSHOP_PREDICTION	PASS
PRED_MULTI_05	cheedal	EE+AL	GRADE+ADDRESS	LANG · ZIELSTELLE	WORKSHOP_PREDICTION	PASS
PRED_MULTI_06	qotedain	OT+E+AIN	GRADE+QUANTITY	DANACH · KURZ · PORTION	WORKSHOP_PREDICTION	PASS
