surface	candidate_recipe	gdt529_rank	gdt529_score	aii_square_recipe	matches_aii_square	cthy_exact_recipe	matches_exact_cthy_tail	matches_both_blocks	gdt536_context_rank	decision
aiicthy	AIIN+CH+T+Y	1	5.733798402	AIIN	YES	CH+T+Y	YES	YES	1	SELECT_UNIQUE_SQUARE_PLUS_EXACT_TAIL
aiicthy	IIN+CH+T+Y	2	7.289902821	AIIN	NO	CH+T+Y	YES	NO	ALTERNATE	KEEP_ALTERNATE__LEFT_BLOCK_NOT_SQUARE_AIIN
aiicthy	AIIN+LOCAL_C+T+Y	3	8.617469433	AIIN	YES	CH+T+Y	NO	NO	ALTERNATE	KEEP_ALTERNATE__RIGHT_TAIL_NOT_EXACT_CTHY
aiicthy	A_ADDR+LOCAL_CHAR_I+CH+T+Y	4	9.220129716	AIIN	NO	CH+T+Y	YES	NO	ALTERNATE	KEEP_ALTERNATE__LEFT_BLOCK_NOT_SQUARE_AIIN
aiicthy	A_ADDR+IIN+CH+T+Y	5	9.367548780	AIIN	NO	CH+T+Y	YES	NO	ALTERNATE	KEEP_ALTERNATE__LEFT_BLOCK_NOT_SQUARE_AIIN
aiicthy	IIN+LOCAL_C+T+Y	6	9.768108744	AIIN	NO	CH+T+Y	NO	NO	ALTERNATE	KEEP_ALTERNATE__NEITHER_EXACT_BLOCK_MATCHES
aiicthy	AIN+LOCAL_CHAR_I+CH+T+Y	7	10.220366781	AIIN	NO	CH+T+Y	YES	NO	ALTERNATE	KEEP_ALTERNATE__LEFT_BLOCK_NOT_SQUARE_AIIN
aiicthy	A_ADDR+AIIN+CH+T+Y	8	10.497129704	AIIN	NO	CH+T+Y	YES	NO	ALTERNATE	KEEP_ALTERNATE__LEFT_BLOCK_NOT_SQUARE_AIIN
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	9	10.745123160	AIIN	NO	CH+T+Y	YES	NO	ALTERNATE	KEEP_ALTERNATE__LEFT_BLOCK_NOT_SQUARE_AIIN
aiicthy	A_ADDR+IIN+LOCAL_CHAR_I+CH+T+Y	10	11.750230939	AIIN	NO	CH+T+Y	YES	NO	ALTERNATE	KEEP_ALTERNATE__LEFT_BLOCK_NOT_SQUARE_AIIN
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_C+T+Y	11	12.001055398	AIIN	NO	CH+T+Y	NO	NO	ALTERNATE	KEEP_ALTERNATE__NEITHER_EXACT_BLOCK_MATCHES
aiicthy	A_ADDR+IIN+LOCAL_C+T+Y	12	12.373721064	AIIN	NO	CH+T+Y	NO	NO	ALTERNATE	KEEP_ALTERNATE__NEITHER_EXACT_BLOCK_MATCHES
