base_surface	prefixed_surface	base_event_count	prefixed_event_count	base_recipes	prefixed_recipes	expected_prefixed_recipes	matching_recipes	literal_s_prefix_match	relation
aiin	saiin	55	20	AIIN:55	S+AIIN:20	S+AIIN	S+AIIN	YES	SELECTED_AIIN_S_PREFIX_EDGE
ain	sain	22	23	AIN:22	S+AIN:23	S+AIN	S+AIN	YES	OLD_S_PREFIX_CONTROL
air	sair	5	2	AIR:5	S+AIR:2	S+AIR	S+AIR	YES	OLD_S_PREFIX_CONTROL
al	sal	28	10	AL:28	S+AL:10	S+AL	S+AL	YES	OLD_S_PREFIX_CONTROL
aldaiin	saldaiin	1	1	AL+D_ADDR+AIIN:1	S+AL+D_ADDR+AIIN:1	S+AL+D_ADDR+AIIN	S+AL+D_ADDR+AIIN	YES	OLD_S_PREFIX_CONTROL
aldy	saldy	2	1	AL+D_ADDR+Y:2	S+AL+DY:1	S+AL+D_ADDR+Y	NONE	NO	OLD_S_PREFIX_CONTROL
am	sam	9	3	AM_ADDR:9	S+AM_ADDR:3	S+AM_ADDR	S+AM_ADDR	YES	OLD_S_PREFIX_CONTROL
ar	sar	34	14	AR:34	S+AR:14	S+AR	S+AR	YES	OLD_S_PREFIX_CONTROL
arol	sarol	3	1	AR+OL:3	S+AR+OL:1	S+AR+OL	S+AR+OL	YES	OLD_S_PREFIX_CONTROL
char	schar	5	1	AR:5	S+AR:1	S+AR	S+AR	YES	OLD_S_PREFIX_CONTROL
chedy	schedy	90	2	CHD+Y:90	CHD+DY:2	S+CHD+Y	NONE	NO	OLD_S_PREFIX_CONTROL
cheor	scheor	16	1	CH+E+O+R:16	S+CH+E+O+R:1	S+CH+E+O+R	S+CH+E+O+R	YES	OLD_S_PREFIX_CONTROL
chety	schety	1	1	T+Y:1	S+CH+E+T+Y:1	S+T+Y	NONE	NO	OLD_S_PREFIX_CONTROL
chey	schey	57	1	Y:57	S+CH+E+Y:1	S+Y	NONE	NO	OLD_S_PREFIX_CONTROL
chol	schol	48	1	OL:48	RESUME_CARD:1	S+OL	NONE	NO	OLD_S_PREFIX_CONTROL
ckhey	sckhey	4	1	CH+K+E+Y:4	S+CH+K+E+Y:1	S+CH+K+E+Y	S+CH+K+E+Y	YES	OLD_S_PREFIX_CONTROL
kal	skal	5	1	K+AL:5	S+K+AL:1	S+K+AL	S+K+AL	YES	OLD_S_PREFIX_CONTROL
kar	skar	5	1	K+AR:5	K+AR:1	S+K+AR	NONE	NO	OLD_S_PREFIX_CONTROL
kchdy	skchdy	2	1	K+CHD+Y:2	S+K+CHD+DY:1	S+K+CHD+Y	NONE	NO	OLD_S_PREFIX_CONTROL
l	sl	16	2	L:16	S+L:2	S+L	S+L	YES	OLD_S_PREFIX_CONTROL
octhody	socthody	1	1	O+CH+T+O+D_ADDR+Y:1	S+O+CH+T+O+D_ADDR+Y:1	S+O+CH+T+O+D_ADDR+Y	S+O+CH+T+O+D_ADDR+Y	YES	OLD_S_PREFIX_CONTROL
odar	sodar	2	2	O+D_ADDR+AR:2	S+O+DA+R:2	S+O+D_ADDR+AR	NONE	NO	OLD_S_PREFIX_CONTROL
oiiin	soiiin	4	2	O+IIN:4	S+O+LOCAL_CHAR_I+IIN:2	S+O+IIN	NONE	NO	OLD_S_PREFIX_CONTROL
oiin	soiin	6	2	O+IIN:6	S+O+IIN:2	S+O+IIN	S+O+IIN	YES	OLD_S_PREFIX_CONTROL
oin	soin	2	1	O+IIN:2	S+O+IIN:1	S+O+IIN	S+O+IIN	YES	OLD_S_PREFIX_CONTROL
okeedy	sokeedy	13	1	OK+EE+DY:13	S+OK+EE+DY:1	S+OK+EE+DY	S+OK+EE+DY	YES	OLD_S_PREFIX_CONTROL
ol	sol	78	15	OL:78	OL:15	S+OL	NONE	NO	OLD_S_PREFIX_CONTROL
olchedy	solchedy	7	3	OL+CHD+DY:7	S+OL+CHD+Y:3	S+OL+CHD+DY	NONE	NO	OLD_S_PREFIX_CONTROL
oldy	soldy	14	1	OL+DY:14	S+OL+D_ADDR+Y:1	S+OL+DY	NONE	NO	OLD_S_PREFIX_CONTROL
olkaiin	solkaiin	2	1	OL+K+AIIN:2	OL+K+AIIN:1	S+OL+K+AIIN	NONE	NO	OLD_S_PREFIX_CONTROL
olkeedy	solkeedy	5	2	OL+K+EE+DY:5	OL+K+EE+D_ADDR+Y:2	S+OL+K+EE+DY	NONE	NO	OLD_S_PREFIX_CONTROL
olkeey	solkeey	5	3	OL+K+EE+Y:5	OL+K+EE+Y:3	S+OL+K+EE+Y	NONE	NO	OLD_S_PREFIX_CONTROL
olkey	solkey	1	1	OL+K+E+Y:1	OL+K+E+Y:1	S+OL+K+E+Y	NONE	NO	OLD_S_PREFIX_CONTROL
olshedy	solshedy	4	2	OL+SH+E+DY:4	OL+SH+E+DY:2	S+OL+SH+E+DY	NONE	NO	OLD_S_PREFIX_CONTROL
olshey	solshey	1	1	OL+SH+E+Y:1	OL+SH+E+Y:1	S+OL+SH+E+Y	NONE	NO	OLD_S_PREFIX_CONTROL
olteedy	solteedy	1	1	OL+T+EE+DY:1	OL+T+EE+DY:1	S+OL+T+EE+DY	NONE	NO	OLD_S_PREFIX_CONTROL
om	som	5	1	O+AM_ADDR:5	S+O+M_LOCAL:1	S+O+AM_ADDR	NONE	NO	OLD_S_PREFIX_CONTROL
or	sor	43	8	OR:43	S+OR:8	S+OR	S+OR	YES	OLD_S_PREFIX_CONTROL
ory	sory	1	1	OR+Y:1	S+OR+Y:1	S+OR+Y	S+OR+Y	YES	OLD_S_PREFIX_CONTROL
otaiin	sotaiin	9	1	OT+AIIN:9	S+OT+AIIN:1	S+OT+AIIN	S+OT+AIIN	YES	OLD_S_PREFIX_CONTROL
otchy	sotchy	4	1	OT+CH+Y:4	S+OT+Y:1	S+OT+CH+Y	NONE	NO	OLD_S_PREFIX_CONTROL
oteol	soteol	5	1	OT+E+OL:5	S+OT+E+OL:1	S+OT+E+OL	S+OT+E+OL	YES	OLD_S_PREFIX_CONTROL
sheckhy	ssheckhy	4	1	SH+E+CH+K+Y:4	S+SH+E+CH+K+Y:1	S+SH+E+CH+K+Y	S+SH+E+CH+K+Y	YES	OLD_S_PREFIX_CONTROL
shedy	sshedy	100	2	SH+E+DY:100	S+SH+E+DY:2	S+SH+E+DY	S+SH+E+DY	YES	OLD_S_PREFIX_CONTROL
sheol	ssheol	12	1	SH+E+OL:12	S+SH+E+OL:1	S+SH+E+OL	S+SH+E+OL	YES	OLD_S_PREFIX_CONTROL
shey	sshey	41	2	SH+E+Y:41	S+SH+E+Y:2	S+SH+E+Y	S+SH+E+Y	YES	OLD_S_PREFIX_CONTROL
y	sy	39	6	Y:39	Y:6	S+Y	NONE	NO	OLD_S_PREFIX_CONTROL
