corpus	surface	event_count	physical_page_count	physical_pages	registers	recipes	invariant_recipe	right_context_after_aii	relation
OLD26	alaiiin	1	1	f72r	CELESTIAL	AL+AIIN+LOCAL_CHAR_I:1	AL+AIIN+LOCAL_CHAR_I	in	CONTEXT_CONTROL
OLD26	chtaii	1	1	f89r	PHARMA	CH+AIIN:1	CH+AIIN	RIGHT_EDGE	CONTEXT_CONTROL
OLD26	cphodaiils	1	1	f1r	SOURCE_SECTION_T	CH+P+O+D_ADDR+AIIN+L+S:1	CH+P+O+D_ADDR+AIIN+L+S	ls	CONTEXT_CONTROL
OLD26	daiidy	1	1	f81v	BIOLOGICAL	DA+IIN+DY:1	DA+IIN+DY	dy	CONTEXT_CONTROL
OLD26	daiiin	5	5	f17r|f1r|f77r|f83r|f89r	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	DA+IIN:5	DA+IIN	in	CONTEXT_CONTROL
OLD26	kaiiin	1	1	f10r	HERBAL	K+A_ADDR+LOCAL_CHAR_I+IIN:1	K+A_ADDR+LOCAL_CHAR_I+IIN	in	CONTEXT_CONTROL
OLD26	llaiir	1	1	f76r	BIOLOGICAL	L+AIIN:1	L+AIIN	r	CONTEXT_CONTROL
OLD26	odaiiin	1	1	f67r2	CELESTIAL	O+DA+LOCAL_CHAR_I+IIN:1	O+DA+LOCAL_CHAR_I+IIN	in	CONTEXT_CONTROL
OLD26	odaiim	1	1	f24v	HERBAL	O+D_ADDR+AIIN+M_LOCAL:1	O+D_ADDR+AIIN+M_LOCAL	m	CONTEXT_CONTROL
OLD26	okaiiin	1	1	f68r1	CELESTIAL	OK+A_ADDR+LOCAL_CHAR_I+IIN:1	OK+A_ADDR+LOCAL_CHAR_I+IIN	in	CONTEXT_CONTROL
OLD26	okaiir	2	2	f1r|f72r	CELESTIAL|SOURCE_SECTION_T	OK+IIN+R:2	OK+IIN+R	r	CONTEXT_CONTROL
OLD26	oraiiin	1	1	f81r	BIOLOGICAL	OR+LOCAL_CHAR_I+AIIN:1	OR+LOCAL_CHAR_I+AIIN	in	CONTEXT_CONTROL
OLD26	otaiir	1	1	f24v	HERBAL	OT+IIN+R:1	OT+IIN+R	r	CONTEXT_CONTROL
OLD26	qoaiis	1	1	f89r	PHARMA	CARRIER_Q+O+IIN+S:1	CARRIER_Q+O+IIN+S	s	CONTEXT_CONTROL
OLD26	raiiin	1	1	f76r	BIOLOGICAL	R+AIIN+LOCAL_CHAR_I:1	R+AIIN+LOCAL_CHAR_I	in	CONTEXT_CONTROL
OLD26	saii	1	1	f83r	BIOLOGICAL	S+AIIN:1	S+AIIN	RIGHT_EDGE	SQUARE_SHORT_CORNER
OLD26	saiisol	1	1	f77r	BIOLOGICAL	S+A_ADDR+IIN+S+OL:1	S+A_ADDR+IIN+S+OL	sol	CONTEXT_CONTROL
OLD26	soraiir	1	1	f67r2	CELESTIAL	S+OR+AIIN+R:1	S+OR+AIIN+R	r	CONTEXT_CONTROL
OLD26	syaiir	1	1	f1r	SOURCE_SECTION_T	S+Y+IIN+R:1	S+Y+IIN+R	r	CONTEXT_CONTROL
CURRENT_NEW159	aiicthy	1	1	f31r	CURRENT30	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y:1	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	cthy	TARGET_BEFORE_GDT536
CURRENT_NEW159	chedaiir	1	1	f66r	CURRENT30	CHD+IIN+R:1	CHD+IIN+R	r	CONTEXT_CONTROL
CURRENT_NEW159	dsholdaiir	1	1	f66r	CURRENT30	D_ADDR+SH+OL+DA+IIN+R:1	D_ADDR+SH+OL+DA+IIN+R	r	CONTEXT_CONTROL
CURRENT_NEW159	faiis	1	1	f20v	CURRENT30	LOCAL_CHAR_F+IIN+S:1	LOCAL_CHAR_F+IIN+S	s	CONTEXT_CONTROL
CURRENT_NEW159	qokaiir	1	1	f66r	CURRENT30	OK+IIN+R:1	OK+IIN+R	r	CONTEXT_CONTROL
CURRENT_NEW159	saiis	1	1	f31r	CURRENT30	S+A_ADDR+IIN+S:1	S+A_ADDR+IIN+S	s	CONTEXT_CONTROL
CURRENT_NEW159	shokaiir	1	1	f66r	CURRENT30	SH+OK+IIN+R:1	SH+OK+IIN+R	r	CONTEXT_CONTROL
