event_id	locus	statement_id	card_ordinal_in_statement	surface	gdt516_recipe	live_working_recipe	relation
G515-E0155	f31r.1	G515-S009	5	aiin	AIIN	AIIN	LOCKED_OR_CONTEXTUAL_AII_CARRIER
G515-E0159	f31r.2	G515-S009	9	daiin	AIIN	AIIN	LOCKED_OR_CONTEXTUAL_AII_CARRIER
G515-E0163	f31r.2	G515-S010	3	aiin	AIIN	AIIN	LOCKED_OR_CONTEXTUAL_AII_CARRIER
G515-E0168	f31r.3	G515-S010	8	daiin	AIIN	AIIN	LOCKED_OR_CONTEXTUAL_AII_CARRIER
G515-E0173	f31r.3	G515-S010	13	aiin	AIIN	AIIN	LOCKED_OR_CONTEXTUAL_AII_CARRIER
G515-E0185	f31r.5	G515-S010	25	daiin	AIIN	AIIN	LOCKED_OR_CONTEXTUAL_AII_CARRIER
G515-E0194	f31r.6	G515-S013	4	aiin	AIIN	AIIN	LOCKED_OR_CONTEXTUAL_AII_CARRIER
G515-E0197	f31r.7	G515-S013	7	saiin	S+AIIN	S+AIIN	LOCKED_OR_CONTEXTUAL_AII_CARRIER
G515-E0211	f31r.9	G515-S017	6	daiir	DA+IIN+R	DA+IIN+R	LOCKED_OR_CONTEXTUAL_AII_CARRIER
G515-E0230	f31r.11	G515-S022	10	okaiiin	OK+A_ADDR+LOCAL_CHAR_I+IIN	OK+A_ADDR+LOCAL_CHAR_I+IIN	LOCKED_OR_CONTEXTUAL_AII_CARRIER
G515-E0232	f31r.12	G515-S022	12	qoaiin	CARRIER_Q+O+AIIN	CARRIER_Q+O+AIIN	LOCKED_OR_CONTEXTUAL_AII_CARRIER
G515-E0236	f31r.12	G515-S023	2	chedaiin	CHD+AIIN	CHD+AIIN	LOCKED_OR_CONTEXTUAL_AII_CARRIER
G515-E0243	f31r.14	G515-S026	2	saiis	S+IIN+S	S+A_ADDR+IIN+S	CURRENT_WORKING_AII_CONTEXT
G515-E0246	f31r.14	G515-S026	5	daiin	AIIN	AIIN	LOCKED_OR_CONTEXTUAL_AII_CARRIER
G515-E0253	f31r.16	G515-S027	6	aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	AIIN+CH+T+Y	TARGET_SELECTED
