event_id	physical_page	register	locus	statement_id	surface	recipe	relation
G407-E0105	f1r	SOURCE_SECTION_T	f1r.14	G404-S005	cthy	CH+T+Y	EXACT_RIGHT_CTHY_CARD
G407-E0134	f1r	SOURCE_SECTION_T	f1r.17	G404-S005	cthy	CH+T+Y	EXACT_RIGHT_CTHY_CARD
G407-E0202	f1r	SOURCE_SECTION_T	f1r.26	G404-S007	cthy	CH+T+Y	EXACT_RIGHT_CTHY_CARD
G407-E0257	f10r	HERBAL	f10r.5	P1009-S002	cthy	CH+T+Y	EXACT_RIGHT_CTHY_CARD
G407-E0259	f10r	HERBAL	f10r.6	P1009-S002	cthy	CH+T+Y	EXACT_RIGHT_CTHY_CARD
G407-E0326	f11r	HERBAL	f11r.3	P1009-S004	cthy	CH+T+Y	EXACT_RIGHT_CTHY_CARD
G407-E0345	f11r	HERBAL	f11r.5	P1009-S004	cthy	CH+T+Y	EXACT_RIGHT_CTHY_CARD
G407-E0359	f11r	HERBAL	f11r.6	P1009-S004	cthy	CH+T+Y	EXACT_RIGHT_CTHY_CARD
G407-E0364	f11r	HERBAL	f11r.7	P1009-S004	cthy	CH+T+Y	EXACT_RIGHT_CTHY_CARD
G407-E0479	f17r	HERBAL	f17r.5	P1009-S014	cthy	CH+T+Y	EXACT_RIGHT_CTHY_CARD
G407-E0567	f18r	HERBAL	f18r.7	P1009-S020	cthy	CH+T+Y	EXACT_RIGHT_CTHY_CARD
G407-E0595	f18r	HERBAL	f18r.12	P1009-S022	cthy	CH+T+Y	EXACT_RIGHT_CTHY_CARD
G407-E0882	f56r	HERBAL	f56r.15	P1009-S030	cthy	CH+T+Y	EXACT_RIGHT_CTHY_CARD
