source	artifact_or_family	use	word_confidence_delta
GDT623-GDT671	WORKING_DICTIONARY_V2..V48.tsv	vollstaendige Masterkarten-Lineage	RUBRIC_DEPENDENT
GDT671	experiments/yolo/gdt671_fifteen_residual_family_completion/artifacts/WORKING_DICTIONARY_V48.tsv	2115 aktuelle Masterkarten	RUBRIC_DEPENDENT
GDT671	experiments/yolo/gdt671_fifteen_residual_family_completion/artifacts/V48_WORKING_TOKEN_GLOSSARY.tsv	1430 globale exakte Oberflaechendefaults	RUBRIC_DEPENDENT
GDT671	experiments/yolo/gdt671_fifteen_residual_family_completion/artifacts/ALL_LINE_CONCRETE_COVERAGE_V48.tsv	4128 Zeilen fuer exakte Surface-Zaehler	RUBRIC_DEPENDENT
GDT684	experiments/yolo/gdt684_v57_complete_semantic_debt_census/artifacts/V57_479_POSITION_INFORMATION_AUDIT.tsv	Basisdebt und sichtbare Signale	RUBRIC_DEPENDENT
GDT685	experiments/yolo/gdt685_v58_ch_sh_t_ol_ansatz_dispatch/artifacts/V58_TARGET_POSITION_DEBT_DELTA.tsv	V58 Bedeutungsreparaturen	RUBRIC_DEPENDENT
GDT686	experiments/yolo/gdt686_v59_dain_daiin_qodaiin_value_head_dispatch/artifacts/V59_TARGET_POSITION_DEBT_DELTA.tsv	V59 Wertachsenentscheidungen	RUBRIC_DEPENDENT
GDT687	experiments/yolo/gdt687_v60_dchey_y_dy_action_result_boundary_dispatch/artifacts/V60_95_POSITION_SCOPE_DISPATCH.tsv	V60 Action/Result/Boundary	RUBRIC_DEPENDENT
GDT689	experiments/yolo/gdt689_v62_bound_dy_sister_endpoint_dispatch/artifacts/V62_50_POSITION_REVISIONS.tsv	V62 dy-Schwesterrevisionen	RUBRIC_DEPENDENT
GDT690	experiments/yolo/gdt690_noun_ordinal_provenance_main_apparatus/artifacts/V63_479_TOKEN_NOUN_BINDING.tsv	V63 Nomen und Rivalen	RUBRIC_DEPENDENT
GDT691	experiments/yolo/gdt691_preparation_head_role_dispatch/artifacts/V64_479_TOKEN_READER.tsv	V64 Zubereitungskopfrollen	RUBRIC_DEPENDENT
GDT692	experiments/yolo/gdt692_o_q_fraction_sister_compositor/artifacts/V65_479_TOKEN_READER.tsv	V65 Fraktionskomposition	RUBRIC_DEPENDENT
GDT693	experiments/yolo/gdt693_ar_head_semantic_tournament/artifacts/V66_479_TOKEN_SELECTED_SHARE_READER.tsv	V66 AR-Tournament	RUBRIC_DEPENDENT
GDT694	experiments/yolo/gdt694_residual_fraction_share_migration/artifacts/V67_479_TOKEN_ZERO_FRACTION_READER.tsv	V67 letzte Wortrevisionen	RUBRIC_DEPENDENT
GDT695	experiments/yolo/gdt695_fixed_v67_clause_realization/artifacts/V68_479_TOKEN_FREEZE.tsv	V68 aktiver Wortfreeze	RUBRIC_DEPENDENT
GDT696-GDT709	relation experiment manifests	ausdruecklich +0 Wortconfidence (ZERO_WORD_DELTA)	0
GDT710	experiments/yolo/gdt710_v83_complete_dictionary_confidence_evidence/src/V83_MANUAL_CONFIDENCE_CONTROLS.tsv	manuelle Reality-Controls und transparente Caps	RUBRIC_DEPENDENT
