phrasebook_id	frozen_frame	t_recipe	frame_working_meaning_de	default_observed_phrase_de	default_phrase_carrier_count	alternative_observed_phrase_count	alternative_observed_phrases_de	source_pages	source_registers	local_context_status	phrase_observed_not_invented
G490-D01	@ACTION	T	EINSTELLEN	Stelle den Pflanzenposten [wie zuvor] ein.	1	0	NONE	f56r	HERBAL	EMPTY_CONTEXT_ACTION_BASELINE	YES
G490-D02	@ACTION+AIIN	T+AIIN	EINSTELLEN · WERT	Stelle den Arbeitswert ein.	2	2	Stelle den Mengenwert ein. || Stelle den Stationswert ein.	f10r|f81r|f82r|f89r|f95v	BIOLOGICAL|HERBAL|PHARMA	LOCAL_CONTEXT_ONLY	YES
G490-D03	@ACTION+AIN	T+AIN	EINSTELLEN · ANTEIL	Stelle den Drogenanteil ein.	1	1	Stelle den Stationsanteil ein.	f77r|f89r	BIOLOGICAL|PHARMA	LOCAL_CONTEXT_ONLY	YES
G490-D04	@ACTION+AL	T+AL	EINSTELLEN · ZIELORT	Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	2	1	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	f71v|f77r|f83r	BIOLOGICAL|CELESTIAL	LOCAL_CONTEXT_ONLY	YES
G490-D05	@ACTION+AL+Y	T+AL+Y	EINSTELLEN · ZIELORT · POSTEN	Stelle den Positionsposten ein; zur Zielposition.	1	0	NONE	f72r	CELESTIAL	LOCAL_CONTEXT_ONLY	YES
G490-D06	@ACTION+CH+E+Y	T+CH+E+Y	EINSTELLEN · NEHMEN · GRAD I · POSTEN	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	1	0	NONE	f1r	SOURCE_SECTION_T	LOCAL_CONTEXT_ONLY	YES
G490-D07	@ACTION+CHD+Y	T+CHD+Y	EINSTELLEN · BEARBEITEN · POSTEN	Stelle den Stationsposten ein und bearbeite den Stationsposten.	4	1	Stelle den Pflanzenposten ein und bearbeite den Pflanzenposten.	f75r|f83r|f95v	BIOLOGICAL|HERBAL	ABSENT_LOCAL_CONTEXT	YES
G490-D08	@ACTION+OL	T+OL	EINSTELLEN · FORTSETZEN	Weiter stelle den Pflanzenposten [wie zuvor] ein.	2	5	Weiter lege den laufenden Eintrag [wie zuvor] fest. || Weiter stelle den Arbeitswert [wie zuvor] ein. || Weiter stelle den Drogenanteil [wie zuvor] ein. || Weiter stelle den Drogenposten [wie zuvor] ein. || Weiter stelle den Stationsposten [wie zuvor] ein.	f11r|f1r|f56r|f83r|f88v|f89r	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_CONTEXT_ONLY	YES
G490-D09	@ACTION+OR+Y	T+OR+Y	EINSTELLEN · EINHEIT · POSTEN	Stelle die Arbeitseinheit und den Pflanzenposten ein.	1	0	NONE	f13r	HERBAL	LOCAL_CONTEXT_ONLY	YES
G490-D10	@ACTION+Y	T+Y	EINSTELLEN · POSTEN	Stelle den Pflanzenposten ein.	2	1	Stelle den Stationsposten ein.	f10r|f13r|f83r	BIOLOGICAL|HERBAL	LOCAL_CONTEXT_AND_T_CONTACT	YES
G490-D11	CH+@ACTION	CH+T	NEHMEN · EINSTELLEN	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein.	1	0	NONE	f10r	HERBAL	LOCAL_CONTEXT_AND_T_CONTACT	YES
