form_id	frame_id	frozen_frame	frame_working_meaning_de	observed_clause_de	carrier_count	event_ids	page_count	pages	register_count	registers	owner_class_count	owner_classes	surfaces	templates	all_roundtrip_exact	observed_not_invented
G490-P01	G490-F01	@ACTION	EINSTELLEN	Stelle den Pflanzenposten [wie zuvor] ein.	1	G407-E0858	1	f56r	1	HERBAL	1	KOPFSTADIEN_UND_GANZPFLANZE	t	ACTION_ONLY	YES	YES
G490-P02	G490-F02	@ACTION+AIIN	EINSTELLEN · WERT	Stelle den Arbeitswert ein.	2	G407-E0265|G407-E4534	2	f10r|f95v	1	HERBAL	2	GANZPFLANZE|WURZEL_UND_GANZPFLANZE	taiin	ACTION_ARGUMENT	YES	YES
G490-P03	G490-F02	@ACTION+AIIN	EINSTELLEN · WERT	Stelle den Mengenwert ein.	1	G407-E4161	1	f89r	1	PHARMA	1	GEFÄSS_UND_ZUTATGRUPPE	taiin	ACTION_ARGUMENT	YES	YES
G490-P04	G490-F02	@ACTION+AIIN	EINSTELLEN · WERT	Stelle den Stationswert ein.	2	G407-E2893|G407-E3440	2	f81r|f82r	1	BIOLOGICAL	1	BAD_ODER_BECKENFELD	taiin	ACTION_ARGUMENT	YES	YES
G490-P05	G490-F03	@ACTION+AIN	EINSTELLEN · ANTEIL	Stelle den Drogenanteil ein.	1	G407-E4098	1	f89r	1	PHARMA	1	GEFÄSS_UND_ZUTATGRUPPE	tdain	ACTION_ARGUMENT	YES	YES
G490-P06	G490-F03	@ACTION+AIN	EINSTELLEN · ANTEIL	Stelle den Stationsanteil ein.	1	G407-E2709	1	f77r	1	BIOLOGICAL	1	LOKALE_STATIONSGRUPPE	tain	ACTION_ARGUMENT	YES	YES
G490-P07	G490-F04	@ACTION+AL	EINSTELLEN · ZIELORT	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	1	G407-E1108	1	f71v	1	CELESTIAL	1	STERNTAFEL_ODER_STERNRING	tal	ACTION_RELATION	YES	YES
G490-P08	G490-F04	@ACTION+AL	EINSTELLEN · ZIELORT	Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	2	G407-E2698|G407-E3592	2	f77r|f83r	1	BIOLOGICAL	1	LOKALE_STATIONSGRUPPE	tal	ACTION_RELATION	YES	YES
G490-P09	G490-F05	@ACTION+AL+Y	EINSTELLEN · ZIELORT · POSTEN	Stelle den Positionsposten ein; zur Zielposition.	1	G407-E1295	1	f72r	1	CELESTIAL	1	TIERKREISRING	taly	ACTION_ARGUMENT_RELATION	YES	YES
G490-P10	G490-F06	@ACTION+CH+E+Y	EINSTELLEN · NEHMEN · GRAD I · POSTEN	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	1	G407-E0129	1	f1r	1	SOURCE_SECTION_T	1	TEXTBLOCK	tchey	MULTI_ACTION	YES	YES
