cell_id	frame_id	frozen_frame	t_recipe	frame_working_meaning_de	carrier_count	page_count	pages	register_count	registers	owner_class_count	owner_classes	observed_clause_form_count	observed_clause_forms_de	default_observed_phrase_de	default_phrase_carrier_count	default_selection_rule	default_phrase_observed_not_invented	gdt489_local_context_witness_count	gdt489_local_t_contact_count	gdt489_local_support_class	all_carriers_roundtrip_exact
G490-PC01	G490-F01	@ACTION	T	EINSTELLEN	1	1	f56r	1	HERBAL	1	KOPFSTADIEN_UND_GANZPFLANZE	1	Stelle den Pflanzenposten [wie zuvor] ein.	Stelle den Pflanzenposten [wie zuvor] ein.	1	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	0	0	EMPTY_CONTEXT_ACTION_BASELINE	YES
G490-PC02	G490-F02	@ACTION+AIIN	T+AIIN	EINSTELLEN · WERT	5	5	f10r|f81r|f82r|f89r|f95v	3	BIOLOGICAL|HERBAL|PHARMA	4	BAD_ODER_BECKENFELD|GANZPFLANZE|GEFÄSS_UND_ZUTATGRUPPE|WURZEL_UND_GANZPFLANZE	3	Stelle den Arbeitswert ein. || Stelle den Mengenwert ein. || Stelle den Stationswert ein.	Stelle den Arbeitswert ein.	2	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	18	0	LOCAL_CONTEXT_ONLY	YES
G490-PC03	G490-F03	@ACTION+AIN	T+AIN	EINSTELLEN · ANTEIL	2	2	f77r|f89r	2	BIOLOGICAL|PHARMA	2	GEFÄSS_UND_ZUTATGRUPPE|LOKALE_STATIONSGRUPPE	2	Stelle den Drogenanteil ein. || Stelle den Stationsanteil ein.	Stelle den Drogenanteil ein.	1	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	11	0	LOCAL_CONTEXT_ONLY	YES
G490-PC04	G490-F04	@ACTION+AL	T+AL	EINSTELLEN · ZIELORT	3	3	f71v|f77r|f83r	2	BIOLOGICAL|CELESTIAL	2	LOKALE_STATIONSGRUPPE|STERNTAFEL_ODER_STERNRING	2	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition. || Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	2	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	48	0	LOCAL_CONTEXT_ONLY	YES
G490-PC05	G490-F05	@ACTION+AL+Y	T+AL+Y	EINSTELLEN · ZIELORT · POSTEN	1	1	f72r	1	CELESTIAL	1	TIERKREISRING	1	Stelle den Positionsposten ein; zur Zielposition.	Stelle den Positionsposten ein; zur Zielposition.	1	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	12	0	LOCAL_CONTEXT_ONLY	YES
G490-PC06	G490-F06	@ACTION+CH+E+Y	T+CH+E+Y	EINSTELLEN · NEHMEN · GRAD I · POSTEN	1	1	f1r	1	SOURCE_SECTION_T	1	TEXTBLOCK	1	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	1	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	1	0	LOCAL_CONTEXT_ONLY	YES
G490-PC07	G490-F07	@ACTION+CHD+Y	T+CHD+Y	EINSTELLEN · BEARBEITEN · POSTEN	5	3	f75r|f83r|f95v	2	BIOLOGICAL|HERBAL	3	BAD_ODER_BECKENFELD|GANZPFLANZE|LOKALE_STATIONSGRUPPE	2	Stelle den Pflanzenposten ein und bearbeite den Pflanzenposten. || Stelle den Stationsposten ein und bearbeite den Stationsposten.	Stelle den Stationsposten ein und bearbeite den Stationsposten.	4	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	0	0	ABSENT_LOCAL_CONTEXT	YES
G490-PC08	G490-F08	@ACTION+OL	T+OL	EINSTELLEN · FORTSETZEN	7	6	f11r|f1r|f56r|f83r|f88v|f89r	4	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	5	GEFÄSS_UND_ZUTATGRUPPE|KOPFSTADIEN_UND_GANZPFLANZE|LOKALE_STATIONSGRUPPE|TEXTBLOCK|WURZEL_UND_GANZPFLANZE	6	Weiter lege den laufenden Eintrag [wie zuvor] fest. || Weiter stelle den Arbeitswert [wie zuvor] ein. || Weiter stelle den Drogenanteil [wie zuvor] ein. || Weiter stelle den Drogenposten [wie zuvor] ein. || Weiter stelle den Pflanzenposten [wie zuvor] ein. || Weiter stelle den Stationsposten [wie zuvor] ein.	Weiter stelle den Pflanzenposten [wie zuvor] ein.	2	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	26	0	LOCAL_CONTEXT_ONLY	YES
G490-PC09	G490-F09	@ACTION+OR+Y	T+OR+Y	EINSTELLEN · EINHEIT · POSTEN	1	1	f13r	1	HERBAL	1	WURZEL_UND_GANZPFLANZE	1	Stelle die Arbeitseinheit und den Pflanzenposten ein.	Stelle die Arbeitseinheit und den Pflanzenposten ein.	1	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	2	0	LOCAL_CONTEXT_ONLY	YES
G490-PC10	G490-F10	@ACTION+Y	T+Y	EINSTELLEN · POSTEN	3	3	f10r|f13r|f83r	2	BIOLOGICAL|HERBAL	2	LOKALE_STATIONSGRUPPE|WURZEL_UND_GANZPFLANZE	2	Stelle den Pflanzenposten ein. || Stelle den Stationsposten ein.	Stelle den Pflanzenposten ein.	2	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	40	1	LOCAL_CONTEXT_AND_T_CONTACT	YES
