carrier_id	frame_id	frozen_frame	frame_working_meaning_de	t_recipe	global_running_event_id	global_statement_id	card_ordinal_in_statement	physical_page	register	owner_class	owner_de	surface	template	imperative_clause_de	owner_local_atom_reading_de	portable_back_projection_de	roundtrip_exact	exact_gdt428_t_carrier	phrase_observed_not_invented
G490-C01	G490-F01	@ACTION	EINSTELLEN	T	G407-E0858	G407-S040	11	f56r	HERBAL	KOPFSTADIEN_UND_GANZPFLANZE	stachelköpfiges Kraut in mehreren Reifestufen	t	ACTION_ONLY	Stelle den Pflanzenposten [wie zuvor] ein.	ARBEITSSTUFE EINSTELLEN	EINSTELLEN	YES	YES	YES
G490-C02	G490-F02	@ACTION+AIIN	EINSTELLEN · WERT	T+AIIN	G407-E0265	G407-S009	12	f10r	HERBAL	WURZEL_UND_GANZPFLANZE	zweiknolliges blauköpfiges Heilkraut	taiin	ACTION_ARGUMENT	Stelle den Arbeitswert ein.	ARBEITSSTUFE EINSTELLEN · ARBEITSWERT	EINSTELLEN · WERT	YES	YES	YES
G490-C03	G490-F02	@ACTION+AIIN	EINSTELLEN · WERT	T+AIIN	G407-E2893	G407-S433	4	f81r	BIOLOGICAL	BAD_ODER_BECKENFELD	F81R_LOWER_POOL	taiin	ACTION_ARGUMENT	Stelle den Stationswert ein.	STATIONSWERT EINSTELLEN · STATIONSWERT	EINSTELLEN · WERT	YES	YES	YES
G490-C04	G490-F02	@ACTION+AIIN	EINSTELLEN · WERT	T+AIIN	G407-E3440	G407-S556	6	f82r	BIOLOGICAL	BAD_ODER_BECKENFELD	mehrere getrennte Bad- und Leitungsstationen	taiin	ACTION_ARGUMENT	Stelle den Stationswert ein.	STATIONSWERT EINSTELLEN · STATIONSWERT	EINSTELLEN · WERT	YES	YES	YES
G490-C05	G490-F02	@ACTION+AIIN	EINSTELLEN · WERT	T+AIIN	G407-E4161	G407-S672	19	f89r	PHARMA	GEFÄSS_UND_ZUTATGRUPPE	Gefäß-/Pflanzenteilgruppe C	taiin	ACTION_ARGUMENT	Stelle den Mengenwert ein.	ANSATZWERT EINSTELLEN · MENGENWERT	EINSTELLEN · WERT	YES	YES	YES
G490-C06	G490-F02	@ACTION+AIIN	EINSTELLEN · WERT	T+AIIN	G407-E4534	G407-S709	2	f95v	HERBAL	GANZPFLANZE	F95V_WHOLE_PLANT	taiin	ACTION_ARGUMENT	Stelle den Arbeitswert ein.	ARBEITSSTUFE EINSTELLEN · ARBEITSWERT	EINSTELLEN · WERT	YES	YES	YES
G490-C07	G490-F03	@ACTION+AIN	EINSTELLEN · ANTEIL	T+AIN	G407-E2709	G407-S392	34	f77r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	tain	ACTION_ARGUMENT	Stelle den Stationsanteil ein.	STATIONSWERT EINSTELLEN · STATIONSANTEIL	EINSTELLEN · ANTEIL	YES	YES	YES
G490-C08	G490-F03	@ACTION+AIN	EINSTELLEN · ANTEIL	T+AIN	G407-E4098	G407-S668	27	f89r	PHARMA	GEFÄSS_UND_ZUTATGRUPPE	Gefäß-/Pflanzenteilgruppe A	tdain	ACTION_ARGUMENT	Stelle den Drogenanteil ein.	ANSATZWERT EINSTELLEN · DROGENANTEIL	EINSTELLEN · ANTEIL	YES	YES	YES
G490-C09	G490-F04	@ACTION+AL	EINSTELLEN · ZIELORT	T+AL	G407-E1108	G407-S057	13	f71v	CELESTIAL	STERNTAFEL_ODER_STERNRING	zweite lokale Figuren-/Sternringgruppe	tal	ACTION_RELATION	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	WERT EINSTELLEN · ZIELPOSITION	EINSTELLEN · ZIELORT	YES	YES	YES
G490-C10	G490-F04	@ACTION+AL	EINSTELLEN · ZIELORT	T+AL	G407-E2698	G407-S392	23	f77r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	tal	ACTION_RELATION	Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	STATIONSWERT EINSTELLEN · ZIELSTATION	EINSTELLEN · ZIELORT	YES	YES	YES
G490-C11	G490-F04	@ACTION+AL	EINSTELLEN · ZIELORT	T+AL	G407-E3592	G407-S593	9	f83r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Variantenatlas lokaler Becken und Anwendungen	tal	ACTION_RELATION	Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	STATIONSWERT EINSTELLEN · ZIELSTATION	EINSTELLEN · ZIELORT	YES	YES	YES
G490-C12	G490-F05	@ACTION+AL+Y	EINSTELLEN · ZIELORT · POSTEN	T+AL+Y	G407-E1295	G407-S071	10	f72r	CELESTIAL	TIERKREISRING	Tierkreis-Ringgruppe F	taly	ACTION_ARGUMENT_RELATION	Stelle den Positionsposten ein; zur Zielposition.	WERT EINSTELLEN · ZIELPOSITION · POSITIONSPOSTEN	EINSTELLEN · ZIELORT · POSTEN	YES	YES	YES
G490-C13	G490-F06	@ACTION+CH+E+Y	EINSTELLEN · NEHMEN · GRAD I · POSTEN	T+CH+E+Y	G407-E0129	G407-S005	58	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_C	tchey	MULTI_ACTION	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	FESTLEGEN · ENTNEHMEN · GRAD I · LAUFENDER EINTRAG	EINSTELLEN · NEHMEN · GRAD I · POSTEN	YES	YES	YES
G490-C14	G490-F07	@ACTION+CHD+Y	EINSTELLEN · BEARBEITEN · POSTEN	T+CHD+Y	G407-E1665	G407-S125	3	f75r	BIOLOGICAL	BAD_ODER_BECKENFELD	großes Bad-/Stationsblatt mit dreieckiger Insel	tchedy	MULTI_ACTION	Stelle den Stationsposten ein und bearbeite den Stationsposten.	STATIONSWERT EINSTELLEN · POSTEN BEARBEITEN · STATIONSPOSTEN	EINSTELLEN · BEARBEITEN · POSTEN	YES	YES	YES
G490-C15	G490-F07	@ACTION+CHD+Y	EINSTELLEN · BEARBEITEN · POSTEN	T+CHD+Y	G407-E3455	G407-S557	1	f83r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Variantenatlas lokaler Becken und Anwendungen	tchedy	MULTI_ACTION	Stelle den Stationsposten ein und bearbeite den Stationsposten.	STATIONSWERT EINSTELLEN · POSTEN BEARBEITEN · STATIONSPOSTEN	EINSTELLEN · BEARBEITEN · POSTEN	YES	YES	YES
G490-C16	G490-F07	@ACTION+CHD+Y	EINSTELLEN · BEARBEITEN · POSTEN	T+CHD+Y	G407-E3597	G407-S596	1	f83r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Variantenatlas lokaler Becken und Anwendungen	tchedy	MULTI_ACTION	Stelle den Stationsposten ein und bearbeite den Stationsposten.	STATIONSWERT EINSTELLEN · POSTEN BEARBEITEN · STATIONSPOSTEN	EINSTELLEN · BEARBEITEN · POSTEN	YES	YES	YES
G490-C17	G490-F07	@ACTION+CHD+Y	EINSTELLEN · BEARBEITEN · POSTEN	T+CHD+Y	G407-E3659	G407-S613	1	f83r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Variantenatlas lokaler Becken und Anwendungen	tchedy	MULTI_ACTION	Stelle den Stationsposten ein und bearbeite den Stationsposten.	STATIONSWERT EINSTELLEN · POSTEN BEARBEITEN · STATIONSPOSTEN	EINSTELLEN · BEARBEITEN · POSTEN	YES	YES	YES
G490-C18	G490-F07	@ACTION+CHD+Y	EINSTELLEN · BEARBEITEN · POSTEN	T+CHD+Y	G407-E4490	G407-S698	4	f95v	HERBAL	GANZPFLANZE	F95V_WHOLE_PLANT	tchedy	MULTI_ACTION	Stelle den Pflanzenposten ein und bearbeite den Pflanzenposten.	ARBEITSSTUFE EINSTELLEN · MATERIAL BEARBEITEN · PFLANZENPOSTEN	EINSTELLEN · BEARBEITEN · POSTEN	YES	YES	YES
G490-C19	G490-F08	@ACTION+OL	EINSTELLEN · FORTSETZEN	T+OL	G407-E0150	G407-S005	79	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_C	tol	ORDERED_ACTION	Weiter lege den laufenden Eintrag [wie zuvor] fest.	FESTLEGEN · WEITERFÜHREN	EINSTELLEN · FORTSETZEN	YES	YES	YES
G490-C20	G490-F08	@ACTION+OL	EINSTELLEN · FORTSETZEN	T+OL	G407-E0339	G407-S011	26	f11r	HERBAL	WURZEL_UND_GANZPFLANZE	blühender dreikroniger Sodenstock	tchol	ORDERED_ACTION	Weiter stelle den Arbeitswert [wie zuvor] ein.	ARBEITSSTUFE EINSTELLEN · PFLANZENBEHANDLUNG FORTSETZEN	EINSTELLEN · FORTSETZEN	YES	YES	YES
G490-C21	G490-F08	@ACTION+OL	EINSTELLEN · FORTSETZEN	T+OL	G407-E0852	G407-S040	5	f56r	HERBAL	KOPFSTADIEN_UND_GANZPFLANZE	stachelköpfiges Kraut in mehreren Reifestufen	tchol	ORDERED_ACTION	Weiter stelle den Pflanzenposten [wie zuvor] ein.	ARBEITSSTUFE EINSTELLEN · PFLANZENBEHANDLUNG FORTSETZEN	EINSTELLEN · FORTSETZEN	YES	YES	YES
G490-C22	G490-F08	@ACTION+OL	EINSTELLEN · FORTSETZEN	T+OL	G407-E0880	G407-S040	33	f56r	HERBAL	KOPFSTADIEN_UND_GANZPFLANZE	stachelköpfiges Kraut in mehreren Reifestufen	tchol	ORDERED_ACTION	Weiter stelle den Pflanzenposten [wie zuvor] ein.	ARBEITSSTUFE EINSTELLEN · PFLANZENBEHANDLUNG FORTSETZEN	EINSTELLEN · FORTSETZEN	YES	YES	YES
G490-C23	G490-F08	@ACTION+OL	EINSTELLEN · FORTSETZEN	T+OL	G407-E3683	G407-S619	6	f83r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Variantenatlas lokaler Becken und Anwendungen	tol	ORDERED_ACTION	Weiter stelle den Stationsposten [wie zuvor] ein.	STATIONSWERT EINSTELLEN · STATION WEITERFÜHREN	EINSTELLEN · FORTSETZEN	YES	YES	YES
