prompt_position	step	semantic_prompt_de	latin_like_phrase	workshop_abbreviation	exact_card_id	component_recipe	card_meaning_de	meaning_survives_shortening
1	1	ZUTAT	Recipe additamentum	R. addit.	PROC052	HO	ZUTAT	YES
2	1	LAUFENDER_POSTEN	ad opus	opus	PROC019	Y	POSTEN	YES
3	2	QUELLE	ex fonte	ex fonte	PROC003	AR	QUELLE	YES
4	2	WASSER_ENTNEHMEN	recipe aquam	R. aq.	PROC006	CH+AIR	ENTNEHMEN · WASSER	YES
5	2	SOLLMASS	ad mensuram	ad mens.	PROC009	AIIN	SOLLMASS	YES
6	3	DAZU	adde	adde	PROC005	OS	DAZU	YES
7	3	ANSATZ	preparationi	prep.	PROC016	OR	ANSATZ	YES
8	3	POSTEN_ANSETZEN	pone rem	pone	PROC008	OK+Y	ANSETZEN · POSTEN	YES
9	4	POSTEN_BEREITEN	praepara	praep.	PROC014	CTH+Y	BEREITEN · POSTEN	YES
10	4	POSTEN_LANG_HALTEN	tene diu	tene diu	PROC031	SH+EE+Y	HALTEN · LANG · POSTEN	YES
11	5	DAVON	ex eo	ex eo	PROC034	RESUME_CARD	DAVON	YES
12	5	SOLLMASS_ANSETZEN	pone ad mensuram	pone ad mens.	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
13	5	WEITER	continua	cont.	PROC013	OL	WEITER	YES
14	6	ZIELSTELLE	ad locum	ad loc.	PROC055	AL	ZIELSTELLE	YES
15	6	STEHENLASSEN_UND_SCHLIESSEN	stet; fini	stet / f.	PROC078	SHED+DY	STEHENLASSEN · SCHLUSS	YES
