event_id	page	record	statement_id	surface	card_no	component_recipe	compact_atomic_reading_de	historical_layers
E001	f10r	H1	H1-S001	dchey	PROC001	CH+E+Y	ABNEHMEN · KURZ · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE
E002	f10r	H1	H1-S001	cthoor	PROC002	CTH+O+OR	BEREIT · GANG · ANSATZ	STATE_OBJECT_SIGN
E003	f10r	H1	H1-S001	char	PROC003	AR	QUELLE	RELATION_ADDRESS_SIGN
E004	f10r	H1	H1-S001	chty	PROC004	T+Y	EINTRAGEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE
E005	f10r	H1	H1-S001	os	PROC005	OS	FACH	WHOLE_NOMENCLATOR
E006	f10r	H1	H1-S001	chair	PROC006	CH+AIR	ABNEHMEN · LAUF	OPERATION_SIGN+STATE_OBJECT_SIGN
E007	f10r	H1	H1-S001	otytchol	PROC007	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE+OPERATION_SIGN
E008	f10r	H1	H1-S001	oky	PROC008	OK+Y	ANSETZEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE
E009	f10r	H1	H1-S001	daiin	PROC009	AIIN	MASS	MEASURE_STAGE_SIGN
E010	f10r	H1	H1-S001	etyd	PROC010	E+T+Y	KURZ · EINTRAGEN · DIES	BOUND_GRADE+OPERATION_SIGN+DEICTIC_REFERENCE
E011	f10r	H1	H1-S002	qokchy	PROC011	OK+Y	ANSETZEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE
E012	f10r	H1	H1-S002	qotchol	PROC012	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	RELATION_ADDRESS_SIGN+OPERATION_SIGN
E013	f10r	H1	H1-S002	chol	PROC013	OL	FORTSETZEN	RELATION_ADDRESS_SIGN
E014	f10r	H1	H1-S002	cthy	PROC014	CTH+Y	BEREIT · DIES	STATE_OBJECT_SIGN+DEICTIC_REFERENCE
E015	f10r	H2	H2-S001	ycheor	PROC015	Y+CH+E+OR	DIES · ABNEHMEN · KURZ · ANSATZ	DEICTIC_REFERENCE+OPERATION_SIGN+BOUND_GRADE+STATE_OBJECT_SIGN
E016	f10r	H2	H2-S001	cthy	PROC014	CTH+Y	BEREIT · DIES	STATE_OBJECT_SIGN+DEICTIC_REFERENCE
E017	f10r	H2	H2-S001	chor	PROC016	OR	ANSATZ	STATE_OBJECT_SIGN
E018	f10r	H2	H2-S001	cthaiin	PROC017	CTH+AIIN	BEREIT · MASS	STATE_OBJECT_SIGN+MEASURE_STAGE_SIGN
E019	f10r	H2	H2-S001	qoctholy	PROC018	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	STATE_OBJECT_SIGN+RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE
E020	f10r	H2	H2-S001	dy	PROC019	Y	DIES	DEICTIC_REFERENCE
E021	f10r	H2	H2-S001	chy	PROC019	Y	DIES	DEICTIC_REFERENCE
E022	f10r	H2	H2-S001	taiin	PROC009	AIIN	MASS	MEASURE_STAGE_SIGN
E023	f10r	H2	H2-S001	shy	PROC019	Y	DIES	DEICTIC_REFERENCE
E024	f10r	H2	H2-S002	qotchor	PROC020	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	RELATION_ADDRESS_SIGN+OPERATION_SIGN+STATE_OBJECT_SIGN
E025	f10r	H2	H2-S002	chor	PROC016	OR	ANSATZ	STATE_OBJECT_SIGN
E026	f10r	H2	H2-S002	otol	PROC021	OT+OL	DANACH · FORTSETZEN	RELATION_ADDRESS_SIGN
E027	f10r	H2	H2-S002	chol	PROC013	OL	FORTSETZEN	RELATION_ADDRESS_SIGN
E028	f10r	H2	H2-S002	cholor	PROC022	OL+OR	FORTSETZEN · ANSATZ	RELATION_ADDRESS_SIGN+STATE_OBJECT_SIGN
E029	f10r	H2	H2-S002	chol	PROC013	OL	FORTSETZEN	RELATION_ADDRESS_SIGN
E030	f10r	H2	H2-S002	daiin	PROC009	AIIN	MASS	MEASURE_STAGE_SIGN
E031	f10r	H2	H2-S002	dar	PROC003	AR	QUELLE	RELATION_ADDRESS_SIGN
E032	f10r	H2	H2-S003	oykchor	PROC023	O+Y+K+OR	GANG · DIES · ZUDOSIEREN · ANSATZ	STATE_OBJECT_SIGN+DEICTIC_REFERENCE+OPERATION_SIGN
E033	f10r	H2	H2-S003	shor	PROC016	OR	ANSATZ	STATE_OBJECT_SIGN
E034	f10r	H2	H2-S003	chor	PROC016	OR	ANSATZ	STATE_OBJECT_SIGN
E035	f10r	H2	H2-S003	chy	PROC019	Y	DIES	DEICTIC_REFERENCE
E036	f10r	H2	H2-S003	kaiiin	PROC024	K+IIN	ZUDOSIEREN · STUFE	OPERATION_SIGN+MEASURE_STAGE_SIGN
E037	f10r	H2	H2-S003	dy	PROC019	Y	DIES	DEICTIC_REFERENCE
E038	f10r	H2	H2-S003	chodaiin	PROC025	CH+O+AIIN	ABNEHMEN · GANG · MASS	OPERATION_SIGN+STATE_OBJECT_SIGN+MEASURE_STAGE_SIGN
E039	f11r	H3	H3-S001	tshol	PROC026	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	OPERATION_SIGN+RELATION_ADDRESS_SIGN
