root_no	component	old_value_de	compact_table_value_de	changed_for_teaching	historical_layer	closest_workshop_analogue	apprentice_rule	card_types	events_with_component
R01	OK	ANSETZEN	ANSETZEN	NO	OPERATION_SIGN	alchemistische und pseudo-lullische Operationszeichen	als kurzes Verb im Bedeutungsrezept lernen	23	79
R02	CHD	UMSETZEN	UMSETZEN	NO	OPERATION_SIGN	alchemistische und pseudo-lullische Operationszeichen	als kurzes Verb im Bedeutungsrezept lernen	22	48
R03	SH	HALTEN	HALTEN	NO	OPERATION_SIGN	alchemistische und pseudo-lullische Operationszeichen	als kurzes Verb im Bedeutungsrezept lernen	20	25
R04	SHED	ABSETZEN	ABSETZEN	NO	OPERATION_SIGN	alchemistische und pseudo-lullische Operationszeichen	als kurzes Verb im Bedeutungsrezept lernen	3	15
R05	CHK	WAERMEN	WAERMEN	NO	OPERATION_SIGN	alchemistische und pseudo-lullische Operationszeichen	als kurzes Verb im Bedeutungsrezept lernen	4	7
R06	CTH	BEREIT	BEREIT	NO	STATE_OBJECT_SIGN	medizinisch-alchemistische Fach- und Stoffzeichen	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	8	15
R07	SOLK	AUFFANGEN	AUFFANGEN	NO	OPERATION_SIGN	alchemistische und pseudo-lullische Operationszeichen	als kurzes Verb im Bedeutungsrezept lernen	5	7
R08	P	EINFUELLEN	EINFUELLEN	NO	OPERATION_SIGN	alchemistische und pseudo-lullische Operationszeichen	als kurzes Verb im Bedeutungsrezept lernen	3	3
R09	LSH	WASCHEN	WASCHEN	NO	OPERATION_SIGN	alchemistische und pseudo-lullische Operationszeichen	als kurzes Verb im Bedeutungsrezept lernen	2	3
R10	CFH	AUSWRINGEN	AUSWRINGEN	NO	OPERATION_SIGN	alchemistische und pseudo-lullische Operationszeichen	als kurzes Verb im Bedeutungsrezept lernen	1	1
R11	CH	ABNEHMEN	ABNEHMEN	NO	OPERATION_SIGN	alchemistische und pseudo-lullische Operationszeichen	als kurzes Verb im Bedeutungsrezept lernen	15	16
R12	T	EINTRAGEN	EINTRAGEN	NO	OPERATION_SIGN	alchemistische und pseudo-lullische Operationszeichen	als kurzes Verb im Bedeutungsrezept lernen	9	10
R13	K	ZUDOSIEREN	ZUDOSIEREN	NO	OPERATION_SIGN	alchemistische und pseudo-lullische Operationszeichen	als kurzes Verb im Bedeutungsrezept lernen	18	21
R14	S	TEILEN	TEILEN	NO	OPERATION_SIGN	alchemistische und pseudo-lullische Operationszeichen	als kurzes Verb im Bedeutungsrezept lernen	1	1
R15	L	WEITERLEITEN	WEITERLEITEN	NO	OPERATION_SIGN	alchemistische und pseudo-lullische Operationszeichen	als kurzes Verb im Bedeutungsrezept lernen	18	27
R16	OL	FORTSETZEN	FORTSETZEN	NO	RELATION_ADDRESS_SIGN	tabellarische Adressen und kurze Kanzleioperatoren	Quelle Ziel oder Reihenfolge relativ zum aktiven Posten lesen	25	48
R17	OT	DANACH	DANACH	NO	RELATION_ADDRESS_SIGN	tabellarische Adressen und kurze Kanzleioperatoren	Quelle Ziel oder Reihenfolge relativ zum aktiven Posten lesen	16	26
R18	AL	ZIELSTELLE	ZIEL	YES	RELATION_ADDRESS_SIGN	tabellarische Adressen und kurze Kanzleioperatoren	Quelle Ziel oder Reihenfolge relativ zum aktiven Posten lesen	22	39
R19	AR	VORRAT	QUELLE	YES	RELATION_ADDRESS_SIGN	tabellarische Adressen und kurze Kanzleioperatoren	Quelle Ziel oder Reihenfolge relativ zum aktiven Posten lesen	10	14
R20	AIR	FLUESSIGKEITSLAUF	LAUF	YES	STATE_OBJECT_SIGN	medizinisch-alchemistische Fach- und Stoffzeichen	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	5	5
R21	OR	ANSATZ	ANSATZ	NO	STATE_OBJECT_SIGN	medizinisch-alchemistische Fach- und Stoffzeichen	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	10	18
R22	HO	ZUTAT	ZUTAT	NO	STATE_OBJECT_SIGN	medizinisch-alchemistische Fach- und Stoffzeichen	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	5	8
R23	CKH	DURCHLASS	DURCHLASS	NO	STATE_OBJECT_SIGN	medizinisch-alchemistische Fach- und Stoffzeichen	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	9	14
R24	O	ARBEITSGANG	GANG	YES	STATE_OBJECT_SIGN	medizinisch-alchemistische Fach- und Stoffzeichen	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	18	19
R25	Y	ARBEITSPOSTEN	DIES	YES	DEICTIC_REFERENCE	bildgestuetzte formularische Ellipse	auf den aktuell gemeinten vom Bild oder Record gelieferten Posten zeigen	60	124
R26	AIN	PORTION	PORTION	NO	MEASURE_STAGE_SIGN	Apotheker- Abakus- und Tabellenparameter	als unteilbaren Parameterwert lesen	8	18
R27	AIIN	SOLLMASS	MASS	YES	MEASURE_STAGE_SIGN	Apotheker- Abakus- und Tabellenparameter	als unteilbaren Parameterwert lesen	10	39
R28	IIN	ARBEITSSTUFE	STUFE	YES	MEASURE_STAGE_SIGN	Apotheker- Abakus- und Tabellenparameter	als unteilbaren Parameterwert lesen	3	4
R29	E	KURZ	KURZ	NO	BOUND_GRADE	mensuraler gebundener Wertmodifier	nur an einer lizenzierten Basis als Grad lesen	34	49
R30	EE	LANG	LANG	NO	BOUND_GRADE	mensuraler gebundener Wertmodifier	nur an einer lizenzierten Basis als Grad lesen	17	40
R31	EEE	VOLL	VOLL	NO	BOUND_GRADE	mensuraler gebundener Wertmodifier	nur an einer lizenzierten Basis als Grad lesen	2	2
R32	R	KUEHLEN	KUEHLEN	NO	OPERATION_SIGN	alchemistische und pseudo-lullische Operationszeichen	als kurzes Verb im Bedeutungsrezept lernen	6	6
R33	AN	NACHPORTION	NACHGABE	YES	MEASURE_STAGE_SIGN	Apotheker- Abakus- und Tabellenparameter	als unteilbaren Parameterwert lesen	1	1
R34	DA	ZWEITMARKER	ZWEIT	YES	MEASURE_STAGE_SIGN	Apotheker- Abakus- und Tabellenparameter	als unteilbaren Parameterwert lesen	1	1
R35	LD	BEFESTIGEN	BEFESTIGEN	NO	OPERATION_SIGN	alchemistische und pseudo-lullische Operationszeichen	als kurzes Verb im Bedeutungsrezept lernen	1	1
R36	DY	SCHLUSS	SCHLUSS	NO	BOUND_ENDPOINT	gelernte Endform einer Notationsfamilie	nur in einer lizenzierten exakten Endkarte als Schluss lesen	37	89
R37	OS	ARBEITSFACH	FACH	YES	WHOLE_NOMENCLATOR	diplomatischer Nomenklator und gelernte Brevigrafe	als ganze Karte lernen; innere Zeichen nicht zerlegen	1	1
R38	RESUME_CARD	WIEDERAUFNEHMEN	WIEDERAUFNEHMEN	NO	WHOLE_NOMENCLATOR	diplomatischer Nomenklator und gelernte Brevigrafe	als ganze Karte lernen; innere Zeichen nicht zerlegen	1	2
R39	TALAM	VERWAHREN	VERWAHREN	NO	WHOLE_NOMENCLATOR	diplomatischer Nomenklator und gelernte Brevigrafe	als ganze Karte lernen; innere Zeichen nicht zerlegen	1	1
