card_no	surfaces	component_recipe	compact_atomic_reading_de	historical_layers	composition_mode	events	pages
PROC001	dchey	CH+E+Y	ABNEHMEN · KURZ · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f10r
PROC002	cthoor	CTH+O+OR	BEREIT · GANG · ANSATZ	STATE_OBJECT_SIGN	PRODUCTIVE_COMPOSITION	1	f10r
PROC003	char|dar|sar	AR	QUELLE	RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	5	f10r|f81v|f82r|f83r
PROC004	chety|chty	T+Y	EINTRAGEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	2	f10r|f83r
PROC005	os	OS	FACH	WHOLE_NOMENCLATOR	MEMORIZED_WHOLE_COMMAND	1	f10r
PROC006	chair	CH+AIR	ABNEHMEN · LAUF	OPERATION_SIGN+STATE_OBJECT_SIGN	PRODUCTIVE_COMPOSITION	1	f10r
PROC007	otytchol	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE+OPERATION_SIGN	PRODUCTIVE_COMPOSITION	1	f10r
PROC008	choky|oky|qoky	OK+Y	ANSETZEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	10	f10r|f56r|f81v|f82r|f83r
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	MASS	MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r
PROC010	etyd	E+T+Y	KURZ · EINTRAGEN · DIES	BOUND_GRADE+OPERATION_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f10r
PROC011	chokchy|okchy|qokchy	OK+Y	ANSETZEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	3	f10r|f56r
PROC012	qotchol	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	RELATION_ADDRESS_SIGN+OPERATION_SIGN	PRODUCTIVE_COMPOSITION	1	f10r
PROC013	cheol|chol|ol|qol|sol|tol	OL	FORTSETZEN	RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	19	f10r|f81v|f83r
PROC014	checthy|cthy|shcthy	CTH+Y	BEREIT · DIES	STATE_OBJECT_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	7	f10r|f11r|f83r
PROC015	ycheor	Y+CH+E+OR	DIES · ABNEHMEN · KURZ · ANSATZ	DEICTIC_REFERENCE+OPERATION_SIGN+BOUND_GRADE+STATE_OBJECT_SIGN	PRODUCTIVE_COMPOSITION	1	f10r
PROC016	chor|or|shor|sor	OR	ANSATZ	STATE_OBJECT_SIGN	PRODUCTIVE_COMPOSITION	7	f10r|f55v|f83r
PROC017	cthaiin	CTH+AIIN	BEREIT · MASS	STATE_OBJECT_SIGN+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	1	f10r
PROC018	qoctholy	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	STATE_OBJECT_SIGN+RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f10r
PROC019	chey|chy|dy|shy|sy|y	Y	DIES	DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	18	f10r|f11r|f55v|f81v|f82r|f83r
PROC020	otchor|qotchor	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	RELATION_ADDRESS_SIGN+OPERATION_SIGN+STATE_OBJECT_SIGN	PRODUCTIVE_COMPOSITION	2	f10r|f56r
PROC021	otol	OT+OL	DANACH · FORTSETZEN	RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f10r
PROC022	cholor|olor	OL+OR	FORTSETZEN · ANSATZ	RELATION_ADDRESS_SIGN+STATE_OBJECT_SIGN	PRODUCTIVE_COMPOSITION	2	f10r|f81v
PROC023	oykchor	O+Y+K+OR	GANG · DIES · ZUDOSIEREN · ANSATZ	STATE_OBJECT_SIGN+DEICTIC_REFERENCE+OPERATION_SIGN	PRODUCTIVE_COMPOSITION	1	f10r
PROC024	kaiiin	K+IIN	ZUDOSIEREN · STUFE	OPERATION_SIGN+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	1	f10r
PROC025	chodaiin	CH+O+AIIN	ABNEHMEN · GANG · MASS	OPERATION_SIGN+STATE_OBJECT_SIGN+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	1	f10r
PROC026	tshol	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	OPERATION_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f11r
PROC027	schoal	SH+O+AL	HALTEN · GANG · ZIEL	OPERATION_SIGN+STATE_OBJECT_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f11r
PROC028	cfhy	CFH+Y	AUSWRINGEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	COMPOSITION_WITH_SINGLETON_ATOM	1	f11r
PROC029	shfydaiin	SH+Y+AIIN	HALTEN · DIES · MASS	OPERATION_SIGN+DEICTIC_REFERENCE+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	1	f11r
PROC030	cphy	P+Y	EINFUELLEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f11r
PROC031	cheey|shey	SH+EE+Y	HALTEN · LANG · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	4	f11r|f82r|f83r
PROC032	tchody	T+CH+O+DY	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS	OPERATION_SIGN+STATE_OBJECT_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f11r
PROC033	shoyty	SH+O+Y+T+Y	HALTEN · GANG · DIES · EINTRAGEN · DIES	OPERATION_SIGN+STATE_OBJECT_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f11r
PROC034	dchol|schol	RESUME_CARD	WIEDERAUFNEHMEN	WHOLE_NOMENCLATOR	MEMORIZED_WHOLE_COMMAND	2	f11r|f56r
PROC035	kchy	K+Y	ZUDOSIEREN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f11r
PROC036	qotchy	OT+Y	DANACH · DIES	RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f11r
PROC037	okchol	OK+OL	ANSETZEN · FORTSETZEN	OPERATION_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f11r
PROC038	okaiin|qokaiin	OK+AIIN	ANSETZEN · MASS	OPERATION_SIGN+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	9	f55v|f81v|f82r|f83r
PROC039	ykain	Y+K+AIN	DIES · ZUDOSIEREN · PORTION	DEICTIC_REFERENCE+OPERATION_SIGN+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	1	f55v
PROC040	ykan	Y+K+AN	DIES · ZUDOSIEREN · NACHGABE	DEICTIC_REFERENCE+OPERATION_SIGN+MEASURE_STAGE_SIGN	COMPOSITION_WITH_SINGLETON_ATOM	1	f55v
PROC041	ody	O+DY	GANG · SCHLUSS	STATE_OBJECT_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f55v
PROC042	chdy|chedy	CHD+Y	UMSETZEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	11	f55v|f81v|f83r
PROC043	talam	TALAM	VERWAHREN	WHOLE_NOMENCLATOR	MEMORIZED_WHOLE_COMMAND	1	f55v
