atom	atomic_default_de	word_class	composition_rule
AIIN	Sollmaß	ARGUMENT	one atom contributes one short default; no sentence expansion inside the dictionary
AIN	Anteil	ARGUMENT	one atom contributes one short default; no sentence expansion inside the dictionary
AIR	Lauf	ARGUMENT	one atom contributes one short default; no sentence expansion inside the dictionary
AL	Ziel	ARGUMENT	one atom contributes one short default; no sentence expansion inside the dictionary
AM	verwahren	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
AR	Quelle	ARGUMENT	one atom contributes one short default; no sentence expansion inside the dictionary
CFH	auswringen	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
CHD	umsetzen	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
CHEEY	Ergebnis	ENDPOINT	one atom contributes one short default; no sentence expansion inside the dictionary
CHEO	Auszug	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
CHK	wärmen	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
CKH	Durchlass	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
CKHE	trennen	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
CLOSE	Schluss	ENDPOINT	one atom contributes one short default; no sentence expansion inside the dictionary
CPH	nachseihen	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
CTH	bereit	ENDPOINT	one atom contributes one short default; no sentence expansion inside the dictionary
DAIN	Tuch	ARGUMENT	one atom contributes one short default; no sentence expansion inside the dictionary
DAN	anwenden	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
DCHE	Wurzel	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
DCHOL	vorher	GRADE_OR_ORDER	one atom contributes one short default; no sentence expansion inside the dictionary
E	kurz	GRADE_OR_ORDER	one atom contributes one short default; no sentence expansion inside the dictionary
EE	länger	GRADE_OR_ORDER	one atom contributes one short default; no sentence expansion inside the dictionary
EEE	vollständig	GRADE_OR_ORDER	one atom contributes one short default; no sentence expansion inside the dictionary
HO	Zutat	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
IIN	Stufe	ARGUMENT	one atom contributes one short default; no sentence expansion inside the dictionary
KCH	bearbeiten	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
L	abführen	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
LDDY	festbinden	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
LOCAL_WHOLE	Zusatz	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
ODY	kühlen	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
OK	ansetzen	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
OL	weiter	GRADE_OR_ORDER	one atom contributes one short default; no sentence expansion inside the dictionary
OR	Ansatz	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
OS	Gefäß	ARGUMENT	one atom contributes one short default; no sentence expansion inside the dictionary
OT	danach	GRADE_OR_ORDER	one atom contributes one short default; no sentence expansion inside the dictionary
P	zuführen	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
PARTITION	teilen	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
SH	halten	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
SHED	absetzen	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
SK	ausgießen	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
SOLK	sammeln	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
TY	Teil	ARGUMENT	one atom contributes one short default; no sentence expansion inside the dictionary
WASH	waschen	OPERATION_OR_LEARNED_BODY	one atom contributes one short default; no sentence expansion inside the dictionary
Y	Posten	ARGUMENT	one atom contributes one short default; no sentence expansion inside the dictionary
