dictionary_order	master_card_id	master_form	registered_surface_family	semantic_atoms	atomic_default_de	atomic_unit_count	original_short_default_de	revision_status	productivity_tier	composition_policy
1	MC001	chdal	chdal	CHD+AL	umsetzen+Ziel	2	dort umsetzen	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
2	MC002	okeey	okeey|qokeey	OK+EE+Y	ansetzen+länger+Posten	3	länger ansetzen	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
3	MC003	sheedy	sheedy	SHED+EE+CLOSE	absetzen+länger+Schluss	3	länger absetzen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
4	MC004	ldy	ldy	L+CLOSE	abführen+Schluss	2	abziehen; Ende	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
5	MC005	okchedy	okchedy|qokchedy	OK+CHD+CLOSE	ansetzen+umsetzen+Schluss	3	angesetzten Inhalt überführen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
6	MC006	chokcheo	chokcheo	OK+CHEO	ansetzen+Auszug	2	Auszug zugeben	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
7	MC007	okey	okey|qokey	OK+E+Y	ansetzen+kurz+Posten	3	kurz ansetzen	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
8	MC008	lchy	lchy	L+Y	abführen+Posten	2	abziehen	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
9	MC009	chary	chary	AR+Y	Quelle+Posten	2	aus diesem Posten	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
10	MC010	chodaly	chodaly	HO+AL+Y	Zutat+Ziel+Posten	3	diese Zutat zur Stelle bringen	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
11	MC011	lchedar	lchedar	L+CHD+AR	abführen+umsetzen+Quelle	3	von dort abführen	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
12	MC012	dl	dl	LOCAL_WHOLE	Zusatz	1	Zusatz	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
13	MC013	otchor	otchor|qotchor	OT+OR	danach+Ansatz	2	Folgeansatz	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
14	MC014	chair	chair	AIR	Lauf	1	Wasserzulauf	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
15	MC015	qokokchy	qokokchy	OK+OK+Y	ansetzen+ansetzen+Posten	3	erneut ansetzen	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
16	MC016	rol	rol	OL	weiter	1	vom vorigen Gang weiterführen	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
17	MC017	okain	okain|qokain	OK+AIN	ansetzen+Anteil	2	eine Portion zugeben	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
18	MC018	qotedaiin	qotedaiin	OT+E+AIIN	danach+kurz+Sollmaß	3	kurzes Folgemass	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
19	MC019	oldy	oldy	OL+CLOSE	weiter+Schluss	2	Fortsetzung abschließen	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
20	MC020	solkeey	solkeey	SOLK+EE+Y	sammeln+länger+Posten	3	länger sammeln	KEEP_SHORT_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
21	MC021	oltchy	oltchy	OL+CTH+Y	weiter+bereit+Posten	3	bereiten Posten weiterführen	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
22	MC022	chckhal	chckhal	CKH+AL	Durchlass+Ziel	2	zur Zielstelle durchleiten	REPLACE_SENTENCE_LIKE_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
