master_card_id	surface_family	semantic_atoms	old_default_de	new_atomic_default_de	reason
MC001	chdal	CHD+AL	dort umsetzen	umsetzen+Ziel	one short value per component; fluent syntax belongs to the statement layer
MC002	okeey|qokeey	OK+EE+Y	länger ansetzen	ansetzen+länger+Posten	one short value per component; fluent syntax belongs to the statement layer
MC003	sheedy	SHED+EE+CLOSE	länger absetzen; Schluss	absetzen+länger+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC004	ldy	L+CLOSE	abziehen; Ende	abführen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC005	okchedy|qokchedy	OK+CHD+CLOSE	angesetzten Inhalt überführen; Schluss	ansetzen+umsetzen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC006	chokcheo	OK+CHEO	Auszug zugeben	ansetzen+Auszug	one short value per component; fluent syntax belongs to the statement layer
MC007	okey|qokey	OK+E+Y	kurz ansetzen	ansetzen+kurz+Posten	one short value per component; fluent syntax belongs to the statement layer
MC008	lchy	L+Y	abziehen	abführen+Posten	one short value per component; fluent syntax belongs to the statement layer
MC009	chary	AR+Y	aus diesem Posten	Quelle+Posten	one short value per component; fluent syntax belongs to the statement layer
MC010	chodaly	HO+AL+Y	diese Zutat zur Stelle bringen	Zutat+Ziel+Posten	one short value per component; fluent syntax belongs to the statement layer
MC011	lchedar	L+CHD+AR	von dort abführen	abführen+umsetzen+Quelle	one short value per component; fluent syntax belongs to the statement layer
MC013	otchor|qotchor	OT+OR	Folgeansatz	danach+Ansatz	one short value per component; fluent syntax belongs to the statement layer
MC014	chair	AIR	Wasserzulauf	Lauf	one short value per component; fluent syntax belongs to the statement layer
MC015	qokokchy	OK+OK+Y	erneut ansetzen	ansetzen+ansetzen+Posten	one short value per component; fluent syntax belongs to the statement layer
MC016	rol	OL	vom vorigen Gang weiterführen	weiter	one short value per component; fluent syntax belongs to the statement layer
MC017	okain|qokain	OK+AIN	eine Portion zugeben	ansetzen+Anteil	one short value per component; fluent syntax belongs to the statement layer
MC018	qotedaiin	OT+E+AIIN	kurzes Folgemass	danach+kurz+Sollmaß	one short value per component; fluent syntax belongs to the statement layer
MC019	oldy	OL+CLOSE	Fortsetzung abschließen	weiter+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC020	solkeey	SOLK+EE+Y	länger sammeln	sammeln+länger+Posten	one short value per component; fluent syntax belongs to the statement layer
MC021	oltchy	OL+CTH+Y	bereiten Posten weiterführen	weiter+bereit+Posten	one short value per component; fluent syntax belongs to the statement layer
MC022	chckhal	CKH+AL	zur Zielstelle durchleiten	Durchlass+Ziel	one short value per component; fluent syntax belongs to the statement layer
MC023	kair	AIR	Beckenwasser	Lauf	one short value per component; fluent syntax belongs to the statement layer
MC024	qokol	OK+OL	Fortsetzung ansetzen	ansetzen+weiter	one short value per component; fluent syntax belongs to the statement layer
MC025	dchedy|schedy|tchedy	CHD+CLOSE	Posten überführen; Schluss	umsetzen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC026	choky|oky|qoky	OK+Y	aktuellen Posten ansetzen	ansetzen+Posten	one short value per component; fluent syntax belongs to the statement layer
MC027	oykchor	Y+KCH+OR	aktuellen Ansatz bearbeiten	Posten+bearbeiten+Ansatz	one short value per component; fluent syntax belongs to the statement layer
MC028	olchedy|qolchedy	OL+CHD+CLOSE	weiterüberführen; Schluss	weiter+umsetzen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC029	lar	L+AR	von dort abfuehren	abführen+Quelle	one short value per component; fluent syntax belongs to the statement layer
MC030	lo	L	abfuehren	abführen	one short value per component; fluent syntax belongs to the statement layer
MC031	dalchdy	AL+CHD+CLOSE	dorthin umsetzen; Schluss	Ziel+umsetzen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC032	cheeky	CHK+EE+Y	länger erwärmen und offen halten	wärmen+länger+Posten	one short value per component; fluent syntax belongs to the statement layer
MC033	oiiin|soiiin	IIN	Sollstufe	Stufe	one short value per component; fluent syntax belongs to the statement layer
MC035	chckhy|shckhy	CKH+Y	durchleiten	Durchlass+Posten	one short value per component; fluent syntax belongs to the statement layer
