event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	semantic_atoms	atomic_default_de	statement_translation_de
1	H1-S001	H1	f10r	dchey	MC071	DCHE+Y	Wurzel+Posten	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
2	H1-S001	H1	f10r	cthoor	MC158	CTH+OR	bereit+Ansatz	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
3	H1-S001	H1	f10r	char	MC055	AR	Quelle	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
4	H1-S001	H1	f10r	chty	MC086	PARTITION+TY	teilen+Teil	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
5	H1-S001	H1	f10r	os	MC159	OS	Gefäß	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
6	H1-S001	H1	f10r	chair	MC014	AIR	Lauf	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
7	H1-S001	H1	f10r	otytchol	MC069	OT+TY+OL	danach+Teil+weiter	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
8	H1-S001	H1	f10r	oky	MC026	OK+Y	ansetzen+Posten	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
9	H1-S001	H1	f10r	daiin	MC039	AIIN	Sollmaß	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
10	H1-S001	H1	f10r	etyd	MC108	E+TY	kurz+Teil	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
11	H1-S002	H1	f10r	qokchy	MC103	OK+Y	ansetzen+Posten	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
12	H1-S002	H1	f10r	qotchol	MC163	OT+OL	danach+weiter	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
13	H1-S002	H1	f10r	chol	MC153	OL	weiter	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
14	H1-S002	H1	f10r	cthy	MC161	CTH+Y	bereit+Posten	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
15	H2-S001	H2	f10r	ycheor	MC075	Y+CHEO+OR	Posten+Auszug+Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
16	H2-S001	H2	f10r	cthy	MC161	CTH+Y	bereit+Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
17	H2-S001	H2	f10r	chor	MC080	OR	Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
18	H2-S001	H2	f10r	cthaiin	MC169	CTH+AIIN	bereit+Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
19	H2-S001	H2	f10r	qoctholy	MC115	CTH+OL+Y	bereit+weiter+Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
20	H2-S001	H2	f10r	dy	MC123	Y	Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
21	H2-S001	H2	f10r	chy	MC123	Y	Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
22	H2-S001	H2	f10r	taiin	MC039	AIIN	Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
23	H2-S001	H2	f10r	shy	MC123	Y	Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
24	H2-S002	H2	f10r	qotchor	MC013	OT+OR	danach+Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
25	H2-S002	H2	f10r	chor	MC080	OR	Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
26	H2-S002	H2	f10r	otol	MC053	OT+OL	danach+weiter	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
27	H2-S002	H2	f10r	chol	MC153	OL	weiter	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
28	H2-S002	H2	f10r	cholor	MC157	OL+OR	weiter+Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
29	H2-S002	H2	f10r	chol	MC153	OL	weiter	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
30	H2-S002	H2	f10r	daiin	MC039	AIIN	Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
31	H2-S002	H2	f10r	dar	MC055	AR	Quelle	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
32	H2-S003	H2	f10r	oykchor	MC027	Y+KCH+OR	Posten+bearbeiten+Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
33	H2-S003	H2	f10r	shor	MC080	OR	Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
34	H2-S003	H2	f10r	chor	MC080	OR	Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
35	H2-S003	H2	f10r	chy	MC123	Y	Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
36	H2-S003	H2	f10r	kaiiin	MC048	IIN	Stufe	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
37	H2-S003	H2	f10r	dy	MC123	Y	Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
38	H2-S003	H2	f10r	chodaiin	MC087	HO+AIIN	Zutat+Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
39	H3-S001	H3	f11r	tshol	MC098	HO+L	Zutat+abführen	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
40	H3-S001	H3	f11r	schoal	MC049	HO+AL	Zutat+Ziel	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
41	H3-S001	H3	f11r	cfhy	MC129	CFH+Y	auswringen+Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
42	H3-S001	H3	f11r	shfydaiin	MC111	SH+AIIN	halten+Sollmaß	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
43	H3-S001	H3	f11r	cphy	MC156	CPH+Y	nachseihen+Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
