statement_id	physical_page	visible_owner	surface_sequence	specialist_cards	specialist_card_count	complete_working_translation_de
H1-S001	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey=Wurzel | os=Gefäß | otytchol=auffangen | etyd=Wurzelrest	4	Die Wurzel der Bildpflanze nehmen, einen Teil im Aufnahmegefäß vorbereiten, Flüssigkeit zugießen, den Folgeteil einsetzen, auf Sollmaß bringen und einen kleinen Rest belassen.
H1-S002	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qokchy qotchol chol cthy	qotchol=anwärmen	1	Die erste Charge weiterbearbeiten, zum Folgegang wechseln, dort weiterarbeiten und sie als bereit halten.
H2-S001	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	qoctholy=pressen	1	Aus dem bereiten Auszugsansatz die nächste Charge ansetzen, danach mit diesem Posten weiterarbeiten und ihn auf Sollmaß bringen.
H2-S003	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	oykchor shor chor chy kaiiin dy chodaiin	oykchor=Topf	1	Im Zubereitungsgefäß den Ansatz in der Bearbeitungsstufe bearbeiten und die vorgeschriebene Zugabemenge einsetzen.
H3-S001	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	tshol schoal cfhy shfydaiin cphy shey tchody	tshol=Blütenkraut | schoal=Weinsud | cfhy=auswringen | shfydaiin=vorgeschriebene Stehzeit | cphy=nachseihen | shey=Klarlauf | tchody=kalt stellen	7	Aus dem Kochgut einen Sudansatz bilden, auswringen, eine Stehzeit abwarten, nachseihen, den Klarlauf abnehmen und kalt stellen; Schluss.
H3-S002	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	shoyty	shoyty=Blütenreserve	1	Den weiteren Zugabeteil bereitlegen.
H3-S003	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	dchol chy kchy dy daiin	dchol=Voriges | kchy=Trank	2	Vom vorigen Ansatz diesen Posten weiterbearbeiten und auf Sollmaß bringen.
H4-S001	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	qokaiin chaiin ykain ykan ody	ody=kühlen	1	Den Ansatz bemessen, auf Sollmaß in eine erste und zweite Portion teilen und abkühlen lassen; Schluss.
H4-S002	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	daiin chedy talam	talam=verwahren	1	Die Sollmenge überführen und verwahren; Schluss.
H4-S004	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	aiin okal oltchy or y orain	oltchy=anwärmen	1	Das Sollmaß am Ziel einsetzen und aus diesem Ansatz mit dem Bereitungsanteil die Folgezubereitung bilden.
H5-S001	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	chochor cho chodaly daiin sho kchol otchor choky dal	kchol=auflegen	1	Einen Zugabeansatz herstellen, die weitere Zutat als Zielzugabe auf Sollmaß bringen, den Folgeansatz weiter bearbeiten, einsetzen und dorthin führen.
H5-S002	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	schol choy choky cheeckhody	schol=Voriges | choy=waschen | cheeckhody=auftragen	3	Vom vorigen Ansatz den Zugabeposten nehmen, einsetzen und an der Zielstelle auftragen; Schluss.
H5-S003	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	sh cho kchey qokokchy	sh=Stängel | kchey=zerreiben	2	Den Stängel und eine weitere Zutat kurz bearbeiten und erneut einsetzen.
