candidate_id	review_index	page	physical_folio	canvas_ids	geometry_class	visible_inscription_endpoint_count	source_aware_endpoint_localization	direction_basis	failure_stage	eligibility_status	review_note	formal_access_state
GDT389_CAND_001	4	f75r	f75	1006208	GRAPHICAL_CONNECTOR_WITH_NONSINGULAR_OR_NONINSCRIPTION_ENDPOINTS	UNRESOLVED	NOT_ATTEMPTED_SCREEN_DID_NOT_ESTABLISH_TWO_INSCRIPTION_ENDPOINTS	NONE_OR_UNRESOLVED	PAGE_SCREEN_ENDPOINT_OWNERSHIP	INELIGIBLE_AMBIGUOUS_NONINSCRIPTION_ENDPOINTS	A long vertical tube links an upper basin or figure region to a lower pool; surrounding and internal writing does not form two singular endpoint inscriptions.	SEALED
GDT389_CAND_002	9	f67v2	f67	1006195	GRAPHICAL_CONNECTOR_WITH_NONSINGULAR_OR_NONINSCRIPTION_ENDPOINTS	UNRESOLVED	NOT_ATTEMPTED_SCREEN_DID_NOT_ESTABLISH_TWO_INSCRIPTION_ENDPOINTS	NONE_OR_UNRESOLVED	PAGE_SCREEN_ENDPOINT_OWNERSHIP	INELIGIBLE_AMBIGUOUS_NONINSCRIPTION_ENDPOINTS	Corner-circle face networks use short connecting strokes; nearby or contained inscriptions do not occupy two singular line endpoints, and no arrow or flow direction is visible.	SEALED
GDT389_CAND_003	10	f77v	f77	1006213	GRAPHICAL_CONNECTOR_WITH_NONSINGULAR_OR_NONINSCRIPTION_ENDPOINTS	UNRESOLVED	NOT_ATTEMPTED_SCREEN_DID_NOT_ESTABLISH_TWO_INSCRIPTION_ENDPOINTS	NONE_OR_UNRESOLVED	PAGE_SCREEN_ENDPOINT_OWNERSHIP	INELIGIBLE_AMBIGUOUS_NONINSCRIPTION_ENDPOINTS	An upper conduit joins three figure or basin units; inscriptions are adjacent labels rather than connector endpoints, with no arrowhead or independent direction.	SEALED
GDT389_CAND_004	16	f83r	f83	1006224	GRAPHICAL_CONNECTOR_WITH_NONSINGULAR_OR_NONINSCRIPTION_ENDPOINTS	UNRESOLVED	NOT_ATTEMPTED_SCREEN_DID_NOT_ESTABLISH_TWO_INSCRIPTION_ENDPOINTS	NONE_OR_UNRESOLVED	PAGE_SCREEN_ENDPOINT_OWNERSHIP	INELIGIBLE_AMBIGUOUS_NONINSCRIPTION_ENDPOINTS	Arches and tubes join figures and source or target drawings; nearby inscriptions do not form two line endpoints and direction is unresolved.	SEALED
GDT389_CAND_005	26	f82r	f82	1006222	GRAPHICAL_CONNECTOR_WITH_NONSINGULAR_OR_NONINSCRIPTION_ENDPOINTS	UNRESOLVED	NOT_ATTEMPTED_SCREEN_DID_NOT_ESTABLISH_TWO_INSCRIPTION_ENDPOINTS	NONE_OR_UNRESOLVED	PAGE_SCREEN_ENDPOINT_OWNERSHIP	INELIGIBLE_AMBIGUOUS_NONINSCRIPTION_ENDPOINTS	Tubes link figures, a cross-piece, and pools; inscriptions are on or near apparatus rather than visibly attached to two connector endpoints.	SEALED
GDT389_CAND_006	30	f85r2	f85	1006228;1006229	GRAPHICAL_CONNECTOR_WITH_NONSINGULAR_OR_NONINSCRIPTION_ENDPOINTS	UNRESOLVED	NOT_ATTEMPTED_SCREEN_DID_NOT_ESTABLISH_TWO_INSCRIPTION_ENDPOINTS	NONE_OR_UNRESOLVED	PAGE_SCREEN_ENDPOINT_OWNERSHIP	INELIGIBLE_AMBIGUOUS_NONINSCRIPTION_ENDPOINTS	The two official part canvases show radial or path structures and prose; exact subpanel attribution and inscription endpoints remain unresolved, and no arrowhead is visible.	SEALED
GDT389_CAND_007	40	f78r	f78	1006214	GRAPHICAL_CONNECTOR_WITH_NONSINGULAR_OR_NONINSCRIPTION_ENDPOINTS	UNRESOLVED	NOT_ATTEMPTED_SCREEN_DID_NOT_ESTABLISH_TWO_INSCRIPTION_ENDPOINTS	NONE_OR_UNRESOLVED	PAGE_SCREEN_ENDPOINT_OWNERSHIP	INELIGIBLE_AMBIGUOUS_NONINSCRIPTION_ENDPOINTS	A segmented duct joins upper basket-like structures and a pool; nearby inscriptions label components but are not two connector endpoints.	SEALED
GDT389_CAND_008	41	f81v	f81	1006221	GRAPHICAL_CONNECTOR_WITH_NONSINGULAR_OR_NONINSCRIPTION_ENDPOINTS	UNRESOLVED	NOT_ATTEMPTED_SCREEN_DID_NOT_ESTABLISH_TWO_INSCRIPTION_ENDPOINTS	NONE_OR_UNRESOLVED	PAGE_SCREEN_ENDPOINT_OWNERSHIP	INELIGIBLE_AMBIGUOUS_NONINSCRIPTION_ENDPOINTS	A large enclosed figure array and a marginal drawn stem or tube provide possible connected geometry, but no singular pair of inscription endpoints can be isolated.	SEALED
GDT389_CAND_009	43	f68r3	f68	1006196	GRAPHICAL_CONNECTOR_WITH_NONSINGULAR_OR_NONINSCRIPTION_ENDPOINTS	UNRESOLVED	NOT_ATTEMPTED_SCREEN_DID_NOT_ESTABLISH_TWO_INSCRIPTION_ENDPOINTS	NONE_OR_UNRESOLVED	PAGE_SCREEN_ENDPOINT_OWNERSHIP	INELIGIBLE_AMBIGUOUS_NONINSCRIPTION_ENDPOINTS	A curved tail joins a star group to a moon drawing; inscriptions lie near the group and tail, but the line endpoints are graphical objects and no arrowhead supplies direction.	SEALED
GDT389_CAND_010	45	f77r	f77	1006212	GRAPHICAL_CONNECTOR_WITH_NONSINGULAR_OR_NONINSCRIPTION_ENDPOINTS	UNRESOLVED	NOT_ATTEMPTED_SCREEN_DID_NOT_ESTABLISH_TWO_INSCRIPTION_ENDPOINTS	NONE_OR_UNRESOLVED	PAGE_SCREEN_ENDPOINT_OWNERSHIP	INELIGIBLE_AMBIGUOUS_NONINSCRIPTION_ENDPOINTS	An upper segmented band or branch apparatus and lower drawings have nearby labels; connector endpoints are vessels or figures and direction is unresolved.	SEALED
