page	page_title_de	unit	section	orders	owner_or_handle_de	surface_sequence	atomic_root_sequence_de	dictionary_literal_de	fluent_workshop_reading_de	predicted_surface_sequence	source_unit_copies
f10r	Pflanzenblatt A — gezahnte Blütenpflanze	H1-S001	WHAT	WH01 | WH03	WH01:Bildprodukt A.G2 | WH03:Bildprodukt A.G2	dchey cthoor char chety os chair otytchol qoky daiin etyd	ENTNEHMEN · KURZ · POSTEN ; BEREIT · ARBEITSGANG · ANSATZ ; QUELLE ; BEARBEITEN · POSTEN ; DAZU ; ENTNEHMEN · LAUF ; DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · FORTSETZEN ; ANSETZEN · POSTEN ; MASS ; KURZ · BEARBEITEN · POSTEN	ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN; BEREITEN · ARBEITSGANG · ANSATZ; QUELLE; BEARBEITEN · POSTEN; DAZU; ENTNEHMEN · WASSER; DANACH DIESEN POSTEN BEARBEITEN, ENTNEHMEN UND WEITERFUEHREN; ANSETZEN · POSTEN; EIN KLEINER SCHOEPFBECHER; DEN POSTEN KURZ WEITERBEARBEITEN	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	dchey cthoor char chety os chair otytchol qoky daiin etyd	2
f10r	Pflanzenblatt A — gezahnte Blütenpflanze	H1-S002	WHAT	WH01 | WH03	WH01:Bildprodukt A.G2 | WH03:Bildprodukt A.G2	qokchy qotchol ol checthy	ANSETZEN · POSTEN ; DANACH · ENTNEHMEN · FORTSETZEN ; FORTSETZEN ; BEREIT · POSTEN	ANSETZEN · POSTEN; DANACH · ENTNEHMEN · WEITER; FORTSETZEN; BEREITEN · POSTEN	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	qokchy qotchol ol checthy	2
f11r	Pflanzenblatt B — zweite Zubereitungsfolge	H3-S001	WHAT	WH02 | WH05	WH02:Bildprodukt B.X4 | WH05:Bildprodukt B.X1	tshol schoal cfhy shfydaiin cphy cheey tchody	BEARBEITEN · HALTEN · FORTSETZEN ; HALTEN · ARBEITSGANG · ZIELSTELLE ; AUSPRESSEN · POSTEN ; HALTEN · POSTEN · MASS ; EINBRINGEN · POSTEN ; HALTEN · LANG · POSTEN ; BEARBEITEN · ENTNEHMEN · ARBEITSGANG · SCHLIESSEN	BEARBEITEN · HALTEN · WEITER; HALTEN · ARBEITSGANG · ZIELSTELLE; AUSPRESSEN · POSTEN; HALTEN · POSTEN · EIN KLEINER SCHOEPFBECHER; EINBRINGEN · POSTEN; LANG HALTEN; BEARBEITEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	Bei der dicht bluehenden Kronenpflanze: Den Posten bearbeiten und weiter halten, dann im Arbeitsgang an der Zielstelle halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einbringen, laenger halten, bearbeiten, im Arbeitsgang entnehmen und den Schritt schliessen.	tshol schoal cfhy shfydaiin cphy cheey tchody	2
f11r	Pflanzenblatt B — zweite Zubereitungsfolge	H3-S002	WHAT	WH02	WH02:Bildprodukt B.X4	shoyty	HALTEN · ARBEITSGANG · POSTEN · BEARBEITEN · POSTEN	HALTEN · ARBEITSGANG · POSTEN · BEARBEITEN · POSTEN	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und bearbeiten.	shoyty	1
f11r	Pflanzenblatt B — zweite Zubereitungsfolge	H3-S003	WHAT	WH02	WH02:Bildprodukt B.X4	schol chey kchy chey daiin	DAVON ; POSTEN ; ZUGEBEN · POSTEN ; POSTEN ; MASS	DAVON; POSTEN; ZUGEBEN · POSTEN; POSTEN; EIN KLEINER SCHOEPFBECHER	Bei der dicht bluehenden Kronenpflanze: Davon, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.	schol chey kchy chey daiin	1
f11r	Pflanzenblatt B — zweite Zubereitungsfolge	H3-S004	WHAT	WH02	WH02:Bildprodukt B.X4	qotchy okchol checthy chey	DANACH · POSTEN ; ANSETZEN · FORTSETZEN ; BEREIT · POSTEN ; POSTEN	DANACH · POSTEN; ANSETZEN · FORTSETZEN; BEREITEN · POSTEN; POSTEN	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	qotchy okchol checthy chey	1
f55v	Pflanzenblatt C — breitblättriger Stoff	H4-S001	WHAT	WH04	WH04:Bildprodukt C.W2	qokaiin daiin ykain ykan ody	ANSETZEN · MASS ; MASS ; POSTEN · ZUGEBEN · PORTION ; POSTEN · ZUGEBEN · NACHGABE ; ARBEITSGANG · SCHLIESSEN	ANSETZEN · EIN KLEINER SCHOEPFBECHER; EIN KLEINER SCHOEPFBECHER; POSTEN · ZUGEBEN · PORTION; POSTEN · ZUGEBEN · NACHGABE; ARBEITSGANG SCHLIESSEN	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.	qokaiin daiin ykain ykan ody	1
f55v	Pflanzenblatt C — breitblättriger Stoff	H4-S002	WHAT	WH04	WH04:Bildprodukt C.W2	daiin chedy talam	MASS ; UMSETZEN · POSTEN ; BEARBEITEN · ZIELSTELLE · GEGENFELD	EIN KLEINER SCHOEPFBECHER; UMSETZEN · POSTEN; GEGENSTELLE BEARBEITEN	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend an der Gegenstelle weiterbearbeiten.	daiin chedy talam	1
f55v	Pflanzenblatt C — breitblättriger Stoff	H4-S003	WHAT	WH04	WH04:Bildprodukt C.W2	ykaiin cheoar cheeky oldy	POSTEN · ZUGEBEN · MASS ; ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE ; WAERMEN · LANG · POSTEN ; FORTSETZEN · SCHLIESSEN	POSTEN · ZUGEBEN · MASS; ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE; WAERMEN · LANG · POSTEN; FORTSETZEN · SCHLIESSEN	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.	ykaiin cheoar cheeky oldy	1
f55v	Pflanzenblatt C — breitblättriger Stoff	H4-S004	WHAT	WH04	WH04:Bildprodukt C.W2	daiin qokal oltchy or chey orain	MASS ; ANSETZEN · ZIELSTELLE ; FORTSETZEN · BEARBEITEN · POSTEN ; ANSATZ ; POSTEN ; ANSATZ · PORTION	EIN KLEINER SCHOEPFBECHER; ANSETZEN · ZIELSTELLE; FORTSETZEN · BEARBEITEN · POSTEN; ANSATZ; POSTEN; ANSATZ · PORTION	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter bearbeiten, als Ansatz beibehalten und als Ansatzportion fuehren.	daiin qokal oltchy or chey orain	1
