unit	page	source_ids	fifth_hand_surface_sequence	component_sequence	phrase_ids	phrase_first_segmentation_de	fluent_workshop_reading_de	cards	phrase_chunks
H1-S001	f10r	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010	dchey cthoor char chety os chair otytchol qoky daiin etyd	CH+E+Y ; CTH+O+OR ; AR ; T+Y ; OS ; CH+AIR ; OT+Y+T+CH+OL ; OK+Y ; AIIN ; E+T+Y	PHR05	ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN ; BEREITEN · ARBEITSGANG · ANSATZ ; QUELLE ; BEARBEITEN · POSTEN ; DAZU ; ENTNEHMEN · WASSER ; DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER ; PHR05[DEN POSTEN NACH SOLLMASS ANSETZEN] ; EIN KURZER ARBEITSGANG · BEARBEITEN · POSTEN	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	10	1
H1-S002	f10r	E011,E012,E013,E014	qokchy qotchol ol checthy	OK+Y ; OT+CH+OL ; OL ; CTH+Y	NONE	ANSETZEN · POSTEN ; DANACH · ENTNEHMEN · WEITER ; WEITER ; BEREITEN · POSTEN	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	4	0
H3-S001	f11r	E039,E040,E041,E042,E043,E044,E045	tshol schoal cfhy shfydaiin cphy cheey tchody	T+SH+OL ; SH+O+AL ; CFH+Y ; SH+Y+AIIN ; P+Y ; SH+EE+Y ; T+CH+O+DY	NONE	BEARBEITEN · HALTEN · WEITER ; HALTEN · ARBEITSGANG · ZIELSTELLE ; AUSPRESSEN · POSTEN ; HALTEN · POSTEN · EIN KLEINER SCHOEPFBECHER ; EINBRINGEN · POSTEN ; HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN ; BEARBEITEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	Bei der dicht bluehenden Kronenpflanze: Den Posten bearbeiten und weiter halten, dann im Arbeitsgang an der Zielstelle halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einbringen, laenger halten, bearbeiten, im Arbeitsgang entnehmen und den Schritt schliessen.	7	0
H3-S002	f11r	E046	shoyty	SH+O+Y+T+Y	NONE	HALTEN · ARBEITSGANG · POSTEN · BEARBEITEN · POSTEN	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und bearbeiten.	1	0
H4-S001	f55v	E056,E057,E058,E059,E060	qokaiin daiin ykain ykan ody	OK+AIIN ; AIIN ; Y+K+AIN ; Y+K+AN ; O+DY	NONE	ANSETZEN · EIN KLEINER SCHOEPFBECHER ; EIN KLEINER SCHOEPFBECHER ; POSTEN · ZUGEBEN · EIN ABGEGRENZTER TEIL ; POSTEN · ZUGEBEN · NACHGABE ; ARBEITSGANG · SCHLUSS	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.	5	0
H4-S002	f55v	E061,E062,E063	daiin chedy talam	AIIN ; CHD+Y ; TALAM	NONE	EIN KLEINER SCHOEPFBECHER ; UMSETZEN · POSTEN ; BEISEITESTELLEN	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend beiseitestellen.	3	0
H4-S003	f55v	E064,E065,E066,E067	ykaiin cheoar cheeky oldy	Y+K+AIIN ; CH+E+O+AR ; CHK+EE+Y ; OL+DY	NONE	POSTEN · ZUGEBEN · EIN KLEINER SCHOEPFBECHER ; ENTNEHMEN · EIN KURZER ARBEITSGANG · ARBEITSGANG · QUELLE ; WAERMEN · DREI KURZE ARBEITSGAENGE · POSTEN ; WEITER · SCHLUSS	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.	4	0
H4-S004	f55v	E068,E069,E070,E071,E072,E073	daiin qokal oltchy or chey orain	AIIN ; OK+AL ; OL+T+Y ; OR ; Y ; OR+AIN	PHR09	EIN KLEINER SCHOEPFBECHER ; ANSETZEN · ZIELSTELLE ; WEITER · BEARBEITEN · POSTEN ; PHR09[DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN] ; ANSATZ · EIN ABGEGRENZTER TEIL	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter bearbeiten, als Ansatz beibehalten und als Ansatzportion fuehren.	6	1
H5-S001	f56r	E074,E075,E076,E077,E078,E079,E080,E081,E082	chochor cho chodaly daiin cho kchol otchor qoky dal	HO+CH+OR ; HO ; HO+AL+Y ; AIIN ; HO ; K+OL ; OT+CH+OR ; OK+Y ; AL	NONE	ZUTAT · ENTNEHMEN · ANSATZ ; ZUTAT ; ZUTAT · ZIELSTELLE · POSTEN ; EIN KLEINER SCHOEPFBECHER ; ZUTAT ; ZUGEBEN · WEITER ; DANACH · ENTNEHMEN · ANSATZ ; ANSETZEN · POSTEN ; ZIELSTELLE	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.	9	0
H5-S002	f56r	E083,E084,E085,E086	schol choy qoky cheeckhody	RESUME_CARD ; HO+Y ; OK+Y ; CH+EE+CKH+O+DY	NONE	DAVON ; ZUTAT · POSTEN ; ANSETZEN · POSTEN ; ENTNEHMEN · DREI KURZE ARBEITSGAENGE · DURCHLASS · ARBEITSGANG · SCHLUSS	Bei der mehrkoepfigen stacheligen Pflanze: Davon, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.	4	0
