phrase_id	card_length	component_sequence	working_phrase_de	occurrences	statements	pages	identity_sequence_invariant	surface_sequences	workshop_use
PHR01	2	AIIN | Y	DEN POSTEN NACH SOLLMASS FUEHREN	2	B2-S012,B3-S003	f82r,f83r	YES	daiin chey	MEMORIZE_AS_ACTION_CHUNK
PHR02	2	AL | OL	AN DER ZIELSTELLE WEITERARBEITEN	2	B1-S002,B5-S003	f81v,f83r	YES	dal ol	MEMORIZE_AS_ACTION_CHUNK
PHR03	2	CHD+Y | OL	DEN POSTEN UMSETZEN UND WEITERFUEHREN	2	B1-S004,B4-S011	f81v,f83r	YES	chedy ol	MEMORIZE_AS_ACTION_CHUNK
PHR04	2	OK+EE+Y | OK+Y	DEN POSTEN LAENGER ANSETZEN UND ERNEUT ANSETZEN	2	B2-S010,B4-S003	f82r,f83r	YES	qokeey qoky	MEMORIZE_AS_ACTION_CHUNK
PHR05	2	OK+Y | AIIN	DEN POSTEN NACH SOLLMASS ANSETZEN	2	B3-S030,H1-S001	f10r,f83r	YES	qoky daiin	MEMORIZE_AS_ACTION_CHUNK
PHR06	2	OK+Y | OL	DEN POSTEN ANSETZEN UND WEITERARBEITEN	2	B2-S010,B4-S003	f82r,f83r	NO	qoky ls || qoky ol	MEMORIZE_AS_ACTION_CHUNK
PHR07	2	OL | SHED+DY	WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN	4	B1-S004,B1-S008,B1-S016,B4-S003	f81v,f83r	YES	ol shedy	MEMORIZE_AS_ACTION_CHUNK
PHR08	2	OL+K+AIN | AL	EINE PORTION WEITER AN DIE ZIELSTELLE GEBEN	2	B1-S002,B4-S016	f81v,f83r	YES	olkain dal	MEMORIZE_AS_ACTION_CHUNK
PHR09	2	OR | Y	DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN	2	B4-S014,H4-S004	f55v,f83r	YES	or chey	MEMORIZE_AS_ACTION_CHUNK
PHR10	3	OK+EE+Y | OK+Y | OL	DEN POSTEN LAENGER ANSETZEN, ERNEUT ANSETZEN UND WEITERARBEITEN	2	B2-S010,B4-S003	f82r,f83r	NO	qokeey qoky ls || qokeey qoky ol	MEMORIZE_AS_ACTION_CHUNK
