phrase_id	occurrence	unit	page	start_source_id	end_source_id	identity_sequence	surface_sequence	literal_cards_de	working_phrase_de
PHR01	1	B2-S012	f82r	E207	E208	PROC009 PROC019	daiin chey	EIN KLEINER SCHOEPFBECHER; POSTEN	DEN POSTEN NACH SOLLMASS FUEHREN
PHR01	2	B3-S003	f83r	E233	E234	PROC009 PROC019	daiin chey	EIN KLEINER SCHOEPFBECHER; POSTEN	DEN POSTEN NACH SOLLMASS FUEHREN
PHR02	1	B1-S002	f81v	E109	E110	PROC055 PROC013	dal ol	ZIELSTELLE; WEITER	AN DER ZIELSTELLE WEITERARBEITEN
PHR02	2	B5-S003	f83r	E365	E366	PROC055 PROC013	dal ol	ZIELSTELLE; WEITER	AN DER ZIELSTELLE WEITERARBEITEN
PHR03	1	B1-S004	f81v	E123	E124	PROC042 PROC013	chedy ol	UMSETZEN · POSTEN; WEITER	DEN POSTEN UMSETZEN UND WEITERFUEHREN
PHR03	2	B4-S011	f83r	E342	E343	PROC042 PROC013	chedy ol	UMSETZEN · POSTEN; WEITER	DEN POSTEN UMSETZEN UND WEITERFUEHREN
PHR04	1	B2-S010	f82r	E194	E195	PROC092 PROC008	qokeey qoky	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN; ANSETZEN · POSTEN	DEN POSTEN LAENGER ANSETZEN UND ERNEUT ANSETZEN
PHR04	2	B4-S003	f83r	E322	E323	PROC092 PROC008	qokeey qoky	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN; ANSETZEN · POSTEN	DEN POSTEN LAENGER ANSETZEN UND ERNEUT ANSETZEN
PHR05	1	H1-S001	f10r	E008	E009	PROC008 PROC009	qoky daiin	ANSETZEN · POSTEN; EIN KLEINER SCHOEPFBECHER	DEN POSTEN NACH SOLLMASS ANSETZEN
PHR05	2	B3-S030	f83r	E298	E299	PROC008 PROC009	qoky daiin	ANSETZEN · POSTEN; EIN KLEINER SCHOEPFBECHER	DEN POSTEN NACH SOLLMASS ANSETZEN
PHR06	1	B2-S010	f82r	E195	E196	PROC008 PROC115	qoky ls	ANSETZEN · POSTEN; WEITER	DEN POSTEN ANSETZEN UND WEITERARBEITEN
PHR06	2	B4-S003	f83r	E323	E324	PROC008 PROC013	qoky ol	ANSETZEN · POSTEN; WEITER	DEN POSTEN ANSETZEN UND WEITERARBEITEN
PHR07	1	B1-S004	f81v	E124	E125	PROC013 PROC078	ol shedy	WEITER; STEHENLASSEN · SCHLUSS	WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN
PHR07	2	B1-S008	f81v	E135	E136	PROC013 PROC078	ol shedy	WEITER; STEHENLASSEN · SCHLUSS	WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN
PHR07	3	B1-S016	f81v	E154	E155	PROC013 PROC078	ol shedy	WEITER; STEHENLASSEN · SCHLUSS	WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN
PHR07	4	B4-S003	f83r	E324	E325	PROC013 PROC078	ol shedy	WEITER; STEHENLASSEN · SCHLUSS	WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN
PHR08	1	B1-S002	f81v	E108	E109	PROC070 PROC055	olkain dal	WEITER · ZUGEBEN · EIN ABGEGRENZTER TEIL; ZIELSTELLE	EINE PORTION WEITER AN DIE ZIELSTELLE GEBEN
PHR08	2	B4-S016	f83r	E358	E359	PROC070 PROC055	olkain dal	WEITER · ZUGEBEN · EIN ABGEGRENZTER TEIL; ZIELSTELLE	EINE PORTION WEITER AN DIE ZIELSTELLE GEBEN
PHR09	1	H4-S004	f55v	E071	E072	PROC016 PROC019	or chey	ANSATZ; POSTEN	DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN
PHR09	2	B4-S014	f83r	E348	E349	PROC016 PROC019	or chey	ANSATZ; POSTEN	DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN
PHR10	1	B2-S010	f82r	E194	E196	PROC092 PROC008 PROC115	qokeey qoky ls	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN; ANSETZEN · POSTEN; WEITER	DEN POSTEN LAENGER ANSETZEN, ERNEUT ANSETZEN UND WEITERARBEITEN
PHR10	2	B4-S003	f83r	E322	E324	PROC092 PROC008 PROC013	qokeey qoky ol	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN; ANSETZEN · POSTEN; WEITER	DEN POSTEN LAENGER ANSETZEN, ERNEUT ANSETZEN UND WEITERARBEITEN
