statement_id	page	record	owner_noun_de	events	productive_recipe_events	bound_variant_events	local_singleton_events	memorized_whole_events	core15_touch_events	surface_sequence	component_sequence	working_reading_de	semantic_rebuild
H1-S001	f10r	H1	die breite gezahnte Bluetenpflanze	10	9	0	0	1	7	dchey cthoor char chty os chair otytchol oky daiin etyd	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.	PASS
H1-S002	f10r	H1	die breite gezahnte Bluetenpflanze	4	4	0	0	0	4	qokchy qotchol chol cthy	OK+Y | OT+CH+OL | OL | CTH+Y	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	PASS
H2-S001	f10r	H2	die breite gezahnte Bluetenpflanze	9	9	0	0	0	8	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	PASS
H2-S002	f10r	H2	die breite gezahnte Bluetenpflanze	8	8	0	0	0	7	qotchor chor otol chol cholor chol daiin dar	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.	PASS
H2-S003	f10r	H2	die breite gezahnte Bluetenpflanze	7	7	0	0	0	5	oykchor shor chor chy kaiiin dy chodaiin	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Arbeitsstufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.	PASS
H3-S001	f11r	H3	die dicht bluehende Kronenpflanze	7	6	0	1	0	7	tshol schoal cfhy shfydaiin cphy shey tchody	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle weiter halten; auswringen, bis zum Sollmass halten, in den Empfaenger fuellen, laenger halten, entnehmen und den Schritt schliessen.	PASS
H3-S002	f11r	H3	die dicht bluehende Kronenpflanze	1	1	0	0	0	1	shoyty	SH+O+Y+T+Y	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und anwenden.	PASS
H3-S003	f11r	H3	die dicht bluehende Kronenpflanze	5	4	0	0	1	4	dchol chy kchy dy daiin	RESUME_CARD | Y | K+Y | Y | AIIN	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.	PASS
H3-S004	f11r	H3	die dicht bluehende Kronenpflanze	4	4	0	0	0	4	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	PASS
H4-S001	f55v	H4	die breitblaettrige rispige Pflanze	5	4	1	0	0	5	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.	PASS
