event_id	page	record	statement_id	owner_de	exact_card_id	surface	component_recipe	component_values_de	working_reading_de	exact_semantic_rebuild	card_tier	core15_touch	form_owner_boundary_status
E001	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC001	dchey	CH+E+Y	ENTNEHMEN · KURZ · DIES	ENTNEHMEN · KURZ · DIES	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E002	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC002	cthoor	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	YES	PRODUCTIVE_RECIPE	NO	UNCHANGED
E003	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC003	char	AR	QUELLE	QUELLE	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E004	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC004	chty	T+Y	ANWENDEN · DIES	ANWENDEN · DIES	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E005	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC005	os	OS	FACH	FACH	YES	MEMORIZED_WHOLE_CARD	NO	UNCHANGED
E006	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC006	chair	CH+AIR	ENTNEHMEN · WASSER	ENTNEHMEN · WASSER	YES	PRODUCTIVE_RECIPE	NO	UNCHANGED
E007	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC007	otytchol	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E008	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC008	oky	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E009	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC009	daiin	AIIN	SOLLMASS	SOLLMASS	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E010	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC010	etyd	E+T+Y	KURZ · ANWENDEN · DIES	KURZ · ANWENDEN · DIES	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E011	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC011	qokchy	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E012	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC012	qotchol	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	DANACH · ENTNEHMEN · WEITER	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E013	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC013	chol	OL	WEITER	WEITER	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E014	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC014	cthy	CTH+Y	BEREITEN · DIES	BEREITEN · DIES	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E015	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC015	ycheor	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	DIES · ENTNEHMEN · KURZ · ANSATZ	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E016	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC014	cthy	CTH+Y	BEREITEN · DIES	BEREITEN · DIES	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E017	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC016	chor	OR	ANSATZ	ANSATZ	YES	PRODUCTIVE_RECIPE	NO	UNCHANGED
E018	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC017	cthaiin	CTH+AIIN	BEREITEN · SOLLMASS	BEREITEN · SOLLMASS	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E019	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC018	qoctholy	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · DIES	ARBEITSGANG · BEREITEN · WEITER · DIES	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E020	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC019	dy	Y	DIES	DIES	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E021	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC019	chy	Y	DIES	DIES	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E022	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC009	taiin	AIIN	SOLLMASS	SOLLMASS	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E023	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC019	shy	Y	DIES	DIES	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E024	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC020	qotchor	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	DANACH · ENTNEHMEN · ANSATZ	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E025	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC016	chor	OR	ANSATZ	ANSATZ	YES	PRODUCTIVE_RECIPE	NO	UNCHANGED
E026	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC021	otol	OT+OL	DANACH · WEITER	DANACH · WEITER	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
E027	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC013	chol	OL	WEITER	WEITER	YES	PRODUCTIVE_RECIPE	YES	UNCHANGED
