component_no	component	short_value_de	grammar_tier	exact_cards	events	access_rule	diagnostic_surfaces
C01	OK	ANSETZEN	PARADIGM_CORE15	24	80	freely read only in registered recipe slot	chokcheo|chokchy|choky|okaiin|okain|okair|okal|okchedy|okchol|okchy|okeeol|okeey|okey|oky|qokaiin|qokain|qokal|qokaly|qokar|qokchdy|qokchedy|qokchy|qokedy|qokeedal|qokeedy|qokeeedy|qokeey|qokey|qokokchy|qokol|qokshedy|qoky|qokylddy
C02	CHD	UMSETZEN	PARADIGM_CORE15	22	48	freely read only in registered recipe slot	chdal|chdy|chedain|chedchy|chedy|dalchdy|dchdy|dchedy|lched|lchedal|lchedar|lchedy|lochedy|okchedy|olchedy|otchdy|otchedy|pchedal|pchedy|qokchdy|qokchedy|qolchedy|qotchedy|schedair|schedy|shecthedchy|sshkchdy|tchedy
C03	SH	HALTEN	RECURRENT_RULE_STRIP	20	25	read from recurrent wall strip	cheey|dshedy|dsheol|qokshedy|rsheal|schoal|sh|shckhedy|sheckhal|sheckhy|shecthedchy|shecthy|sheedy|sheey|shey|shfydaiin|shoyty|solshedy|sshkchdy|tshey|tshol
C04	SHED	ABSETZEN	RECURRENT_RULE_STRIP	3	15	read from recurrent wall strip	cheedy|rshedy|shedal|shedy|tedy
C05	CHK	WAERMEN	RECURRENT_RULE_STRIP	4	7	read from recurrent wall strip	cheeky|cheky|chkeedy|chkeey
C06	CTH	BEREITEN	RECURRENT_RULE_STRIP	8	15	read from recurrent wall strip	checthy|cthaiin|cthoor|cthy|octheol|qcthey|qoctholy|shcthey|shcthy|shecthedchy|shecthy
C07	SOLK	SAMMELSTELLE	RECURRENT_RULE_STRIP	5	7	read from recurrent wall strip	olkeedy|qolky|solkaiin|solkeedy|solkeey|solkey
C08	P	FUELLEN	RECURRENT_RULE_STRIP	3	3	read from recurrent wall strip	cphy|pchedal|pchedy
C09	LSH	WASCHEN	RECURRENT_RULE_STRIP	2	3	read from recurrent wall strip	lshedy|lsho
C10	CFH	AUSWRINGEN	LOCAL_SINGLETON	1	1	copy from owner-local model card	cfhy
C11	CH	ENTNEHMEN	RECURRENT_RULE_STRIP	15	16	read from recurrent wall strip	chair|chckhal|cheeckhody|cheoar|ches|chochor|chodaiin|chokcheo|dchey|lchy|otchor|otytchol|qotchol|qotchor|tchody|ycheor
C12	T	ANWENDEN	RECURRENT_RULE_STRIP	9	10	read from recurrent wall strip	cheeety|chety|chty|etyd|oltchy|otytchol|shoyty|tchody|tshol|ytey
C13	K	ZUGEBEN	PARADIGM_CORE15	18	21	freely read only in registered recipe slot	chkain|kaiiin|kain|kair|kchal|kchey|kchoar|kchol|kchy|keol|lkedy|olkain|oykchor|qekey|qolkain|skar|sshkchdy|ykaiin|ykain|ykan
C14	S	TEIL	LOCAL_SINGLETON	1	1	copy from owner-local model card	ches
