apprentice_entry_id	entry_tier	lesson	recognition_form	workshop_value_de	image_value_de	surface_variants	events_or_atom_uses	copy_or_compose_rule_de
A001	PRODUCTIVE_ABBREVIATION	1	Y	dieser Arbeitsgegenstand	dieser Bildplatz	PRODUCTIVE_RENDERING	997	Bedeutung beitragen und mit Nachbarkürzeln zusammensetzen.
A002	PRODUCTIVE_ABBREVIATION	4	OK	Arbeitsgang ansetzen	Bildplatz aktivieren	PRODUCTIVE_RENDERING	448	Bedeutung beitragen und mit Nachbarkürzeln zusammensetzen.
A003	PRODUCTIVE_ABBREVIATION	5	E	kurz oder direkt	erster Grad	PRODUCTIVE_RENDERING	429	Bedeutung beitragen und mit Nachbarkürzeln zusammensetzen.
A004	PRODUCTIVE_ABBREVIATION	5	DY	Arbeitsschritt schließen	Bildeintrag schließen	PRODUCTIVE_RENDERING	368	Bedeutung beitragen und mit Nachbarkürzeln zusammensetzen.
A005	PRODUCTIVE_ABBREVIATION	4	O	Arbeitsgang ausführen	Reihe aufrufen	PRODUCTIVE_RENDERING	341	Bedeutung beitragen und mit Nachbarkürzeln zusammensetzen.
A006	PRODUCTIVE_ABBREVIATION	2	OL	im selben Arbeitsgang fortfahren	dieselbe Reihe fortführen	PRODUCTIVE_RENDERING	325	Bedeutung beitragen und mit Nachbarkürzeln zusammensetzen.
A007	PRODUCTIVE_ABBREVIATION	5	EE	länger oder gehalten	zweiter Grad	PRODUCTIVE_RENDERING	264	Bedeutung beitragen und mit Nachbarkürzeln zusammensetzen.
A008	PRODUCTIVE_ABBREVIATION	2	OT	danach oder nächster Posten	nächster Bildplatz	PRODUCTIVE_RENDERING	239	Bedeutung beitragen und mit Nachbarkürzeln zusammensetzen.
A009	PRODUCTIVE_ABBREVIATION	3	AL	Ziel- oder Anschlussstelle	Zielplatz	PRODUCTIVE_RENDERING	229	Bedeutung beitragen und mit Nachbarkürzeln zusammensetzen.
A010	PRODUCTIVE_ABBREVIATION	4	CH	bezeichneten Anteil entnehmen	Klasse oder Figur kennzeichnen	PRODUCTIVE_RENDERING	222	Bedeutung beitragen und mit Nachbarkürzeln zusammensetzen.
A011	PRODUCTIVE_ABBREVIATION	1	D_ADDR	bezeichneter Teil	Unterplatz	PRODUCTIVE_RENDERING	222	Bedeutung beitragen und mit Nachbarkürzeln zusammensetzen.
A012	PRODUCTIVE_ABBREVIATION	4	SH	Arbeitsgegenstand halten	Bezug festhalten	PRODUCTIVE_RENDERING	219	Bedeutung beitragen und mit Nachbarkürzeln zusammensetzen.
A013	PRODUCTIVE_ABBREVIATION	3	AR	Entnahmestelle	Quell- oder Bezugsstelle	PRODUCTIVE_RENDERING	201	Bedeutung beitragen und mit Nachbarkürzeln zusammensetzen.
