lesson	lesson_title_de	entries	entry_ids	instruction_de	oral_exercise_de
1	Besitzer und Rückverweis	8	A001|A011|A027|A030|A031|A035|A052|A056	Bildbesitzer zuerst setzen; DIES, Wiederaufnahme und Unter-/Innen-/Sternadressen lesen.	Meister zeigt Bildbesitzer und spricht die Kartenwerte; Lehrling setzt zwei neue Beispiele und liest sie zurück.
2	Reihe, Wahl und lokale Zeichen	15	A006|A008|A016|A022|A029|A039|A043|A045|A046|A048|A049|A050|A051|A054|A055	Fortsetzung, nächste Stelle, Auswahl, Marke und kleine Seitenzeichen verwenden.	Meister zeigt Bildbesitzer und spricht die Kartenwerte; Lehrling setzt zwei neue Beispiele und liest sie zurück.
3	Menge und Adresse	5	A009|A013|A015|A021|A034	Sollwert, Einheit, Ziel, Quelle und Stufe an den laufenden Posten binden.	Meister zeigt Bildbesitzer und spricht die Kartenwerte; Lehrling setzt zwei neue Beispiele und liest sie zurück.
4	Arbeitsverben	9	A002|A005|A010|A012|A014|A017|A020|A023|A033	Ansetzen, bearbeiten, entnehmen, umsetzen, zugeben, einstellen, einsetzen, halten und behandeln.	Meister zeigt Bildbesitzer und spricht die Kartenwerte; Lehrling setzt zwei neue Beispiele und liest sie zurück.
5	Grad und Ende	6	A003|A004|A007|A024|A025|A037	Kurz, lang, voll, bereit, abgesetzt und kartenspezifisch geschlossen unterscheiden.	Meister zeigt Bildbesitzer und spricht die Kartenwerte; Lehrling setzt zwei neue Beispiele und liest sie zurück.
6	Weg, Durchlass und Stoffgang	13	A018|A019|A026|A028|A032|A036|A038|A040|A041|A042|A044|A047|A053	Verbindung, Laufweg, Durchlass, Auszug, Sammeln, Spülen, Gegenlauf und Trennen.	Meister zeigt Bildbesitzer und spricht die Kartenwerte; Lehrling setzt zwei neue Beispiele und liest sie zurück.
7	Häufigste Formelkarten	20	A057|A058|A059|A060|A061|A062|A063|A064|A065|A066|A067|A068|A069|A070|A071|A072|A073|A074|A075|A076	Die Karten 1–20 als ungeteilte Werkstattwendungen lernen.	Meister zeigt Bildbesitzer und spricht die Kartenwerte; Lehrling setzt zwei neue Beispiele und liest sie zurück.
8	Mittlere Formelkarten	27	A077|A078|A079|A080|A081|A082|A083|A084|A085|A086|A087|A088|A089|A090|A091|A092|A093|A094|A095|A096|A097|A098|A099|A100|A101|A102|A103	Die Karten 21–47 samt Schreibvarianten lernen.	Meister zeigt Bildbesitzer und spricht die Kartenwerte; Lehrling setzt zwei neue Beispiele und liest sie zurück.
9	Erweiterte Formelkarten	16	A104|A105|A106|A107|A108|A109|A110|A111|A112|A113|A114|A115|A116|A117|A118|A119	Die Karten 48–63 als häufige seitenübergreifende Wendungen lernen.	Meister zeigt Bildbesitzer und spricht die Kartenwerte; Lehrling setzt zwei neue Beispiele und liest sie zurück.
10	Lange Formeln und lokale Namen	16	A120|A121|A122|A123|A124|A125|A126|A127|A128|A129|A130|A131|A132|A133|A134|A135	Die Karten 64–79 lesen; danach bildlokale Nomenklatorkarten aus dem Exemplar kopieren.	Meister zeigt Bildbesitzer und spricht die Kartenwerte; Lehrling setzt zwei neue Beispiele und liest sie zurück.
