exact_card_id	component_recipe	reading_de	hand_1_events	hand_1_surfaces	hand_1_wrappers	hand_2_events	hand_2_surfaces	hand_2_wrappers	surface_overlap	variant_status
PROC003	AR	QUELLE	2	char,dar	ch:1,d:1	3	char,dar,sar	ch:1,d:1,s:1	char,dar	PORTABLE_SURFACE_EXISTS
PROC004	T+Y	ANWENDEN · DIES	1	chty	ch:1	1	chety	che:1	NONE	DISJOINT_SURFACES__HAND_OR_REGISTER_CANDIDATE
PROC008	OK+Y	ANSETZEN · DIES	3	choky,oky	NONE:1,ch:2	7	qoky	q:7	NONE	DISJOINT_SURFACES__POSITION_AND_HAND_MIXED
PROC009	AIIN	SOLLMASS	6	daiin,taiin	d:5,t:1	14	aiin,chaiin,daiin,saiin	NONE:3,ch:1,d:6,s:4	daiin	PORTABLE_SURFACE_EXISTS
PROC013	OL	WEITER	3	chol	ch:3	16	cheol,ol,qol,sol,tol	NONE:8,che:1,q:3,s:3,t:1	NONE	DISJOINT_SURFACES__POSITION_AND_HAND_MIXED
PROC014	CTH+Y	BEREITEN · DIES	3	cthy	NONE:3	4	checthy,shcthy	che:2,sh:2	NONE	DISJOINT_SURFACES__HAND_OR_REGISTER_CANDIDATE
PROC016	OR	ANSATZ	4	chor,shor	ch:3,sh:1	3	or,sor	NONE:2,s:1	NONE	DISJOINT_SURFACES__POSITION_AND_HAND_MIXED
PROC019	Y	DIES	8	chy,dy,shy	ch:3,d:4,sh:1	10	chey,dy,sy,y	NONE:1,che:7,d:1,s:1	dy	PORTABLE_SURFACE_EXISTS
PROC022	OL+OR	WEITER · ANSATZ	1	cholor	ch:1	1	olor	NONE:1	NONE	DISJOINT_SURFACES__POSITION_AND_HAND_MIXED
PROC031	SH+EE+Y	HALTEN · LANG · DIES	1	shey	sh:1	3	cheey,shey	che:2,sh:1	shey	PORTABLE_SURFACE_EXISTS
PROC055	AL	ZIELSTELLE	1	dal	d:1	9	al,chal,cheal,dal,sal,tal	NONE:1,ch:1,che:1,d:4,s:1,t:1	dal	PORTABLE_SURFACE_EXISTS
PROC065	OT+Y	DANACH · DIES	1	otchey	NONE:1	1	otchey	NONE:1	otchey	PORTABLE_SURFACE_EXISTS
