component_recipe	hand_1_exact_cards	hand_1_surfaces	hand_1_events	hand_2_exact_cards	hand_2_surfaces	hand_2_events	shared_exact_cards	relationship
AIIN	PROC009	daiin,taiin	6	PROC009	aiin,chaiin,daiin,saiin	14	PROC009	SHARED_EXACT_CARD_PRESENT
AL	PROC055	dal	1	PROC055	al,chal,cheal,dal,sal,tal	9	PROC055	SHARED_EXACT_CARD_PRESENT
AR	PROC003	char,dar	2	PROC003	char,dar,sar	3	PROC003	SHARED_EXACT_CARD_PRESENT
CTH+Y	PROC014	cthy	3	PROC014	checthy,shcthy	4	PROC014	SHARED_EXACT_CARD_PRESENT
OK+OL	PROC037	okchol	1	PROC160	qokol	1	NONE	DISJOINT_EXACT_CARD_ALTERNANTS
OK+Y	PROC008,PROC011	chokchy,choky,okchy,oky,qokchy	6	PROC008	qoky	7	PROC008	SHARED_EXACT_CARD_PRESENT
OL	PROC013	chol	3	PROC013,PROC115	cheol,ls,ol,qol,sol,tol	17	PROC013	SHARED_EXACT_CARD_PRESENT
OL+OR	PROC022	cholor	1	PROC022	olor	1	PROC022	SHARED_EXACT_CARD_PRESENT
OR	PROC016	chor,shor	4	PROC016	or,sor	3	PROC016	SHARED_EXACT_CARD_PRESENT
OT+Y	PROC036,PROC065	otchey,qotchy	2	PROC065	otchey	1	PROC065	SHARED_EXACT_CARD_PRESENT
SH+EE+Y	PROC031	shey	1	PROC031,PROC157	cheey,sheey,shey	4	PROC031	SHARED_EXACT_CARD_PRESENT
T+Y	PROC004	chty	1	PROC004	chety	1	PROC004	SHARED_EXACT_CARD_PRESENT
Y	PROC019	chy,dy,shy	8	PROC019	chey,dy,sy,y	10	PROC019	SHARED_EXACT_CARD_PRESENT
