source_index	page	locus	section	language	hand	entry_id	paragraph_start	word_count	hierarchy_rows	extreme_gap_count	extreme_gap_positions	soft_break_count	soft_break_positions	high_break_count	high_break_positions	right_restart_count	right_restart_positions	right_restart_initials	boundary_classes	raw_eva	layout_aware_eva	candidate_segment_count	candidate_segments
1	f1r	f1r.1	T	A	1	f1r:E01	1	10	0	0		0		0		0				fachys ykal ar ataiin shol shory cthres y kor sholdy	fachys ykal ar ataiin shol shory cthres y kor sholdy	1	fachys ykal ar ataiin shol shory cthres y kor sholdy
2	f1r	f1r.2	T	A	1	f1r:E01	0	11	0	0		0		0		0				sory ckhar or y kair chtaiin shar ase cthar cthar dan	sory ckhar or y kair chtaiin shar ase cthar cthar dan	1	sory ckhar or y kair chtaiin shar ase cthar cthar dan
3	f1r	f1r.3	T	A	1	f1r:E01	0	9	0	0		0		0		0				syaiir sheky or ykaiin shod cthoary cthes daraiin sy	syaiir sheky or ykaiin shod cthoary cthes daraiin sy	1	syaiir sheky or ykaiin shod cthoary cthes daraiin sy
4	f1r	f1r.4	T	A	1	f1r:E01	0	9	0	0		0		0		0				soiin oteey oteos roloty cthiar daiin okaiin or okan	soiin oteey oteos roloty cthiar daiin okaiin or okan	1	soiin oteey oteos roloty cthiar daiin okaiin or okan
5	f1r	f1r.5	T	A	1	f1r:E01	0	6	0	0		0		0		0				sair y chear cthaiin cphar cfhaiin	sair y chear cthaiin cphar cfhaiin	1	sair y chear cthaiin cphar cfhaiin
6	f1r	f1r.6	T	A	1	f1r:E01	0	1	0	0		0		0		0				ydaraishy	ydaraishy	1	ydaraishy
7	f1r	f1r.7	T	A	1	f1r:E02	1	8	0	0		0		0		0				odar shol cphoy oydar sh s cfhoaiin shodary	odar shol cphoy oydar sh s cfhoaiin shodary	1	odar shol cphoy oydar sh s cfhoaiin shodary
8	f1r	f1r.8	T	A	1	f1r:E02	0	10	0	0		0		0		0				yshey shody okchoy otchol chocthy os chy dain chor kos	yshey shody okchoy otchol chocthy os chy dain chor kos	1	yshey shody okchoy otchol chocthy os chy dain chor kos
9	f1r	f1r.9	T	A	1	f1r:E02	0	4	0	0		0		0		0				daiin shos cfhol shody	daiin shos cfhol shody	1	daiin shos cfhol shody
10	f1r	f1r.10	T	A	1	f1r:E02	0	3	0	0		0		0		0				dain os teody	dain os teody	1	dain os teody
11	f1r	f1r.11	T	A	1	f1r:E03	1	8	0	0		0		0		0				ydain cphesaiin ols cphey ytain shoshy cphodal es	ydain cphesaiin ols cphey ytain shoshy cphodal es	1	ydain cphesaiin ols cphey ytain shoshy cphodal es
12	f1r	f1r.12	T	A	1	f1r:E03	0	8	0	0		0		0		0				oksho kshoy otairin oteol okan shodain sckhey daiin	oksho kshoy otairin oteol okan shodain sckhey daiin	1	oksho kshoy otairin oteol okan shodain sckhey daiin
13	f1r	f1r.13	T	A	1	f1r:E03	0	9	0	0		0		0		0				shoy ckhey kodaiin cphy cphodaiils cthey sho oldain d	shoy ckhey kodaiin cphy cphodaiils cthey sho oldain d	1	shoy ckhey kodaiin cphy cphodaiils cthey sho oldain d
14	f1r	f1r.14	T	A	1	f1r:E03	0	10	0	0		0		0		0				dain oiin chol odaiin chodain chdy okain dn cthy kod	dain oiin chol odaiin chodain chdy okain dn cthy kod	1	dain oiin chol odaiin chodain chdy okain dn cthy kod
15	f1r	f1r.15	T	A	1	f1r:E03	0	11	0	0		0		0		0				daiin shckhey eo r char shey kol chol chol kor chal	daiin shckhey eo r char shey kol chol chol kor chal	1	daiin shckhey eo r char shey kol chol chol kor chal
16	f1r	f1r.16	T	A	1	f1r:E03	0	10	0	0		0		0		0				sho chol shodan kshy kchy d or chodaiin sho koeam	sho chol shodan kshy kchy d or chodaiin sho koeam	1	sho chol shodan kshy kchy d or chodaiin sho koeam
17	f1r	f1r.17	T	A	1	f1r:E03	0	8	0	0		0		0		0				ycho tchey chekain sheo pshol dydyd cthy daiy	ycho tchey chekain sheo pshol dydyd cthy daiy	1	ycho tchey chekain sheo pshol dydyd cthy daiy
18	f1r	f1r.18	T	A	1	f1r:E03	0	9	0	0		0		0		0				yto shol she kodshey cphealy dar ain dain ckhyds	yto shol she kodshey cphealy dar ain dain ckhyds	1	yto shol she kodshey cphealy dar ain dain ckhyds
19	f1r	f1r.19	T	A	1	f1r:E03	0	8	0	0		0		0		0				dchar shcthaiin okaiir chey chy tol cthols dloo	dchar shcthaiin okaiir chey chy tol cthols dloo	1	dchar shcthaiin okaiir chey chy tol cthols dloo
20	f1r	f1r.20	T	A	1	f1r:E03	0	5	1	1	3	0		0		1	3	d	LAYOUT_INTERRUPTION_GROUP_ONLY	shok chor chey dain ckhey	shok chor chey ⟨LAYOUT_INTERRUPTION?;RIGHT_RESTART_FORM=d⟩ dain ckhey	1	shok chor chey dain ckhey
21	f1r	f1r.21	T	A	1	f1r:E03	0	2	0	0		0		0		0				otol daiiin	otol daiiin	1	otol daiiin
22	f1r	f1r.22	T	A	1	f1r:E04	1	10	0	0		0		0		0				cpho shaiin shokcheey chol tshodeesy shey pydeey cha ro dar	cpho shaiin shokcheey chol tshodeesy shey pydeey cha ro dar	1	cpho shaiin shokcheey chol tshodeesy shey pydeey cha ro dar
23	f1r	f1r.23	T	A	1	f1r:E04	0	10	0	0		0		0		0				ydoin chol dain cthal dar shear kaiin dar shey cthar	ydoin chol dain cthal dar shear kaiin dar shey cthar	1	ydoin chol dain cthal dar shear kaiin dar shey cthar
24	f1r	f1r.24	T	A	1	f1r:E04	0	10	0	0		0		0		0				cho o kaiin shoaiin okol daiin far cthol daiin ctholdar	cho o kaiin shoaiin okol daiin far cthol daiin ctholdar	1	cho o kaiin shoaiin okol daiin far cthol daiin ctholdar
25	f1r	f1r.25	T	A	1	f1r:E04	0	9	0	0		0		0		0				ycheey okeey oky daiin okchey kokaiin ochol kdchy dal	ycheey okeey oky daiin okchey kokaiin ochol kdchy dal	1	ycheey okeey oky daiin okchey kokaiin ochol kdchy dal
26	f1r	f1r.26	T	A	1	f1r:E04	0	10	0	0		0		0		0				dcheo shody koshey cthy ok chey keey keey dal chtor	dcheo shody koshey cthy ok chey keey keey dal chtor	1	dcheo shody koshey cthy ok chey keey keey dal chtor
27	f1r	f1r.27	T	A	1	f1r:E04	0	5	0	0		0		0		0				eo chol chok choty chotey	eo chol chok choty chotey	1	eo chol chok choty chotey
28	f1r	f1r.28	T	A	1	f1r:E04	0	1	0	0		0		0		0				dchaiin	dchaiin	1	dchaiin
29	f1v	f1v.1	H	A	1	f1v:E01	1	9	0	0		0		0		0				kchsy chydaiin ol o l tchey char cfhar am	kchsy chydaiin ol o l tchey char cfhar am	1	kchsy chydaiin ol o l tchey char cfhar am
