page	locus	all_three_present	all_present_exact	zl3b_it2a_similarity	zl3b_rf1b_similarity	zl3b_clean	it2a_clean	rf1b_clean
f1r	f1r.1	1	0	1.000000	0.800000	fachys ykal ar ataiin shol shory cthres y kor sholdy	fachys ykal ar ataiin shol shory cthres y kor sholdy	fachys ykal ar taiin shol shory ses y kor sholdy
f1r	f1r.2	1	0	0.909091	0.727273	sory ckhar or y kair chtaiin shar ase cthar cthar dan	sory ckhar or y kair chtaiin shar are cthar cthar dan	sory ckhar ory kair chtaiin shar is cthar cthar dan
f1r	f1r.3	1	0	0.888889	1.000000	syaiir sheky or ykaiin shod cthoary cthes daraiin sy	syaiir sheky or ykaiin shod cthoary cthes daraiin sa	syaiir sheky or ykaiin shod cthoary cthes daraiin sy
f1r	f1r.4	1	0	0.666667	0.777778	soiin oteey oteos roloty cthiar daiin okaiin or okan	ooiin oteey oteos roloty cthar daiin otaiin or okan	soiin oteey oteor roloty ar daiin okaiin or okan
f1r	f1r.5	1	0	0.833333	0.666667	sair y chear cthaiin cphar cfhaiin	dair y chear cthaiin cphar cfhaiin	sairy chear cthaiin cphar cfhaiin
f1r	f1r.6	1	1	1.000000	1.000000	ydaraishy	ydaraishy	ydaraishy
f1r	f1r.7	1	0	0.800000	1.000000	odar shol cphoy oydar sh s cfhoaiin shodary	odar o y shol cphoy oydar sh s cfhoaiin shodary	odar shol cphoy oydar sh s cfhoaiin shodary
f1r	f1r.8	1	0	0.800000	0.800000	yshey shody okchoy otchol chocthy os chy dain chor kos	yshey shody okchoy otchol chocthy oschy dain chor kos	yshey shody okchoy otchol chocthy oschy dain chor kos
f1r	f1r.9	1	1	1.000000	1.000000	daiin shos cfhol shody	daiin shos cfhol shody	daiin shos cfhol shody
f1r	f1r.10	1	0	1.000000	0.333333	dain os teody	dain os teody	dain or teod
f1r	f1r.11	1	0	0.500000	1.000000	ydain cphesaiin ols cphey ytain shoshy cphodal es	ydain cphesaiin ol s cphey ytain shoshy cphodales	ydain cphesaiin ols cphey ytain shoshy cphodal es
f1r	f1r.12	1	0	1.000000	0.875000	oksho kshoy otairin oteol okan shodain sckhey daiin	oksho kshoy otairin oteol okan shodain sckhey daiin	oksho kshoy otairin oteol okan shodain schy daiin
f1r	f1r.13	1	0	0.888889	0.666667	shoy ckhey kodaiin cphy cphodaiils cthey sho oldain d	shoy ckhey kodaiin cphy cphodaiils cthey she oldain d	shoy ckhey kodaiin cphy cphodaiils y sho ol ain
f1r	f1r.14	1	0	0.900000	0.900000	dain oiin chol odaiin chodain chdy okain dn cthy kod	dain oiin chol odaiin chodain chdy okain dan cthy kod	dain oiin chol odaiin chodain chdy okain an cthy kod
f1r	f1r.15	1	0	0.727273	0.909091	daiin shckhey eo r char shey kol chol chol kor chal	daiin shckhey ckeor chor shey kol chol chol kor chal	daiin shckhey ckho r char shey kol chol chol kor chal
f1r	f1r.16	1	0	0.700000	0.900000	sho chol shodan kshy kchy d or chodaiin sho koeam	sho chol shodan kshy kchy dor chodaiin sho kchom	sho chol shodan kshy kchy d or chodaiin sho keeam
f1r	f1r.17	1	0	0.750000	0.750000	ycho tchey chekain sheo pshol dydyd cthy daiy	ycho tchey chokain sheo pshol dydyd cthy daicthy	ycho tchey chekain sheopshol dydyd cthy daiy
f1r	f1r.18	1	0	0.777778	0.888889	yto shol she kodshey cphealy dar ain dain ckhyds	yto shol she kodshey cphealy dasain dain ckhyds	to shol she kodshey cphealy dar ain dain ckhyds
f1r	f1r.19	1	0	0.625000	1.000000	dchar shcthaiin okaiir chey chy tol cthols dloo	dchar shcthaiin okaiir chey rchy potol cthols dlocta	dchar shcthaiin okaiir chey chy tol cthols dloo
f1r	f1r.20	1	1	1.000000	1.000000	shok chor chey dain ckhey	shok chor chey dain ckhey	shok chor chey dain ckhey
f1r	f1r.21	1	1	1.000000	1.000000	otol daiiin	otol daiiin	otol daiiin
f1r	f1r.22	1	0	0.800000	0.900000	cpho shaiin shokcheey chol tshodeesy shey pydeey cha ro dar	cpho shaiin shokcheey chol tshodeesy shey pydeey chy ro d	cpho shaiin shokcheey chol tshodeesy shey pydeey chy ro dar
f1r	f1r.23	1	0	0.900000	0.800000	ydoin chol dain cthal dar shear kaiin dar shey cthar	doin chol dain cthal dar shear kaiin dar shey cthar	ain chol dain cthal dar shear kaiin dar ey cthar
f1r	f1r.24	1	0	0.800000	0.900000	cho o kaiin shoaiin okol daiin far cthol daiin ctholdar	choo kaiin shoaiin okol daiin far cthol daiin ctholdar	cho o kaiin shoaiin okol daiin par cthol daiin ctholdar
f1r	f1r.25	1	0	0.666667	0.800000	ycheey okeey oky daiin okchey kokaiin ochol kdchy dal	ycheey okay oky daiin okchey kokaiin chol kchy dal	ycheey okeey oky daiin okchey kokaiin ochol k chy dal
