page	locus	source_page	source_locus	old_locus	code	continuation	transcription	word_count	clean_text	raw_text	section	language	hand
f1r	f1r.1	f1r	f1r.1	f1r.P1.1	@P0	1	U	10	zyays ykal ar ytaiin shol shory cthres y kor sholdy	zyays.ykal.ar.ytaiin.shol.shory.cthres.y.kor.sholdy<|>	T	A	1
f1r	f1r.2	f1r	f1r.2	f1r.P1.2	+P0	-	U	11	sory ckhar or y kair chtaiin shar ary cthar cthar dan	<:>sory.ckhar.or,y.kair.chtaiin.shar.ary.cthar.cthar.dan<|>	T	A	1
f1r	f1r.3	f1r	f1r.3	f1r.P1.3	+P0	-	U	9	syaiir sheky or ykaiin shod cthoary ithes daraiin sy	<:>syaiir.sheky.or.ykaiin.shod.cthoary.ithes.daraiin.sy<|>	T	A	1
f1r	f1r.4	f1r	f1r.4	f1r.P1.4	+P0	-	U	9	doiin oteey otear roloty ctar daiin okaiin or okan	doiin.oteey.otear.roloty.ctar.daiin.okaiin.or.okan<|>	T	A	1
f1r	f1r.5	f1r	f1r.5	f1r.P1.5	+P0	-	U	5	sairy chear cthaiin cphar cfhaiin	sairy.chear.cthaiin.cphar.cfhaiin<$>	T	A	1
f1r	f1r.6	f1r	f1r.6	f1r.T1.6	=Pt	L	U	1	ydaraishy	�ydaraishy<$>	T	A	1
f1r	f1r.7	f1r	f1r.7	f1r.P2.7	*P0	1	U	8	odar shol cphoy oydar sh s cfhoaiin shodary	&252;.odar.&C~y;.shol.cphoy.oydar.sh?.s.cfhoaiin.shodary<|>	T	A	1
f1r	f1r.8	f1r	f1r.8	f1r.P2.8	+P0	-	U	9	yshey shody okchoy otchol chocthy oschy dain chor kos	<:>yshey.shody.okchoy.otchol.chocthy.oschy.dain.chor.kos<|>	T	A	1
f1r	f1r.9	f1r	f1r.9	f1r.P2.9	+P0	-	U	4	daiin shos cfhol shody	<:>daiin.shos.cfhol.shody<$>	T	A	1
f1r	f1r.10	f1r	f1r.10	f1r.T2.10	=Pt	L	U	3	dain or teody	�dain.or.teody<$>	T	A	1
f1r	f1r.11	f1r	f1r.11	f1r.P3.11	*P0	1	U	7	ydain cwhesaiin ols cwhey ytain shoshy cphodales	&253;.ydain.cwhesaiin.ols,cwhey.ytain.shoshy.cphodales<|>	T	A	1
f1r	f1r.12	f1r	f1r.12	f1r.P3.12	+P0	-	U	8	oksho kshoy otairin oteol okan shodain sckhey daiin	<:>oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin<|>	T	A	1
f1r	f1r.13	f1r	f1r.13	f1r.P3.13	+P0	-	U	9	shoy ckhey kodaiin cphy cphodaiils y shy oldain d	<:>shoy.ckhey.kodaiin.cphy.cphodaiils.&CTH@;y.shy.oldain.d?<!@i is backwards><|>	T	A	1
f1r	f1r.14	f1r	f1r.14	f1r.P3.14	+P0	-	U	10	dain oiin chol odaiin chodain chdy okain dain cthy kod	dain.oiin.chol.odaiin.chodain.chdy.okain.dain.cthy.kod?<|>	T	A	1
f1r	f1r.15	f1r	f1r.15	f1r.P3.15	+P0	-	U	10	daiin shckhey ckeor chor shey kol chol chol kor chal	daiin.shckhey.ckeor.chor.shey.kol.chol.chol.kor.chal<|>	T	A	1
f1r	f1r.16	f1r	f1r.16	f1r.P3.16	+P0	-	U	9	sho chol shodan kshy kchy dor chodaiin sho koeam	<:>sho.chol.shodan.kshy.kchy.dor.chodaiin.sho.koeam<|>	T	A	1
f1r	f1r.17	f1r	f1r.17	f1r.P3.17	+P0	-	U	8	ycho tchey chekain sheo wshol dydyd cthy dai	ycho.tchey.chekain.sheo.wshol.dydyd.cthy.dai&CTOy;<|>	T	A	1
f1r	f1r.18	f1r	f1r.18	f1r.P3.18	+P0	-	U	8	yto shol shy kodshey cphealy darain dain ckhyds	<:>yto.shol.shy.kodshey.cphealy.darain.dain.ckhyds<|>	T	A	1
