page_order	page	locus	line_number	code	relation	kind	subtype	section	language	hand	quire	folio_type	paragraph_start	paragraph_end	token_count	eva_clean	ivtff_raw
1	f1r	f1r.1	1	@P0	@	P	0	T	A	1	A	a	1	0	10	fachys ykal ar ataiin shol shory cthres y kor sholdy	<%>fachys.ykal.ar.ataiin.shol.shory.[cth:oto]res.y.kor.sholdy<!@254;>
1	f1r	f1r.2	2	+P0	+	P	0	T	A	1	A	a	0	0	11	sory ckhar or y kair chtaiin shar ase cthar cthar dan	sory.ckhar.or,y.kair.chtaiin.shar.ase.cthar.cthar,dan
1	f1r	f1r.3	3	+P0	+	P	0	T	A	1	A	a	0	0	9	syaiir sheky or ykaiin shod cthoary cthes daraiin sy	syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sy
1	f1r	f1r.4	4	+P0	+	P	0	T	A	1	A	a	0	0	9	soiin oteey oteos roloty cthiar daiin okaiin or okan	soiin.oteey.oteo[s:r],roloty.cthiar,daiin.okaiin.or.okan
1	f1r	f1r.5	5	+P0	+	P	0	T	A	1	A	a	0	0	6	sair y chear cthaiin cphar cfhaiin	sair,y.chear.cthaiin.cphar.cfhaiin
1	f1r	f1r.6	6	=Pt	=	P	t	T	A	1	A	a	0	1	1	ydaraishy	ydaraishy<$>
1	f1r	f1r.7	7	*P0	*	P	0	T	A	1	A	a	1	0	8	odar shol cphoy oydar sh s cfhoaiin shodary	<%><!@252;>odar.{c'y}.shol.cphoy.oydar.sh.s.cfhoaiin.shodary
1	f1r	f1r.8	8	+P0	+	P	0	T	A	1	A	a	0	0	10	yshey shody okchoy otchol chocthy os chy dain chor kos	yshey.shody.okchoy.otchol.chocthy.os,chy.dain.chor.kos
1	f1r	f1r.9	9	+P0	+	P	0	T	A	1	A	a	0	0	4	daiin shos cfhol shody	daiin.shos.cfhol.shody
1	f1r	f1r.10	10	=Pt	=	P	t	T	A	1	A	a	0	1	3	dain os teody	dain.os.teody<$>
1	f1r	f1r.11	11	*P0	*	P	0	T	A	1	A	a	1	0	8	ydain cphesaiin ols cphey ytain shoshy cphodal es	<%><!@253;>ydain.cphesaiin.ols.cphey.ytain.shoshy.cphodal,es
1	f1r	f1r.12	12	+P0	+	P	0	T	A	1	A	a	0	0	8	oksho kshoy otairin oteol okan shodain sckhey daiin	oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin
1	f1r	f1r.13	13	+P0	+	P	0	T	A	1	A	a	0	0	9	shoy ckhey kodaiin cphy cphodaiils cthey sho oldain d	shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.sho.oldain.d
1	f1r	f1r.14	14	+P0	+	P	0	T	A	1	A	a	0	0	10	dain oiin chol odaiin chodain chdy okain dn cthy kod	dain.oiin.chol.odaiin.chodain.chdy.ok[a:o]in.d?n.cthy.kod
1	f1r	f1r.15	15	+P0	+	P	0	T	A	1	A	a	0	0	11	daiin shckhey eo r char shey kol chol chol kor chal	daiin.shckhey.{ck}eo.r.char.shey.kol.chol.chol.kor.chal
1	f1r	f1r.16	16	+P0	+	P	0	T	A	1	A	a	0	0	10	sho chol shodan kshy kchy d or chodaiin sho koeam	sho.chol.shodan.kshy.kchy.d.or.chodaiin.sho.koeam
1	f1r	f1r.17	17	+P0	+	P	0	T	A	1	A	a	0	0	8	ycho tchey chekain sheo pshol dydyd cthy daiy	ycho.tchey.chekain.sheo,pshol.dydyd.cthy.dai[{cto}:@194;]y
1	f1r	f1r.18	18	+P0	+	P	0	T	A	1	A	a	0	0	9	yto shol she kodshey cphealy dar ain dain ckhyds	yto.shol.she.kodshey.cphealy.dar,ain.dain.ckhyds
1	f1r	f1r.19	19	+P0	+	P	0	T	A	1	A	a	0	0	8	dchar shcthaiin okaiir chey chy tol cthols dloo	dchar.shcthaiin.okaiir.chey.@192;chy.@130;tol.cthols.dlo{ct}o
1	f1r	f1r.20	20	+P0	+	P	0	T	A	1	A	a	0	0	5	shok chor chey dain ckhey	shok.chor.chey.dain.ckhey
1	f1r	f1r.21	21	=Pt	=	P	t	T	A	1	A	a	0	1	2	otol daiiin	otol.daiiin<$>
1	f1r	f1r.22	22	*P0	*	P	0	T	A	1	A	a	1	0	10	cpho shaiin shokcheey chol tshodeesy shey pydeey cha ro dar	<%>cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.cha.ro,dar
1	f1r	f1r.23	23	+P0	+	P	0	T	A	1	A	a	0	0	10	ydoin chol dain cthal dar shear kaiin dar shey cthar	ydoin.chol.dain.cthal.dar.shear.kaiin.dar.shey.cthar
1	f1r	f1r.24	24	+P0	+	P	0	T	A	1	A	a	0	0	10	cho o kaiin shoaiin okol daiin far cthol daiin ctholdar	cho.?o.kaiin.shoaiin.okol.daiin.far.cthol.daiin.ctholdar
1	f1r	f1r.25	25	+P0	+	P	0	T	A	1	A	a	0	0	9	ycheey okeey oky daiin okchey kokaiin ochol kdchy dal	ycheey.okeey.oky.daiin.okchey.kokaiin.o?chol.k?dchy.dal
1	f1r	f1r.26	26	+P0	+	P	0	T	A	1	A	a	0	0	10	dcheo shody koshey cthy ok chey keey keey dal chtor	dcheo.shody.koshey.cthy.ok,chey.keey.keey,dal.chtor
1	f1r	f1r.27	27	+P0	+	P	0	T	A	1	A	a	0	0	5	eo chol chok choty chotey	?eo?.chol.chok.choty.chotey
1	f1r	f1r.28	28	=Pt	=	P	t	T	A	1	A	a	0	1	1	dchaiin	dchaiin<$>
2	f1v	f1v.1	1	@P0	@	P	0	H	A	1	A	a	1	0	9	kchsy chydaiin ol o l tchey char cfhar am	<%>kchsy.chydaiin.ol<->o,l,tchey.char.cfhar,am
2	f1v	f1v.2	2	+P0	+	P	0	H	A	1	A	a	0	0	8	yteey char or ochy dcho lkody okodar chody	yteey.char.or.ochy<->dcho.lkody.okodar.chody
2	f1v	f1v.3	3	+P0	+	P	0	H	A	1	A	a	0	0	8	da ckhy ckhockhy shy dksheey cthy kotchody dal	da,ckhy.ckhockhy.shy<->dksheey.cthy.kotchody.dal
2	f1v	f1v.4	4	+P0	+	P	0	H	A	1	A	a	0	1	6	dol chokeo dair dam sochey chokody	dol.chokeo.dair.dam<->sochey.chokody<$>
2	f1v	f1v.5	5	+P0	+	P	0	H	A	1	A	a	1	0	9	potoy shol dair cphoal dar chey tody otoaiin shoshy	<%>potoy.shol.dair.cphoal<->dar.chey.tody.otoaiin.shoshy
2	f1v	f1v.6	6	+P0	+	P	0	H	A	1	A	a	0	0	11	choky chol ctho l shol okal dolchey chodo lol chy cthy	choky.chol.ctho,l,shol.okal<->dolchey.chodo.lol.chy.cthy
