physical_page	register	historical_archetype	source_ids	current_reading_de
f10r	I_STOFF	ILLUSTRATED_SIMPLE_OR_RECIPE_ARTICLE	S01|S04|S05	Vom gezeigten Kraut werden nacheinander Teile entnommen, in mehreren Gängen verarbeitet und bis zum gebrauchsfertigen Zustand geführt. Weitere Teile werden nach Sollmaß bereitgestellt und durch einen Durchlass weitergegeben. Der erste große Arbeitsgang schließt; der zweite bleibt als Fortsetzung offen.
f11r	I_STOFF	ILLUSTRATED_SIMPLE_OR_RECIPE_ARTICLE	S01|S04|S05	Halte die bezeichneten Pflanzenteile, entnimm davon Portionen, gib sie in den Ansatz und arbeite sie weiter. Nach erneutem Halten wird ein Teil getrennt oder umgeleitet; der erste Zug schließt, der zweite Artikelzug bleibt offen.
f13r	I_STOFF	ILLUSTRATED_SIMPLE_OR_RECIPE_ARTICLE	S01|S04|S05	Bereite den Ansatz, setze das bezeichnete Material ein und entnimm die benötigten Teile. Gib nach Sollmaß zu, halte den Posten, führe ihn durch den angegebenen Gang und schließe vier kurze Arbeitsschritte. Ein letzter Zusatz- und Ansatzschritt bleibt zur Fortsetzung offen.
f55v	I_STOFF	ILLUSTRATED_SIMPLE_OR_RECIPE_ARTICLE	S01|S04|S05	Setze die Pflanzenzubereitung an und gib ihre Bestandteile in mehreren notierten Portionen zu. Stelle, behandle und versetze den Ansatz zwischen den angegebenen Stellen; entnimm zwischendurch Proben und führe sie durch den Durchlass. Vier Teilgänge schließen, der lange Hauptgang bleibt offen.
f56r	I_STOFF	ILLUSTRATED_SIMPLE_OR_RECIPE_ARTICLE	S01|S04|S05	Entnimm aus dem gezeigten Pflanzenmaterial wiederholt kleine Anteile und setze sie in mehreren Stufen neu an. Gib weitere Anteile zu, halte und prüfe einzelne Züge und führe das Arbeitsgut zur nächsten Stelle. Zwei große Gänge schließen; der letzte bleibt als anschließende Verwendung offen.
f75r	III_ANWENDUNG	PICTURE_OWNED_APPLICATION_OR_STATION_REGISTER	S01|S04|S05	Arbeite die gezeigten Bade- und Stationsposten zellenweise ab: ansetzen, kurz oder länger halten, zur nächsten Stelle umsetzen, dort neu ansetzen und den jeweiligen Schritt schließen. Entnahme, Zugabe, Auffangen und Absetzen erscheinen als lokale Varianten. Fast jede Zelle ist ein eigener kleiner Arbeitsauftrag, nicht Teil eines einzigen langen Satzes.
f81v	III_ANWENDUNG	PICTURE_OWNED_APPLICATION_OR_STATION_REGISTER	S01|S04|S05	Setze den jeweiligen Posten an der gezeigten Station an, gib die bezeichnete Menge zu und halte sie für die notierte Stufe. Führe das Arbeitsgut danach über den nächsten Lauf, setze es dort neu an und lass einzelne Züge absetzen. Die Seite ist eine Folge geschlossener Anwendungs- und Transferzellen.
f82r	III_ANWENDUNG	PICTURE_OWNED_APPLICATION_OR_STATION_REGISTER	S01|S04|S05	Wähle an jeder dargestellten Station den aktiven Posten, setze ihn an, markiere seinen Zustand und führe ihn über Anschluss oder Durchlass weiter. Wiederhole Zugabe, Halten und Umsetzen gemäß der örtlichen Zeichnung; fange einzelne Ausgänge auf. Fast alle Stationszellen schließen für sich.
f83r	III_ANWENDUNG	PICTURE_OWNED_APPLICATION_OR_STATION_REGISTER	S01|S04|S05	Diese Seite verzeichnet viele kurze Varianten desselben Stationsbetriebs: auswählen, ansetzen, halten, umsetzen, am neuen Ort wieder ansetzen und schließlich absetzen oder auffangen. Die sichtbaren Becken und Verbindungen bestimmen jeweils den Besitzer; der Text liefert die lokale Handlung und Stufe. Es gibt keinen einzigen durchgehenden Kreislauf, sondern viele abgeschlossene Varianten.
f67r2	IV_ZEIT_UND_AUSWAHL	PICTORIAL_CELESTIAL_LOOKUP	S01|S02|S03	Wähle den bezeichneten Ring- oder Tabellenposten, führe die für ihn eingetragene Operation aus und wechsle zur zugeordneten Stelle oder Stufe. Wiederholtes Auswählen, Einstellen und Kennzeichnen spricht eine Nachschlagetafel, nicht eine fortlaufende Pflanzen- oder Badrezeptur. Nur wenige Blöcke schließen ausdrücklich.
f68r1	IV_ZEIT_UND_AUSWAHL	PICTORIAL_CELESTIAL_LOOKUP	S01|S02|S03	Entnimm oder wähle den bezeichneten Eintrag, führe seine lokale Anweisung aus und ordne ihn der markierten Sternstelle zu. Die drei Textblöcke begleiten räumliche Stationen; sie ergeben keine feste Umlaufrichtung und keine Verbindung zur benachbarten 28er-Seite.
f69v	IV_ZEIT_UND_AUSWAHL	PICTORIAL_CELESTIAL_LOOKUP	S01|S02|S03	Die Seite hat drei getrennte Adressräume. Das linke Rad besitzt 28 lokale Plätze; die beiden anderen Räder haben eigene Klassen und Einträge. Die Karten ergeben keine lineare 28-Schritt-Anweisung.
f70v	IV_ZEIT_UND_AUSWAHL	PICTORIAL_CELESTIAL_LOOKUP	S01|S02|S03	Die Ringtexte bezeichnen Figurenplätze des Widderrads: Reihe, Klasse, nächster Platz, Grad, Quell- oder Zielstelle und lokaler Wert. AIR bedeutet hier Ringlauf, nicht Wasser. Die Ringtexte bezeichnen die Plätze und Unterplätze des Fischpaars, wählen die jeweilige Reihe und tragen Grad oder Wert ein. Auch hier sind die Karten Adressen, keine Werkstattverben.
f88r	II_ZUBEREITUNG	MEASURED_PREPARATION_REGISTER	S04|S05	Wähle aus den bezeichneten Vorrats- oder Zutatenposten, entnimm den nötigen Anteil, setze die Zubereitung an und gib weitere Bestandteile zu. Halte, prüfe und verteile den Ansatz auf die angegebenen Stellen; einzelne Passagen führen durch einen Durchlass. Die Seite liest sich als kompaktes Zubereitungs- und Zuteilungsregister.
