codebook_entry_id	entry_type	recognition_form	short_value_de	historical_mechanism	source_ids	why_it_fits_de	predicted_scribal_behavior_de
R001	PRODUCTIVE_ROOT	Y	DIES	SMALL_PRODUCTIVE_CONTROL_SIGN	S03|S06	Kurzes Steuer- oder Verweiszeichen innerhalb eines bildgestützten Registers.	produktiv mit anderen Einträgen kombinierbar
R002	PRODUCTIVE_ROOT	OK	ANSETZEN	PRODUCTIVE_WORKSHOP_BREVIGRAPH	S04|S05|S06	Wiederverwendbares Handlungskürzel; die konkrete Sache kommt aus Bild und Eintrag.	produktiv mit anderen Einträgen kombinierbar
R003	PRODUCTIVE_ROOT	E	KURZ	TECHNICAL_MEASURE_OR_GRADE_ABBREVIATION	S04|S05	Kurze Maß-, Stufen- und Gradzeichen sind in praktischen Fachbüchern erwartbar.	produktiv mit anderen Einträgen kombinierbar
R004	PRODUCTIVE_ROOT	DY	SCHLIESSEN	SMALL_PRODUCTIVE_CONTROL_SIGN	S03|S06	Kurzes Steuer- oder Verweiszeichen innerhalb eines bildgestützten Registers.	produktiv mit anderen Einträgen kombinierbar
R005	PRODUCTIVE_ROOT	O	AUSFÜHREN	PRODUCTIVE_WORKSHOP_BREVIGRAPH	S04|S05|S06	Wiederverwendbares Handlungskürzel; die konkrete Sache kommt aus Bild und Eintrag.	produktiv mit anderen Einträgen kombinierbar
R006	PRODUCTIVE_ROOT	OL	FORTSETZEN	PRODUCTIVE_WORKSHOP_BREVIGRAPH	S04|S05|S06	Wiederverwendbares Handlungskürzel; die konkrete Sache kommt aus Bild und Eintrag.	produktiv mit anderen Einträgen kombinierbar
R007	PRODUCTIVE_ROOT	EE	LÄNGER	TECHNICAL_MEASURE_OR_GRADE_ABBREVIATION	S04|S05	Kurze Maß-, Stufen- und Gradzeichen sind in praktischen Fachbüchern erwartbar.	produktiv mit anderen Einträgen kombinierbar
R008	PRODUCTIVE_ROOT	OT	DANACH	PRODUCTIVE_WORKSHOP_BREVIGRAPH	S04|S05|S06	Wiederverwendbares Handlungskürzel; die konkrete Sache kommt aus Bild und Eintrag.	produktiv mit anderen Einträgen kombinierbar
R009	PRODUCTIVE_ROOT	AL	ZIEL	PICTORIAL_TABLE_ADDRESS	S03|S04	Bild, Ring oder Tabelle liefert den Besitzer; das Zeichen wählt nur die Stelle.	produktiv mit anderen Einträgen kombinierbar
R010	PRODUCTIVE_ROOT	CH	ENTNEHMEN	PRODUCTIVE_WORKSHOP_BREVIGRAPH	S04|S05|S06	Wiederverwendbares Handlungskürzel; die konkrete Sache kommt aus Bild und Eintrag.	produktiv mit anderen Einträgen kombinierbar
