occurrence_ordinal	occurrence_id	occurrence_kind	source_selector	physical_page	register	topology_family	locus	line_number	token_ordinal_in_line	surface	legacy_statement_id	legacy_owner	panel_id	record_id	component_id	context_scope	context_owner_id	semantic_export_credit
1	G407-E0001	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.1	1	1	fachys	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
2	G407-E0002	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.1	1	2	ykal	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
3	G407-E0003	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.1	1	3	ar	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
4	G407-E0004	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.1	1	4	ataiin	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
5	G407-E0005	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.1	1	5	shol	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
6	G407-E0006	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.1	1	6	shory	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
7	G407-E0007	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.1	1	7	cthres	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
8	G407-E0008	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.1	1	8	y	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
9	G407-E0009	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.1	1	9	kor	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
10	G407-E0010	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.1	1	10	sholdy	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
11	G407-E0011	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.2	2	1	sory	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
12	G407-E0012	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.2	2	2	ckhar	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
13	G407-E0013	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.2	2	3	or	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
14	G407-E0014	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.2	2	4	y	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
15	G407-E0015	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.2	2	5	kair	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
16	G407-E0016	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.2	2	6	chtaiin	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
17	G407-E0017	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.2	2	7	shar	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
18	G407-E0018	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.2	2	8	ase	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
19	G407-E0019	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.2	2	9	cthar	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
20	G407-E0020	RUNNING_EVENT	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.2	2	10	cthar	G407-S001	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	F1R_TEXT_PAGE	ZERO__STRUCTURAL_CROSSWALK_ONLY
