fragment_ordinal	fragment_id	legacy_statement_id	physical_page	legacy_end_mode	legacy_statement_event_count	fragment_ordinal_in_statement	fragment_count_in_statement	record_id	panel_id	record_kind	fragment_event_count	first_event_id	first_locus	last_event_id	last_locus	event_ids	surface_sequence	record_boundary_action	semantic_export_credit
1	GDT791-F001	G407-S311	f77r	LICENSED_DY_CLOSE	8	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	8	G407-E2393	f77r.9	G407-E2400	f77r.9	G407-E2393|G407-E2394|G407-E2395|G407-E2396|G407-E2397|G407-E2398|G407-E2399|G407-E2400	poldarais ol qokol chey qopchedy qopchedy dylches olkedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
2	GDT791-F002	G407-S312	f77r	LICENSED_DY_CLOSE	6	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	6	G407-E2401	f77r.9	G407-E2406	f77r.10	G407-E2401|G407-E2402|G407-E2403|G407-E2404|G407-E2405|G407-E2406	loly tolchd ar shey qotaiin qotedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
3	GDT791-F003	G407-S313	f77r	LICENSED_DY_CLOSE	6	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	6	G407-E2407	f77r.10	G407-E2412	f77r.11	G407-E2407|G407-E2408|G407-E2409|G407-E2410|G407-E2411|G407-E2412	qokol chdy qokain chetey sal qoteedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
4	GDT791-F004	G407-S314	f77r	LICENSED_DY_CLOSE	2	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	2	G407-E2413	f77r.11	G407-E2414	f77r.11	G407-E2413|G407-E2414	qokaiin shedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
5	GDT791-F005	G407-S315	f77r	LICENSED_DY_CLOSE	2	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	2	G407-E2415	f77r.11	G407-E2416	f77r.11	G407-E2415|G407-E2416	chol shedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
6	GDT791-F006	G407-S316	f77r	LICENSED_DY_CLOSE	2	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	2	G407-E2417	f77r.11	G407-E2418	f77r.11	G407-E2417|G407-E2418	shcthey qokeedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
7	GDT791-F007	G407-S317	f77r	LICENSED_DY_CLOSE	1	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	1	G407-E2419	f77r.11	G407-E2419	f77r.11	G407-E2419	oteedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
8	GDT791-F008	G407-S318	f77r	LICENSED_DY_CLOSE	2	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	2	G407-E2420	f77r.11	G407-E2421	f77r.12	G407-E2420|G407-E2421	cham solteedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
9	GDT791-F009	G407-S319	f77r	LICENSED_DY_CLOSE	1	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	1	G407-E2422	f77r.12	G407-E2422	f77r.12	G407-E2422	qoteedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
10	GDT791-F010	G407-S320	f77r	LICENSED_DY_CLOSE	1	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	1	G407-E2423	f77r.12	G407-E2423	f77r.12	G407-E2423	qodeedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
11	GDT791-F011	G407-S321	f77r	LICENSED_DY_CLOSE	6	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	6	G407-E2424	f77r.12	G407-E2429	f77r.13	G407-E2424|G407-E2425|G407-E2426|G407-E2427|G407-E2428|G407-E2429	chedaiin chedy shedaiin shealol ched qokeedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
12	GDT791-F012	G407-S322	f77r	LICENSED_DY_CLOSE	2	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	2	G407-E2430	f77r.13	G407-E2431	f77r.13	G407-E2430|G407-E2431	qol sheedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
13	GDT791-F013	G407-S323	f77r	LICENSED_DY_CLOSE	2	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	2	G407-E2432	f77r.13	G407-E2433	f77r.13	G407-E2432|G407-E2433	shol tedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
14	GDT791-F014	G407-S324	f77r	LICENSED_DY_CLOSE	3	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	3	G407-E2434	f77r.13	G407-E2436	f77r.13	G407-E2434|G407-E2435|G407-E2436	chedy lsheedy qokedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
15	GDT791-F015	G407-S325	f77r	LICENSED_DY_CLOSE	6	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	6	G407-E2437	f77r.13	G407-E2442	f77r.14	G407-E2437|G407-E2438|G407-E2439|G407-E2440|G407-E2441|G407-E2442	qolal chedy sokcheey sain sheeol qoteedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
16	GDT791-F016	G407-S326	f77r	LICENSED_DY_CLOSE	2	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	2	G407-E2443	f77r.14	G407-E2444	f77r.14	G407-E2443|G407-E2444	qokaiin shedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
17	GDT791-F017	G407-S327	f77r	LICENSED_DY_CLOSE	1	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	1	G407-E2445	f77r.14	G407-E2445	f77r.14	G407-E2445	qokeedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
18	GDT791-F018	G407-S328	f77r	LICENSED_DY_CLOSE	1	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	1	G407-E2446	f77r.14	G407-E2446	f77r.14	G407-E2446	qotedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
19	GDT791-F019	G407-S329	f77r	LICENSED_DY_CLOSE	1	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	1	G407-E2447	f77r.15	G407-E2447	f77r.15	G407-E2447	qokeedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
20	GDT791-F020	G407-S330	f77r	LICENSED_DY_CLOSE	1	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	1	G407-E2448	f77r.15	G407-E2448	f77r.15	G407-E2448	shedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
21	GDT791-F021	G407-S331	f77r	LICENSED_DY_CLOSE	2	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	2	G407-E2449	f77r.15	G407-E2450	f77r.15	G407-E2449|G407-E2450	qotol shedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
22	GDT791-F022	G407-S332	f77r	LICENSED_DY_CLOSE	5	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	5	G407-E2451	f77r.15	G407-E2455	f77r.15	G407-E2451|G407-E2452|G407-E2453|G407-E2454|G407-E2455	qokaiin sheety qokeed y lchedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
23	GDT791-F023	G407-S333	f77r	LICENSED_DY_CLOSE	2	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	2	G407-E2456	f77r.15	G407-E2457	f77r.16	G407-E2456|G407-E2457	lol sshedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
24	GDT791-F024	G407-S334	f77r	LICENSED_DY_CLOSE	4	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	4	G407-E2458	f77r.16	G407-E2461	f77r.16	G407-E2458|G407-E2459|G407-E2460|G407-E2461	qotaiin chedy qokaiin shedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
25	GDT791-F025	G407-S335	f77r	LICENSED_DY_CLOSE	1	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	1	G407-E2462	f77r.16	G407-E2462	f77r.16	G407-E2462	qolcheedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
26	GDT791-F026	G407-S336	f77r	LICENSED_DY_CLOSE	1	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	1	G407-E2463	f77r.16	G407-E2463	f77r.16	G407-E2463	qokeedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
27	GDT791-F027	G407-S337	f77r	LICENSED_DY_CLOSE	2	1	1	F77_P1	F77_TOP_ARCH	MAIN_RECORD	2	G407-E2464	f77r.16	G407-E2465	f77r.17	G407-E2464|G407-E2465	lol qoteedy	RETAIN_STATEMENT	ZERO__BOUNDARY_REPAIR_ONLY
