bridge_id	label_page	label_locus	label_token	label_panel_id	label_component_id	prose_page	prose_locus	prose_record_id	prose_token_ordinals	same_page	document_direction	anchor_status	semantic_credit	prose_panel_id	cross_panel	graph_edge_class	record_merge_credit	meaning_transfer_credit
GDT790-B01	f77r	f77r.3	otedy	F77_TOP_ARCH	INNER_PORT_2	f77r	f77r.25	F77_P2	1	YES	LABEL_PRECEDES_PROSE	SAME_PAGE_OWNER_REFERENCE_CANDIDATE	ZERO__STRING_REUSE_ONLY	F77_MIDDLE_BODY	YES	EXACT_STRING_REFERENCE	ZERO	ZERO
GDT790-B02	f77r	f77r.3	otedy	F77_TOP_ARCH	INNER_PORT_2	f82r	f82r.12	F82_P2	1	NO	CROSS_PAGE	CROSS_PAGE_NAME_OR_FORMULA_CANDIDATE	ZERO__STRING_REUSE_ONLY	F82_MIDDLE_TRANSFER	YES	EXACT_STRING_REFERENCE	ZERO	ZERO
GDT790-B03	f77r	f77r.3	otedy	F77_TOP_ARCH	INNER_PORT_2	f83r	f83r.8	F83_P1	2	NO	CROSS_PAGE	CROSS_PAGE_NAME_OR_FORMULA_CANDIDATE	ZERO__STRING_REUSE_ONLY	F83_UPPER_SPRAY	YES	EXACT_STRING_REFERENCE	ZERO	ZERO
GDT790-B04	f77r	f77r.3	otedy	F77_TOP_ARCH	INNER_PORT_2	f83r	f83r.21	F83_P3	3	NO	CROSS_PAGE	CROSS_PAGE_NAME_OR_FORMULA_CANDIDATE	ZERO__STRING_REUSE_ONLY	F83_LOWER_DRIP	YES	EXACT_STRING_REFERENCE	ZERO	ZERO
GDT790-B05	f77r	f77r.3	otedy	F77_TOP_ARCH	INNER_PORT_2	f83r	f83r.22	F83_P3	8	NO	CROSS_PAGE	CROSS_PAGE_NAME_OR_FORMULA_CANDIDATE	ZERO__STRING_REUSE_ONLY	F83_LOWER_DRIP	YES	EXACT_STRING_REFERENCE	ZERO	ZERO
GDT790-B06	f77r	f77r.49	otchdy	F77_MIDDLE_BODY	MIDDLE_WEST_FIGURE_ZONE	f83r	f83r.47	F83_Q1	1	NO	CROSS_PAGE	CROSS_PAGE_NAME_OR_FORMULA_CANDIDATE	ZERO__STRING_REUSE_ONLY	F83_LOWER_COUPLED	YES	EXACT_STRING_REFERENCE	ZERO	ZERO
GDT790-B07	f77r	f77r.50	o	F77_LOWER_VESSEL	LOWER_SOUTHWEST_FIGURE_ZONE	f83r	f83r.7	F83_P1	5	NO	CROSS_PAGE	EXACT_SINGLE_CHARACTER_NONANCHOR	ZERO__STRING_REUSE_ONLY	F83_UPPER_SPRAY	YES	EXACT_STRING_REFERENCE	ZERO	ZERO
GDT790-B08	f82r	f82r.36	okal	F82_BOTTOM_COMMUNAL	TOP_FIGURE_2	f82r	f82r.6	F82_P1	6	YES	PROSE_PRECEDES_LABEL	SAME_PAGE_OWNER_REFERENCE_CANDIDATE	ZERO__STRING_REUSE_ONLY	F82_TOP_COUPLED	YES	EXACT_STRING_REFERENCE	ZERO	ZERO
GDT790-B09	f82r	f82r.36	okal	F82_BOTTOM_COMMUNAL	TOP_FIGURE_2	f82r	f82r.12	F82_P2	7	YES	PROSE_PRECEDES_LABEL	SAME_PAGE_OWNER_REFERENCE_CANDIDATE	ZERO__STRING_REUSE_ONLY	F82_MIDDLE_TRANSFER	YES	EXACT_STRING_REFERENCE	ZERO	ZERO
GDT790-B10	f82r	f82r.44	olaiin	F82_BOTTOM_COMMUNAL	BOTTOM_FIGURE_6	f77r	f77r.39	F77_P3	1	NO	CROSS_PAGE	CROSS_PAGE_NAME_OR_FORMULA_CANDIDATE	ZERO__STRING_REUSE_ONLY	F77_LOWER_VESSEL	YES	EXACT_STRING_REFERENCE	ZERO	ZERO
