alias_ordinal	alias_id	alias_class	physical_page	statement_id	target_event_id	target_surface	target_locus	target_record_id	target_panel_id	inherited_root	lexical_source_kind	source_event_id	source_surface	source_locus	source_record_id	source_panel_id	selected_boundary_action	new_owner_key	semantic_export_credit
1	GDT581-I0883	ACTION_ALIAS	f77r	G407-S311	G407-E2394	ol	f77r.9	F77_P1	F77_TOP_ARCH	S	SAME_STATEMENT_EVENT	G407-E2393	poldarais	f77r.9	F77_P1	F77_TOP_ARCH	RETAIN_SAME_RECORD_ALIAS	NONE	ZERO__BOUNDARY_REPAIR_ONLY
2	GDT581-I0884	ACTION_ALIAS	f77r	G407-S311	G407-E2396	chey	f77r.9	F77_P1	F77_TOP_ARCH	OK	SAME_STATEMENT_EVENT	G407-E2395	qokol	f77r.9	F77_P1	F77_TOP_ARCH	RETAIN_SAME_RECORD_ALIAS	NONE	ZERO__BOUNDARY_REPAIR_ONLY
3	GDT581-I0885	ACTION_ALIAS	f77r	G407-S312	G407-E2401	loly	f77r.9	F77_P1	F77_TOP_ARCH	K	OWNER_DEFAULT	OWNER	NONE	NONE	NONE	NONE	REPARENT_OWNER_DEFAULT_TO_LOCAL_RECORD_OWNER	RECORD_OWNER:F77_P1	ZERO__BOUNDARY_REPAIR_ONLY
4	GDT581-I0886	ACTION_ALIAS	f77r	G407-S312	G407-E2403	ar	f77r.10	F77_P1	F77_TOP_ARCH	CHD	SAME_STATEMENT_EVENT	G407-E2402	tolchd	f77r.10	F77_P1	F77_TOP_ARCH	RETAIN_SAME_RECORD_ALIAS	NONE	ZERO__BOUNDARY_REPAIR_ONLY
5	GDT581-I0887	ACTION_ALIAS	f77r	G407-S312	G407-E2405	qotaiin	f77r.10	F77_P1	F77_TOP_ARCH	SH	SAME_STATEMENT_EVENT	G407-E2404	shey	f77r.10	F77_P1	F77_TOP_ARCH	RETAIN_SAME_RECORD_ALIAS	NONE	ZERO__BOUNDARY_REPAIR_ONLY
6	GDT581-I0888	ACTION_ALIAS	f77r	G407-S312	G407-E2406	qotedy	f77r.10	F77_P1	F77_TOP_ARCH	SH	SAME_STATEMENT_EVENT	G407-E2404	shey	f77r.10	F77_P1	F77_TOP_ARCH	RETAIN_SAME_RECORD_ALIAS	NONE	ZERO__BOUNDARY_REPAIR_ONLY
7	GDT581-I0889	ACTION_ALIAS	f77r	G407-S313	G407-E2412	qoteedy	f77r.11	F77_P1	F77_TOP_ARCH	S	SAME_STATEMENT_EVENT	G407-E2411	sal	f77r.10	F77_P1	F77_TOP_ARCH	RETAIN_SAME_RECORD_ALIAS	NONE	ZERO__BOUNDARY_REPAIR_ONLY
8	GDT581-I0890	ACTION_ALIAS	f77r	G407-S315	G407-E2415	chol	f77r.11	F77_P1	F77_TOP_ARCH	SH	OWNER_DEFAULT	OWNER	NONE	NONE	NONE	NONE	REPARENT_OWNER_DEFAULT_TO_LOCAL_RECORD_OWNER	RECORD_OWNER:F77_P1	ZERO__BOUNDARY_REPAIR_ONLY
9	GDT581-I0891	ACTION_ALIAS	f77r	G407-S317	G407-E2419	oteedy	f77r.11	F77_P1	F77_TOP_ARCH	OK	OWNER_DEFAULT	OWNER	NONE	NONE	NONE	NONE	REPARENT_OWNER_DEFAULT_TO_LOCAL_RECORD_OWNER	RECORD_OWNER:F77_P1	ZERO__BOUNDARY_REPAIR_ONLY
10	GDT581-I0892	ACTION_ALIAS	f77r	G407-S319	G407-E2422	qoteedy	f77r.12	F77_P1	F77_TOP_ARCH	T	OWNER_DEFAULT	OWNER	NONE	NONE	NONE	NONE	REPARENT_OWNER_DEFAULT_TO_LOCAL_RECORD_OWNER	RECORD_OWNER:F77_P1	ZERO__BOUNDARY_REPAIR_ONLY
11	GDT581-I0893	ACTION_ALIAS	f77r	G407-S320	G407-E2423	qodeedy	f77r.12	F77_P1	F77_TOP_ARCH	T	OWNER_DEFAULT	OWNER	NONE	NONE	NONE	NONE	REPARENT_OWNER_DEFAULT_TO_LOCAL_RECORD_OWNER	RECORD_OWNER:F77_P1	ZERO__BOUNDARY_REPAIR_ONLY
