line_ordinal	source_selector	physical_page	register	topology_family	locus	line_number	paragraph_start	paragraph_end	line_kind	token_count	running_event_count	local_card_count	coarse_page_owner_id	legacy_owner_ids	panel_ids	record_ids	component_ids	context_scope	eva_clean	semantic_export_credit
1	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.1	1	1	0	RUNNING_PROSE	10	10	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	fachys ykal ar ataiin shol shory cthres y kor sholdy	ZERO__STRUCTURAL_CROSSWALK_ONLY
2	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.2	2	0	0	RUNNING_PROSE	11	11	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	sory ckhar or y kair chtaiin shar ase cthar cthar dan	ZERO__STRUCTURAL_CROSSWALK_ONLY
3	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.3	3	0	0	RUNNING_PROSE	9	9	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	syaiir sheky or ykaiin shod cthoary cthes daraiin sy	ZERO__STRUCTURAL_CROSSWALK_ONLY
4	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.4	4	0	0	RUNNING_PROSE	9	9	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	soiin oteey oteos roloty cthiar daiin okaiin or okan	ZERO__STRUCTURAL_CROSSWALK_ONLY
5	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.5	5	0	0	RUNNING_PROSE	6	6	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	sair y chear cthaiin cphar cfhaiin	ZERO__STRUCTURAL_CROSSWALK_ONLY
6	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.6	6	0	1	RUNNING_PROSE	1	1	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_A	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	ydaraishy	ZERO__STRUCTURAL_CROSSWALK_ONLY
7	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.7	7	1	0	RUNNING_PROSE	8	8	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_B	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	odar shol cphoy oydar sh s cfhoaiin shodary	ZERO__STRUCTURAL_CROSSWALK_ONLY
8	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.8	8	0	0	RUNNING_PROSE	10	10	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_B	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	yshey shody okchoy otchol chocthy os chy dain chor kos	ZERO__STRUCTURAL_CROSSWALK_ONLY
9	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.9	9	0	0	RUNNING_PROSE	4	4	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_B	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	daiin shos cfhol shody	ZERO__STRUCTURAL_CROSSWALK_ONLY
10	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.10	10	0	1	RUNNING_PROSE	3	3	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_B	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	dain os teody	ZERO__STRUCTURAL_CROSSWALK_ONLY
