view	control_id	architecture_category	groups	transitions	folios	pages	wrapper_values	frame_values	right_values	dy_values	b3_values	dy_positive	pre_score_state
NATIVE	ABBREVIATION_HEAVY_MEDIEVAL	REAL_DIPLOMATIC_ABBREVIATION	8448	7726	4	722	14	10	14	1	2	0	CAPACITY_ONLY
NATIVE	ARBITRARY_LOCAL_CODEBOOK	SYNTHETIC_LEXICAL_CODEBOOK	8448	8272	176	176	12	4	13	1	2	0	CAPACITY_ONLY
NATIVE	AUGSBURG_ACCOUNTS_1402_1424	REAL_STRUCTURED_NATURAL_LANGUAGE	8448	7920	12	528	13	5	13	1	2	0	CAPACITY_ONLY
NATIVE	COMPOSITIONAL_TECHNICAL_NOTATION	SYNTHETIC_FACTORIAL_TECHNICAL_NOTATION	8448	8273	175	175	9	4	13	1	2	0	CAPACITY_ONLY
NATIVE	HYBRID_SHORTHAND	SYNTHETIC_HUMAN_GROWN_HYBRID	8448	8272	176	176	13	4	13	1	2	0	CAPACITY_ONLY
NATIVE	IFORAL_1395_1411_GRAPHEMATIC	REAL_DIPLOMATIC_ABBREVIATION	6104	6075	6	29	13	9	13	1	2	0	CAPACITY_ONLY
NATIVE	LATIN_15C_GRAPHEMATIC	REAL_DIPLOMATIC_ABBREVIATION	8448	8398	12	50	13	12	13	1	2	0	CAPACITY_ONLY
NATIVE	LATIN_GERMAN_APOTHECARY_LATE15	REAL_DIPLOMATIC_ABBREVIATION	1554	1547	6	7	1	1	4	1	2	0	CAPACITY_ONLY
NATIVE	LATIN_MEDICAL_GRAPHEMATIC	REAL_DIPLOMATIC_ABBREVIATION	8448	8433	10	15	13	12	13	1	2	0	CAPACITY_ONLY
NATIVE	LATIN_SCHOLASTIC_GRAPHEMATIC	REAL_DIPLOMATIC_ABBREVIATION	8448	8438	6	10	13	11	13	1	2	0	CAPACITY_ONLY
NATIVE	LEARNED_ABBREVIATION_MAP	GENERATED_HISTORICALLY_LEARNED_ABBREVIATION	8448	7760	4	688	1	1	1	1	1	0	CAPACITY_ONLY
NATIVE	LEARNED_ABBREVIATION_SAMPLED	GENERATED_HISTORICALLY_LEARNED_ABBREVIATION	8448	7731	4	717	1	1	1	1	1	0	CAPACITY_ONLY
NATIVE	ORDINARY_NATURAL_LANGUAGE	REAL_NATURAL_LANGUAGE	8448	7728	4	720	14	10	14	1	2	0	CAPACITY_ONLY
NATIVE	STE1_DIPLOMATIC_RECIPES	REAL_DIPLOMATIC_ABBREVIATION	111	109	2	1	1	1	1	1	1	0	CAPACITY_ONLY
NATIVE	STE1_EXPANDED_RECIPES	REAL_NATURAL_LANGUAGE	111	109	2	1	1	1	1	1	1	0	CAPACITY_ONLY
MATCHED	ABBREVIATION_HEAVY_MEDIEVAL	REAL_DIPLOMATIC_ABBREVIATION	4476	4296	91	180	14	6	15	1	2	0	CAPACITY_ONLY
MATCHED	ARBITRARY_LOCAL_CODEBOOK	SYNTHETIC_LEXICAL_CODEBOOK	4476	4296	91	180	12	2	13	1	2	0	CAPACITY_ONLY
MATCHED	AUGSBURG_ACCOUNTS_1402_1424	REAL_STRUCTURED_NATURAL_LANGUAGE	4476	4296	91	180	12	5	13	1	2	0	CAPACITY_ONLY
MATCHED	COMPOSITIONAL_TECHNICAL_NOTATION	SYNTHETIC_FACTORIAL_TECHNICAL_NOTATION	4476	4296	91	180	9	4	13	1	2	0	CAPACITY_ONLY
MATCHED	HYBRID_SHORTHAND	SYNTHETIC_HUMAN_GROWN_HYBRID	4476	4296	91	180	13	5	13	1	2	0	CAPACITY_ONLY
MATCHED	LATIN_15C_GRAPHEMATIC	REAL_DIPLOMATIC_ABBREVIATION	4476	4296	91	180	13	8	13	1	2	0	CAPACITY_ONLY
MATCHED	LATIN_MEDICAL_GRAPHEMATIC	REAL_DIPLOMATIC_ABBREVIATION	4476	4296	91	180	13	8	13	1	2	0	CAPACITY_ONLY
MATCHED	LEARNED_ABBREVIATION_MAP	GENERATED_HISTORICALLY_LEARNED_ABBREVIATION	4476	4296	91	180	1	1	1	1	1	0	CAPACITY_ONLY
MATCHED	LEARNED_ABBREVIATION_SAMPLED	GENERATED_HISTORICALLY_LEARNED_ABBREVIATION	4476	4296	91	180	1	1	1	1	1	0	CAPACITY_ONLY
MATCHED	ORDINARY_NATURAL_LANGUAGE	REAL_NATURAL_LANGUAGE	4476	4296	91	180	14	4	14	1	2	0	CAPACITY_ONLY
